"[0.00884112464181707, 6844.063656169567, 12026084.892190954]","[0.007834735119157341, 5492.456779761905, 12433938.324175272]","[0.009562308888962213, 7747.810390015888, 11160606.953078493]","[0.009456299875946324, 6163.582163383903, 11351121.50280197]","[0.008759722942021334, 6966.74799597791, 12069877.157084603]","[0.012162013323583683, 17618.394497502617, 10582026.492605014]","[0.016336816879409542, 21357.20087642696, 10487739.169964861]","[0.007695599955468678, 7532.772931658372, 12072619.63435534]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007834735119157341, 5492.456779761905, 12433938.324175272]","[0.009562308888962213, 7747.810390015888, 11160606.953078493]","[0.009456299875946324, 6163.582163383903, 11351121.50280197]","[0.007695599955468678, 7532.772931658372, 12072619.63435534]","[0.009734602548686612, 7038.357500377546, 10194248.063136289]","[0.007769546121729878, 6523.457507517284, 11597030.654059287]","[0.018861037064003678, 32505.60726223632, 10112451.008193351]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007834735119157341, 5492.456779761905, 12433938.324175272]","[0.009562308888962213, 7747.810390015888, 11160606.953078493]","[0.009456299875946324, 6163.582163383903, 11351121.50280197]","[0.007695599955468678, 7532.772931658372, 12072619.63435534]","[0.009734602548686612, 7038.357500377546, 10194248.063136289]","[0.007769546121729878, 6523.457507517284, 11597030.654059287]","[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.008877636844737448, 7769.333999637707, 11403275.309543803]","[0.0076262418414779504, 6356.003992587159, 13281492.321372064]","[0.008518819365237636, 6519.508144449101, 11603224.428191867]","[0.019803880809519354, 32482.53311018216, 9859966.870788831]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007834735119157341, 5492.456779761905, 12433938.324175272]","[0.009456299875946324, 6163.582163383903, 11351121.50280197]","[0.007695599955468678, 7532.772931658372, 12072619.63435534]","[0.009734602548686612, 7038.357500377546, 10194248.063136289]","[0.007769546121729878, 6523.457507517284, 11597030.654059287]","[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.008452307557234877, 6467.000106998607, 11032741.236199202]","[0.013392807623917558, 17536.326557399774, 9677786.485896258]","[0.007236540372611261, 5147.154867801103, 12703420.057024846]","[0.01207614293130252, 17554.413588853553, 9947259.363970563]","[0.008743126521968347, 5831.684073687423, 11950045.991565995]","[0.00971719761149431, 7727.811990597493, 10949253.686492348]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009734602548686612, 7038.357500377546, 10194248.063136289]","[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.007236540372611261, 5147.154867801103, 12703420.057024846]","[0.01207614293130252, 17554.413588853553, 9947259.363970563]","[0.012451375642412452, 17484.918692726962, 9148742.367160253]","[0.010827211860748268, 7364.530731175321, 10119493.479396617]","[0.007310346192695577, 5280.866418279489, 10256205.162101572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009734602548686612, 7038.357500377546, 10194248.063136289]","[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.007236540372611261, 5147.154867801103, 12703420.057024846]","[0.01207614293130252, 17554.413588853553, 9947259.363970563]","[0.012451375642412452, 17484.918692726962, 9148742.367160253]","[0.007310346192695577, 5280.866418279489, 10256205.162101572]","[0.01149304321798344, 17941.207710917257, 9613544.737368211]","[0.007143579870467959, 5688.648858293522, 12919450.832280552]","[0.008829891133197453, 7643.83984511726, 10114549.264898267]","[0.010081002460540653, 7356.579363178106, 10055931.41994069]","[0.007310346192695577, 5280.866418279489, 10256205.162101572]","[0.015496006031099959, 19150.554598256862, 9008561.75442096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.007236540372611261, 5147.154867801103, 12703420.057024846]","[0.01207614293130252, 17554.413588853553, 9947259.363970563]","[0.012451375642412452, 17484.918692726962, 9148742.367160253]","[0.007310346192695577, 5280.866418279489, 10256205.162101572]","[0.01149304321798344, 17941.207710917257, 9613544.737368211]","[0.007143579870467959, 5688.648858293522, 12919450.832280552]","[0.010081002460540653, 7356.579363178106, 10055931.41994069]","[0.007310346192695577, 5280.866418279489, 10256205.162101572]","[0.007768020978050076, 5119.632258009577, 10060446.717857894]","[0.009914782101056714, 7357.033643330066, 10016042.973068582]","[0.013885799533334124, 17373.739592189988, 9873563.312923592]","[0.013478163640264048, 17434.31459790765, 8619459.20760703]","[0.007245722092863354, 5610.274769731033, 11970167.798991814]","[0.007390397476118166, 5272.856438202613, 10170441.480528744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.007236540372611261, 5147.154867801103, 12703420.057024846]","[0.01207614293130252, 17554.413588853553, 9947259.363970563]","[0.012451375642412452, 17484.918692726962, 9148742.367160253]","[0.01149304321798344, 17941.207710917257, 9613544.737368211]","[0.007768020978050076, 5119.632258009577, 10060446.717857894]","[0.009914782101056714, 7357.033643330066, 10016042.973068582]","[0.013885799533334124, 17373.739592189988, 9873563.312923592]","[0.013478163640264048, 17434.31459790765, 8619459.20760703]","[0.02032048210429262, 32801.56529542619, 8424701.258616064]","[0.015790141151326074, 19114.553055311982, 8594732.690827534]","[0.0066773449828291575, 5266.3333647141, 10044087.993128467]","[0.013022305670825988, 17457.877598565472, 8814905.083673015]","[0.010846117942273113, 7350.024993610088, 9966313.845427772]","[0.008923301731633545, 7023.93263370787, 10031007.182779992]","[0.010027266536257464, 7021.481295032598, 9999834.013976552]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.02032048210429262, 32801.56529542619, 8424701.258616064]","[0.00766014409814225, 5223.786573949428, 9611888.72507426]","[0.012164346562675026, 17912.21672896232, 9344835.014848715]","[0.007293370117687064, 5043.13276015304, 11660681.363898354]","[0.01228377505923379, 17433.838195916444, 8471377.371326417]","[0.012279757266416695, 17488.926331540184, 9167894.966864284]","[0.006658531849610815, 5063.668445469917, 9821424.120932573]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00766014409814225, 5223.786573949428, 9611888.72507426]","[0.01228377505923379, 17433.838195916444, 8471377.371326417]","[0.012279757266416695, 17488.926331540184, 9167894.966864284]","[0.006658531849610815, 5063.668445469917, 9821424.120932573]","[0.011291283975116728, 17879.70827373597, 8971866.855048964]","[0.00649534583439516, 5026.068159039591, 11508076.981810099]","[0.00766014409814225, 5223.786573949428, 9611888.72507426]","[0.006630071857015693, 5221.509487055666, 10789585.72818496]","[0.013217688819446696, 19104.560674362125, 8206050.387499712]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
