"[0.014557208432591397, 18663.545415792865, 11044938.928414281]","[0.00831577492139867, 7285.3926553319, 12683410.172666188]","[0.015599572030014469, 21173.35386436474, 10853969.73810025]","[0.015624522533076637, 18294.22119184994, 10960858.838881508]","[0.010880718131908239, 7502.940009099951, 11264393.700601948]","[0.008164277652350317, 7620.641289381211, 12676980.56098867]","[0.00831757116943803, 7552.312054031342, 11952676.224405656]","[0.01712124852915531, 21366.797806207862, 10580224.721570898]","[0.00883416403820397, 6921.243743951346, 11519998.181508904]","[0.019180967983083563, 19948.54597222662, 10883766.452427508]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00831577492139867, 7285.3926553319, 12683410.172666188]","[0.008164277652350317, 7620.641289381211, 12676980.56098867]","[0.00831757116943803, 7552.312054031342, 11952676.224405656]","[0.01712124852915531, 21366.797806207862, 10580224.721570898]","[0.00883416403820397, 6921.243743951346, 11519998.181508904]","[0.00905100082894239, 6832.257412644385, 10642375.19158342]","[0.008775244196153107, 6960.693509674055, 11953310.393288761]","[0.016025346219092365, 22019.519071263556, 9831554.327254117]","[0.008277101180024726, 7578.579367761031, 12160259.088788847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01712124852915531, 21366.797806207862, 10580224.721570898]","[0.00883416403820397, 6921.243743951346, 11519998.181508904]","[0.00905100082894239, 6832.257412644385, 10642375.19158342]","[0.016025346219092365, 22019.519071263556, 9831554.327254117]","[0.008977906889032527, 7162.4461407042945, 11466833.400071533]","[0.00814204945718237, 7519.60734965693, 11736322.058896847]","[0.008844673293201075, 7488.023489099141, 11083211.581651876]","[0.01093115131519725, 6593.841287307516, 12346687.273234798]","[0.007738711911343675, 6944.18663884954, 11793713.581829686]","[0.01640352972914685, 21418.39987137083, 9812675.249773726]","[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.01953107904423855, 28421.878725503713, 9071097.396074705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00883416403820397, 6921.243743951346, 11519998.181508904]","[0.00905100082894239, 6832.257412644385, 10642375.19158342]","[0.008977906889032527, 7162.4461407042945, 11466833.400071533]","[0.00814204945718237, 7519.60734965693, 11736322.058896847]","[0.008844673293201075, 7488.023489099141, 11083211.581651876]","[0.01093115131519725, 6593.841287307516, 12346687.273234798]","[0.007738711911343675, 6944.18663884954, 11793713.581829686]","[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.01953107904423855, 28421.878725503713, 9071097.396074705]","[0.009953496625580151, 8983.152871066946, 10377954.48657684]","[0.010061670877405999, 6820.689397743624, 10538726.199749185]","[0.01887522216653629, 20716.42443691197, 9413499.069646357]","[0.014660379336427139, 17511.857745090303, 9503573.306428403]","[0.008977906889032527, 7162.4461407042945, 11466833.400071533]","[0.01093115131519725, 6593.841287307516, 12346687.273234798]","[0.008472084653143417, 8688.040878112155, 11396718.374782441]","[0.007476453218590673, 7603.737863551471, 12604100.778350905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00883416403820397, 6921.243743951346, 11519998.181508904]","[0.00905100082894239, 6832.257412644385, 10642375.19158342]","[0.008977906889032527, 7162.4461407042945, 11466833.400071533]","[0.00814204945718237, 7519.60734965693, 11736322.058896847]","[0.008844673293201075, 7488.023489099141, 11083211.581651876]","[0.007738711911343675, 6944.18663884954, 11793713.581829686]","[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.01953107904423855, 28421.878725503713, 9071097.396074705]","[0.010061670877405999, 6820.689397743624, 10538726.199749185]","[0.008977906889032527, 7162.4461407042945, 11466833.400071533]","[0.008472084653143417, 8688.040878112155, 11396718.374782441]","[0.007476453218590673, 7603.737863551471, 12604100.778350905]","[0.013559194450244944, 17218.956421322422, 9293270.996932013]","[0.00720607745352814, 4006.4660707350167, 12633819.935851056]","[0.00859658832218065, 5578.118174353315, 11819328.753066236]","[0.00987561887478615, 7659.243078841626, 10201951.12911542]","[0.013176688445163738, 16900.312688625523, 9872308.788623055]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00905100082894239, 6832.257412644385, 10642375.19158342]","[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.01953107904423855, 28421.878725503713, 9071097.396074705]","[0.010061670877405999, 6820.689397743624, 10538726.199749185]","[0.007476453218590673, 7603.737863551471, 12604100.778350905]","[0.013559194450244944, 17218.956421322422, 9293270.996932013]","[0.00720607745352814, 4006.4660707350167, 12633819.935851056]","[0.00859658832218065, 5578.118174353315, 11819328.753066236]","[0.00987561887478615, 7659.243078841626, 10201951.12911542]","[0.013176688445163738, 16900.312688625523, 9872308.788623055]","[0.009932873381552888, 6720.492579191789, 10757486.17986579]","[0.008203922729196426, 6549.934871023384, 11873261.981272986]","[0.01873581703902687, 28441.868077628125, 9171739.263408782]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.007662149302126058, 6909.7019217199895, 11381266.669798061]","[0.014041165376600063, 7373.471328261333, 10183447.645179927]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00905100082894239, 6832.257412644385, 10642375.19158342]","[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.00859658832218065, 5578.118174353315, 11819328.753066236]","[0.00987561887478615, 7659.243078841626, 10201951.12911542]","[0.009932873381552888, 6720.492579191789, 10757486.17986579]","[0.008203922729196426, 6549.934871023384, 11873261.981272986]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.012397584979891286, 17179.90233196165, 8856211.358345294]","[0.007236548795087127, 6775.185479227041, 11227507.17927959]","[0.007073743377226618, 3971.981353605466, 12247771.223829787]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.0100865368475474, 6755.173157058289, 9867799.294318965]","[0.009423727074075938, 6815.743867314761, 10465478.82766898]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.00859658832218065, 5578.118174353315, 11819328.753066236]","[0.008203922729196426, 6549.934871023384, 11873261.981272986]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.012397584979891286, 17179.90233196165, 8856211.358345294]","[0.007236548795087127, 6775.185479227041, 11227507.17927959]","[0.007073743377226618, 3971.981353605466, 12247771.223829787]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.008923747370082481, 6759.83171609356, 9912401.111986127]","[0.022561675530174737, 34706.93158302964, 8402646.819619963]","[0.010079417242243503, 6735.175412368423, 9660799.684378922]","[0.008336173316377916, 7477.802517474843, 11161778.08373766]","[0.00909646921920596, 5429.098630390521, 10275142.61910709]","[0.008592007525311888, 5618.049592609699, 12182929.191634415]","[0.008858617476992474, 6787.276237121089, 10282826.953094421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.02229464962874861, 34724.41179545068, 8608585.273795318]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.012397584979891286, 17179.90233196165, 8856211.358345294]","[0.007236548795087127, 6775.185479227041, 11227507.17927959]","[0.007073743377226618, 3971.981353605466, 12247771.223829787]","[0.008392164999263348, 6829.793710500543, 10722474.501448581]","[0.008923747370082481, 6759.83171609356, 9912401.111986127]","[0.022561675530174737, 34706.93158302964, 8402646.819619963]","[0.008858617476992474, 6787.276237121089, 10282826.953094421]","[0.008945019509067943, 5358.0946584594985, 9539890.048997998]","[0.008322628323214974, 7459.186169690327, 10918414.055714518]","[0.007086974661017189, 3882.4772582769106, 11317642.381415648]","[0.012726411205223647, 17461.361659089194, 8743314.988732839]","[0.008592758953040161, 7084.961213745426, 10619711.952636898]","[0.02243776085544165, 34715.382655968766, 8539117.234378539]","[0.008117684301839186, 6862.197559673626, 10939398.912142277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012397584979891286, 17179.90233196165, 8856211.358345294]","[0.007236548795087127, 6775.185479227041, 11227507.17927959]","[0.008923747370082481, 6759.83171609356, 9912401.111986127]","[0.022561675530174737, 34706.93158302964, 8402646.819619963]","[0.008945019509067943, 5358.0946584594985, 9539890.048997998]","[0.007086974661017189, 3882.4772582769106, 11317642.381415648]","[0.012726411205223647, 17461.361659089194, 8743314.988732839]","[0.007564562519213195, 6763.833215702062, 9991620.696739053]","[0.01581974152782218, 21501.90899970167, 8512125.652913267]","[0.007086974661017189, 3882.4772582769106, 11317642.381415648]","[0.00704917056907017, 3954.9890001358017, 12082164.4479133]","[0.008333461251675075, 6479.4263302676945, 11094418.520237077]","[0.011040804524160291, 6653.647191254684, 8865789.553122459]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
