"[0.013881868909213387, 17452.507443667364, 11142132.918799965]","[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009230058567950377, 6782.987869964356, 11358039.295152597]","[0.015822874339930716, 21805.383109465813, 10970532.829098614]","[0.008047365239542794, 7277.952399956889, 12604961.342298167]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009230058567950377, 6782.987869964356, 11358039.295152597]","[0.015822874339930716, 21805.383109465813, 10970532.829098614]","[0.008047365239542794, 7277.952399956889, 12604961.342298167]","[0.008686133389172422, 6954.947581397253, 13088364.843867166]","[0.009629039657566958, 6874.719208489737, 11055204.82717359]","[0.00800724262699675, 7592.577900957662, 12448061.018565891]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009230058567950377, 6782.987869964356, 11358039.295152597]","[0.00800724262699675, 7592.577900957662, 12448061.018565891]","[0.00832117755927013, 7579.0544848072, 12109234.241582561]","[0.00795315658388577, 7273.970449452705, 12531510.192404166]","[0.009611004194200868, 6809.725568009426, 10403406.025468275]","[0.013911095926213363, 17392.040975863787, 10324172.056429861]","[0.009236380483401885, 6749.460603681073, 11077055.494492127]","[0.008324679701923963, 7248.002563758633, 12221683.020303754]","[0.00896097947415423, 7568.521610965514, 11925106.067620298]","[0.007244389569444813, 6626.978739505808, 12685674.348500004]","[0.014273668872721242, 17560.028111230313, 10277296.198171167]","[0.01018839263893212, 8580.87235184008, 10337731.857657192]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009611004194200868, 6809.725568009426, 10403406.025468275]","[0.013911095926213363, 17392.040975863787, 10324172.056429861]","[0.009236380483401885, 6749.460603681073, 11077055.494492127]","[0.007244389569444813, 6626.978739505808, 12685674.348500004]","[0.014273668872721242, 17560.028111230313, 10277296.198171167]","[0.01018839263893212, 8580.87235184008, 10337731.857657192]","[0.009041608300405346, 6837.1684952731175, 10721027.22674826]","[0.015216371404209606, 21668.683344302495, 10095274.512471447]","[0.007919785922686062, 6500.991588013018, 11336280.289301764]","[0.009340378663976336, 6489.383662245285, 11345875.585194195]","[0.0077448816498385175, 6951.236935262412, 11877625.257893948]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009611004194200868, 6809.725568009426, 10403406.025468275]","[0.013911095926213363, 17392.040975863787, 10324172.056429861]","[0.014273668872721242, 17560.028111230313, 10277296.198171167]","[0.01018839263893212, 8580.87235184008, 10337731.857657192]","[0.015216371404209606, 21668.683344302495, 10095274.512471447]","[0.0070695521820797825, 4907.07972229068, 10446514.507143773]","[0.016678628522934266, 20783.15356821949, 9587710.618840925]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009611004194200868, 6809.725568009426, 10403406.025468275]","[0.013911095926213363, 17392.040975863787, 10324172.056429861]","[0.014273668872721242, 17560.028111230313, 10277296.198171167]","[0.01018839263893212, 8580.87235184008, 10337731.857657192]","[0.0070695521820797825, 4907.07972229068, 10446514.507143773]","[0.0068313320292401015, 6309.092136571298, 12822180.102484882]","[0.014417588884122257, 17294.991199166667, 9476071.140432352]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0070695521820797825, 4907.07972229068, 10446514.507143773]","[0.014417588884122257, 17294.991199166667, 9476071.140432352]","[0.007843004338023835, 6797.786495479621, 10371833.910078797]","[0.006657990351987362, 4993.158334032307, 11302546.12674668]","[0.014110911101856706, 21581.69393027309, 8924008.160538977]","[0.009118359257896301, 6766.809009390334, 9937619.97554474]","[0.009097432885244592, 7641.780480582872, 10028370.159592671]","[0.011662180658675874, 8530.840908045606, 9773493.874190925]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0070695521820797825, 4907.07972229068, 10446514.507143773]","[0.007843004338023835, 6797.786495479621, 10371833.910078797]","[0.006657990351987362, 4993.158334032307, 11302546.12674668]","[0.009118359257896301, 6766.809009390334, 9937619.97554474]","[0.009097432885244592, 7641.780480582872, 10028370.159592671]","[0.007014162299858118, 4938.527540034924, 10753508.224558959]","[0.006606002015485612, 6956.171638571605, 13135945.942631546]","[0.006609425658912042, 6266.125149373914, 12356483.82701844]","[0.00943206841111107, 7238.598501656946, 8967801.458856927]","[0.008216819087008978, 6400.405798574036, 10410941.293212436]","[0.01334626509740977, 17868.59874036913, 8828059.983759942]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0070695521820797825, 4907.07972229068, 10446514.507143773]","[0.007843004338023835, 6797.786495479621, 10371833.910078797]","[0.006657990351987362, 4993.158334032307, 11302546.12674668]","[0.009118359257896301, 6766.809009390334, 9937619.97554474]","[0.007014162299858118, 4938.527540034924, 10753508.224558959]","[0.006606002015485612, 6956.171638571605, 13135945.942631546]","[0.006609425658912042, 6266.125149373914, 12356483.82701844]","[0.00943206841111107, 7238.598501656946, 8967801.458856927]","[0.008216819087008978, 6400.405798574036, 10410941.293212436]","[0.01334626509740977, 17868.59874036913, 8828059.983759942]","[0.006565809051928202, 6967.175837354345, 13272653.778634328]","[0.008232705063871536, 6362.470908756031, 9995028.87881136]","[0.015113318629267038, 22199.91746843824, 8800151.270068813]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0070695521820797825, 4907.07972229068, 10446514.507143773]","[0.006657990351987362, 4993.158334032307, 11302546.12674668]","[0.007014162299858118, 4938.527540034924, 10753508.224558959]","[0.006606002015485612, 6956.171638571605, 13135945.942631546]","[0.006609425658912042, 6266.125149373914, 12356483.82701844]","[0.00943206841111107, 7238.598501656946, 8967801.458856927]","[0.008216819087008978, 6400.405798574036, 10410941.293212436]","[0.01334626509740977, 17868.59874036913, 8828059.983759942]","[0.006565809051928202, 6967.175837354345, 13272653.778634328]","[0.008232705063871536, 6362.470908756031, 9995028.87881136]","[0.015113318629267038, 22199.91746843824, 8800151.270068813]","[0.00836201220510186, 6349.412536519233, 9894167.073719554]","[0.009242229887429305, 6748.876268543365, 9761202.374327116]","[0.0077382469603592225, 6785.767923338439, 10252232.568643235]","[0.009951144794140849, 6714.115529320548, 9415212.084685769]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
