"[0.014724723000094813, 17625.961180843966, 10813224.493561905]","[0.023053749313265457, 27354.68437538064, 10745754.223211478]","[0.017691347592886184, 17288.818681975135, 11055253.744637966]","[0.008191019207951244, 6920.189963538924, 11525353.860669062]","[0.008788263209681997, 6891.254398457183, 11182639.4460465]","[0.011388423202284571, 8658.411143659705, 11079186.41863632]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008191019207951244, 6920.189963538924, 11525353.860669062]","[0.008747284378038199, 6865.258519630987, 10956222.456397504]","[0.009870551697577659, 7064.85469014878, 10372034.677837579]","[0.00803015668034179, 6938.716280799286, 11713260.01979508]","[0.009458598824561192, 6220.929478295591, 11941552.535928018]","[0.016303838573744563, 25851.86730717986, 9899773.093625778]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008191019207951244, 6920.189963538924, 11525353.860669062]","[0.009870551697577659, 7064.85469014878, 10372034.677837579]","[0.00803015668034179, 6938.716280799286, 11713260.01979508]","[0.009458598824561192, 6220.929478295591, 11941552.535928018]","[0.016303838573744563, 25851.86730717986, 9899773.093625778]","[0.014905984685782163, 17158.269994978396, 10272414.209744586]","[0.007771293408119943, 8874.674163634723, 13409996.963185132]","[0.008004725976203268, 7229.396355991103, 12075930.375036208]","[0.008654328623507427, 6829.823296244069, 10644771.972672647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008191019207951244, 6920.189963538924, 11525353.860669062]","[0.009870551697577659, 7064.85469014878, 10372034.677837579]","[0.016303838573744563, 25851.86730717986, 9899773.093625778]","[0.014905984685782163, 17158.269994978396, 10272414.209744586]","[0.008654328623507427, 6829.823296244069, 10644771.972672647]","[0.00826997929599254, 6903.753589200431, 11366352.708627595]","[0.00937289369144586, 6169.4421996443925, 11371985.72921659]","[0.014245067156483732, 18265.779794881066, 10181387.5238461]","[0.008439215218756513, 7113.481115245054, 10857954.217495456]","[0.012455072968270597, 6820.140974184942, 10518623.54974517]","[0.019945114238259346, 17220.174672144833, 10108311.807341345]","[0.008476993030833366, 6213.538533151859, 11818554.914687771]","[0.007763637216698151, 8828.154416802103, 12881039.821669854]","[0.007908273451644965, 6920.2261727005425, 11525224.834051972]","[0.017273108841840867, 17578.130079644372, 10184993.438430866]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016303838573744563, 25851.86730717986, 9899773.093625778]","[0.014905984685782163, 17158.269994978396, 10272414.209744586]","[0.008654328623507427, 6829.823296244069, 10644771.972672647]","[0.00937289369144586, 6169.4421996443925, 11371985.72921659]","[0.014245067156483732, 18265.779794881066, 10181387.5238461]","[0.019945114238259346, 17220.174672144833, 10108311.807341345]","[0.007908273451644965, 6920.2261727005425, 11525224.834051972]","[0.017273108841840867, 17578.130079644372, 10184993.438430866]","[0.019945114238259346, 17220.174672144833, 10108311.807341345]","[0.016844781455579317, 21713.208494465205, 10116586.314933982]","[0.007660422623206021, 7561.495231389892, 11860320.970766937]","[0.008135660481639731, 6840.296589396543, 10749716.663146568]","[0.00802403047105191, 6184.047790080986, 11501283.731293768]","[0.007572476086951225, 7221.654350632519, 11912225.94084953]","[0.008748855375678481, 6804.257854650046, 10328823.713555988]","[0.008700577747293556, 6812.328399583856, 10446558.09357939]","[0.008405833313733306, 5600.697169355791, 11886716.661065696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008654328623507427, 6829.823296244069, 10644771.972672647]","[0.00937289369144586, 6169.4421996443925, 11371985.72921659]","[0.007908273451644965, 6920.2261727005425, 11525224.834051972]","[0.008135660481639731, 6840.296589396543, 10749716.663146568]","[0.00802403047105191, 6184.047790080986, 11501283.731293768]","[0.007572476086951225, 7221.654350632519, 11912225.94084953]","[0.008748855375678481, 6804.257854650046, 10328823.713555988]","[0.008700577747293556, 6812.328399583856, 10446558.09357939]","[0.008405833313733306, 5600.697169355791, 11886716.661065696]","[0.010400396506840156, 7051.850703421293, 10193824.858947223]","[0.009307035257547738, 7323.686719001592, 9918234.212629339]","[0.00747913780376435, 6253.5299014549155, 12246783.196946854]","[0.00811687447274, 7127.94858847966, 10964628.19389588]","[0.00793506713717082, 6184.541073069202, 11563859.91487946]","[0.008704073791424885, 6811.79573371636, 10426931.533154922]","[0.008076978712095622, 6872.852955361121, 11063925.878267547]","[0.007602776591920074, 7188.004791319726, 11697016.399422316]","[0.016146428487020716, 17448.441114120345, 9098628.97869321]","[0.0072423170307520535, 7738.762599958315, 13821303.62184086]","[0.008195823239206266, 6167.087274903224, 11412104.846859682]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007908273451644965, 6920.2261727005425, 11525224.834051972]","[0.008135660481639731, 6840.296589396543, 10749716.663146568]","[0.00802403047105191, 6184.047790080986, 11501283.731293768]","[0.00747913780376435, 6253.5299014549155, 12246783.196946854]","[0.00793506713717082, 6184.541073069202, 11563859.91487946]","[0.008076978712095622, 6872.852955361121, 11063925.878267547]","[0.016146428487020716, 17448.441114120345, 9098628.97869321]","[0.007753547197172892, 7157.956343288308, 11296558.297173318]","[0.007859338235059656, 7090.470053827642, 10622092.63757591]","[0.008182570152095475, 5385.882515431581, 11354637.270115206]","[0.007509436448125693, 6196.014773114731, 11679654.414978044]","[0.008253657824441828, 6799.306866229011, 10299371.989761567]","[0.009251301636863673, 7308.19705779986, 9703635.108330349]","[0.00852126586277015, 6771.797760795405, 9961204.293050213]","[0.007222815934345955, 6996.300647127567, 12307414.914248921]","[0.00864403115030709, 8537.565598717356, 9851323.620554727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008135660481639731, 6840.296589396543, 10749716.663146568]","[0.00802403047105191, 6184.047790080986, 11501283.731293768]","[0.00747913780376435, 6253.5299014549155, 12246783.196946854]","[0.00793506713717082, 6184.541073069202, 11563859.91487946]","[0.016146428487020716, 17448.441114120345, 9098628.97869321]","[0.007859338235059656, 7090.470053827642, 10622092.63757591]","[0.008182570152095475, 5385.882515431581, 11354637.270115206]","[0.007509436448125693, 6196.014773114731, 11679654.414978044]","[0.008253657824441828, 6799.306866229011, 10299371.989761567]","[0.009251301636863673, 7308.19705779986, 9703635.108330349]","[0.00852126586277015, 6771.797760795405, 9961204.293050213]","[0.007222815934345955, 6996.300647127567, 12307414.914248921]","[0.00864403115030709, 8537.565598717356, 9851323.620554727]","[0.013346669941932062, 17481.19505689019, 9414718.089190716]","[0.007471501510979064, 7222.687721727016, 12066699.9998399]","[0.007404861924502805, 7540.008328293527, 11685072.759723654]","[0.008226126987561064, 7063.514120015124, 10334024.610953059]","[0.008314371397594783, 7337.675531524656, 9855455.581632705]","[0.007669758105980919, 7471.718758696067, 11227617.698560141]","[0.008776522660819493, 6079.060203499861, 10484007.56140663]","[0.007711137885427738, 6896.226088961132, 11275802.177474504]","[0.008056980228377737, 7374.211196741367, 10382423.576782733]","[0.008020331651018543, 6860.8561908582815, 10907383.824527036]","[0.008032636829137456, 6121.044128590387, 10868606.625882203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016146428487020716, 17448.441114120345, 9098628.97869321]","[0.009191402290313504, 7266.197069752155, 9277383.564223818]","[0.017023642907397954, 17419.3778175052, 8747598.42396852]","[0.0072123325637248915, 5308.910568166046, 9737411.14400361]","[0.008272205130742935, 6710.883608452332, 9441062.48324458]","[0.016161493013346722, 23095.47933076562, 8731670.766250568]","[0.007730326719010898, 6963.60653488731, 9382731.742893394]","[0.007054327612941464, 7209.117884810636, 13435857.832575595]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016146428487020716, 17448.441114120345, 9098628.97869321]","[0.009191402290313504, 7266.197069752155, 9277383.564223818]","[0.017023642907397954, 17419.3778175052, 8747598.42396852]","[0.0072123325637248915, 5308.910568166046, 9737411.14400361]","[0.016161493013346722, 23095.47933076562, 8731670.766250568]","[0.007730326719010898, 6963.60653488731, 9382731.742893394]","[0.011621163398406274, 7260.114384195043, 9289471.874900319]","[0.016519864765718272, 17454.363832376155, 9082876.036694242]","[0.007535841675555325, 6998.5692264861655, 9729704.672630081]","[0.00691016738596189, 7228.662095144578, 13623275.709442485]","[0.006972086652085092, 7195.230179437855, 11704114.187465016]","[0.007690236576935853, 5976.56290105548, 9388974.076133674]","[0.00710269774316101, 6149.091081994124, 11123505.128537646]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
