"[0.011531763649680662, 8688.856127682575, 11293038.013247754]","[0.015868675362466136, 19979.21339281892, 11227605.36491287]","[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.007446877014974799, 5554.437723048948, 14127369.850063236]","[0.020120237927614654, 22867.966796592867, 10457671.864264224]","[0.01768216743231155, 20866.88824624173, 11204698.773308247]","[0.007495354779365986, 6180.097405738955, 11483335.32637002]","[0.011531763649680662, 8688.856127682575, 11293038.013247754]","[0.01621556508293742, 25809.032642841918, 9769558.703034779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.007495354779365986, 6180.097405738955, 11483335.32637002]","[0.01621556508293742, 25809.032642841918, 9769558.703034779]","[0.008025971301366085, 6472.483974888111, 11077258.339578724]","[0.01827810536499865, 17567.00180065577, 10258049.96743808]","[0.006649981318467553, 5732.693322068366, 13356426.783357702]","[0.007440421991567385, 5503.940415325385, 13614541.611269902]","[0.015473398828246481, 19089.853210471843, 10774001.807551393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007495354779365986, 6180.097405738955, 11483335.32637002]","[0.01827810536499865, 17567.00180065577, 10258049.96743808]","[0.006649981318467553, 5732.693322068366, 13356426.783357702]","[0.007440421991567385, 5503.940415325385, 13614541.611269902]","[0.007680782478149434, 6156.1961511856325, 11348635.483209819]","[0.015418009854270016, 20672.714026563517, 8743920.63554352]","[0.007399513153513744, 5520.466877682786, 13773761.337850856]","[0.01492849167184049, 21274.269338789436, 9498292.917509815]","[0.006793918763785161, 5702.693360336812, 13021131.52107439]","[0.007767978678169602, 5328.842788691727, 10316943.158642836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007495354779365986, 6180.097405738955, 11483335.32637002]","[0.006649981318467553, 5732.693322068366, 13356426.783357702]","[0.007440421991567385, 5503.940415325385, 13614541.611269902]","[0.007680782478149434, 6156.1961511856325, 11348635.483209819]","[0.015418009854270016, 20672.714026563517, 8743920.63554352]","[0.007399513153513744, 5520.466877682786, 13773761.337850856]","[0.01492849167184049, 21274.269338789436, 9498292.917509815]","[0.006793918763785161, 5702.693360336812, 13021131.52107439]","[0.007767978678169602, 5328.842788691727, 10316943.158642836]","[0.014248294346674413, 19815.565530603806, 9886627.227507284]","[0.01674401981765743, 19747.109162975776, 9373941.272187296]","[0.014441371794228395, 20741.87456914735, 9665237.378031276]","[0.01504306972935078, 17541.023366432015, 10089480.757400462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006649981318467553, 5732.693322068366, 13356426.783357702]","[0.015418009854270016, 20672.714026563517, 8743920.63554352]","[0.01492849167184049, 21274.269338789436, 9498292.917509815]","[0.006793918763785161, 5702.693360336812, 13021131.52107439]","[0.007767978678169602, 5328.842788691727, 10316943.158642836]","[0.014248294346674413, 19815.565530603806, 9886627.227507284]","[0.01674401981765743, 19747.109162975776, 9373941.272187296]","[0.014441371794228395, 20741.87456914735, 9665237.378031276]","[0.01504306972935078, 17541.023366432015, 10089480.757400462]","[0.01422180724673937, 17157.923195652485, 10272449.44301422]","[0.007168814555744398, 6134.220132730316, 11003556.429324903]","[0.0072240877046017655, 5444.4673365054205, 12968589.749102863]","[0.014392384925488378, 17549.063497883704, 10140408.209780045]","[0.008339639008697454, 4899.663612236224, 11465401.646169111]","[0.007626992800805133, 5428.843101323882, 11622174.661936197]","[0.016743173953516814, 19785.109524420073, 9729312.048000574]","[0.01492849167184049, 21274.269338789436, 9498292.917509815]","[0.008533470797098732, 6394.5731431563345, 10305950.348388018]","[0.0076718216358120294, 5427.831895350377, 11314225.277130706]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015418009854270016, 20672.714026563517, 8743920.63554352]","[0.007767978678169602, 5328.842788691727, 10316943.158642836]","[0.014248294346674413, 19815.565530603806, 9886627.227507284]","[0.01674401981765743, 19747.109162975776, 9373941.272187296]","[0.01504306972935078, 17541.023366432015, 10089480.757400462]","[0.01422180724673937, 17157.923195652485, 10272449.44301422]","[0.007168814555744398, 6134.220132730316, 11003556.429324903]","[0.014392384925488378, 17549.063497883704, 10140408.209780045]","[0.008339639008697454, 4899.663612236224, 11465401.646169111]","[0.007626992800805133, 5428.843101323882, 11622174.661936197]","[0.008533470797098732, 6394.5731431563345, 10305950.348388018]","[0.0076718216358120294, 5427.831895350377, 11314225.277130706]","[0.006545553018827177, 5422.032214751385, 12760824.97420341]","[0.016609050873008804, 16040.121623364836, 10240956.4295685]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.014681797110415094, 21860.265562938974, 8876776.875360385]","[0.016160881091707133, 19764.419007864075, 9279669.916194247]","[0.007973421849905156, 5012.757773603007, 12556731.79844905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015418009854270016, 20672.714026563517, 8743920.63554352]","[0.007767978678169602, 5328.842788691727, 10316943.158642836]","[0.01674401981765743, 19747.109162975776, 9373941.272187296]","[0.007168814555744398, 6134.220132730316, 11003556.429324903]","[0.008339639008697454, 4899.663612236224, 11465401.646169111]","[0.008533470797098732, 6394.5731431563345, 10305950.348388018]","[0.006545553018827177, 5422.032214751385, 12760824.97420341]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.014681797110415094, 21860.265562938974, 8876776.875360385]","[0.016160881091707133, 19764.419007864075, 9279669.916194247]","[0.013699377188765972, 19811.997109694028, 9694885.156877883]","[0.007291018776153301, 5073.089446318815, 12340479.774808785]","[0.015244452314867273, 17504.031286723097, 9720864.153966324]","[0.007589007936464292, 7093.525928981476, 10620943.81117371]","[0.007514315629468245, 5385.348114763201, 10892267.611432998]","[0.007869670246743475, 4973.767906945917, 12152192.185333664]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.007996270428620866, 4950.729583758415, 10672075.176228222]","[0.012376577608017197, 8535.313885175354, 9946460.648320446]","[0.0073368120804717584, 5626.283436585726, 12254933.619371707]","[0.014251888058553267, 19783.56335301328, 9544494.07226913]","[0.0063640011350560985, 5272.51191587243, 13729826.878543802]","[0.00644205932611538, 5713.7103013719, 13108357.103821738]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015418009854270016, 20672.714026563517, 8743920.63554352]","[0.007767978678169602, 5328.842788691727, 10316943.158642836]","[0.01674401981765743, 19747.109162975776, 9373941.272187296]","[0.007168814555744398, 6134.220132730316, 11003556.429324903]","[0.008339639008697454, 4899.663612236224, 11465401.646169111]","[0.008533470797098732, 6394.5731431563345, 10305950.348388018]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.014681797110415094, 21860.265562938974, 8876776.875360385]","[0.016160881091707133, 19764.419007864075, 9279669.916194247]","[0.013699377188765972, 19811.997109694028, 9694885.156877883]","[0.007291018776153301, 5073.089446318815, 12340479.774808785]","[0.015244452314867273, 17504.031286723097, 9720864.153966324]","[0.007589007936464292, 7093.525928981476, 10620943.81117371]","[0.007514315629468245, 5385.348114763201, 10892267.611432998]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.007996270428620866, 4950.729583758415, 10672075.176228222]","[0.012376577608017197, 8535.313885175354, 9946460.648320446]","[0.014251888058553267, 19783.56335301328, 9544494.07226913]","[0.0063640011350560985, 5272.51191587243, 13729826.878543802]","[0.00644205932611538, 5713.7103013719, 13108357.103821738]","[0.0072322006732186755, 6120.135383963249, 10888876.343895504]","[0.00767871253916977, 6721.653518183226, 10742820.172761325]","[0.006481898920375216, 5327.015827237076, 11781648.024369918]","[0.01674401981765743, 19747.109162975776, 9373941.272187296]","[0.0071040845250264955, 5582.092153308, 11751109.574172325]","[0.015851573850887268, 17150.776051098976, 9576285.477418533]","[0.016921104957554636, 17479.57474433378, 9524232.498271096]","[0.008762791834027304, 6383.9982481140905, 10235263.359001262]","[0.0074422545087351084, 4703.843410538209, 11589337.127368933]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007767978678169602, 5328.842788691727, 10316943.158642836]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.013701467937343765, 20695.397788472146, 8958103.15384965]","[0.012376577608017197, 8535.313885175354, 9946460.648320446]","[0.0063640011350560985, 5272.51191587243, 13729826.878543802]","[0.00644205932611538, 5713.7103013719, 13108357.103821738]","[0.0072322006732186755, 6120.135383963249, 10888876.343895504]","[0.006481898920375216, 5327.015827237076, 11781648.024369918]","[0.015851573850887268, 17150.776051098976, 9576285.477418533]","[0.0074422545087351084, 4703.843410538209, 11589337.127368933]","[0.006515110443679775, 5504.239194124153, 10988539.77378549]","[0.0070481273512859495, 5426.715513309329, 10942253.90250473]","[0.0141941828380466, 20647.38417128831, 8581001.433960631]","[0.0073939053145584445, 4819.232835383122, 10604279.732929057]","[0.01339980582596173, 17447.0248384256, 9008281.721497377]","[0.024020976510628053, 17374.723191533663, 9359980.303285304]","[0.007130818557127984, 5419.312706024403, 11561368.99067468]","[0.007163236483569858, 5061.56637355617, 12200397.871584369]","[0.007650955816834785, 6038.729710903383, 10144129.17220632]","[0.007608803393840479, 6403.115953203655, 10452455.356628934]","[0.011288010856183578, 8553.357728648956, 9879390.001589233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0063640011350560985, 5272.51191587243, 13729826.878543802]","[0.00644205932611538, 5713.7103013719, 13108357.103821738]","[0.006481898920375216, 5327.015827237076, 11781648.024369918]","[0.0074422545087351084, 4703.843410538209, 11589337.127368933]","[0.006515110443679775, 5504.239194124153, 10988539.77378549]","[0.0073939053145584445, 4819.232835383122, 10604279.732929057]","[0.01339980582596173, 17447.0248384256, 9008281.721497377]","[0.007163236483569858, 5061.56637355617, 12200397.871584369]","[0.007180571527825817, 4129.773409427674, 11909276.32030647]","[0.007516481625718881, 5243.347557978061, 9450448.886762407]","[0.006312068667891342, 5743.207739047128, 13411282.604128525]","[0.007182333371553317, 6808.492042273972, 10473500.67103555]","[0.007752682194823311, 4944.240578344727, 10593154.231435338]","[0.011873540097842175, 17774.871003986325, 8202021.158404892]","[0.01394111455956929, 16454.12138929375, 9189915.975597868]","[0.007091235401836815, 5386.940551298773, 10866238.468090136]","[0.0067332999876441, 5407.377882096509, 10742391.337830927]","[0.013249150463223953, 20576.373728176928, 7689334.000587519]","[0.017843253866888415, 17328.239605899194, 8839631.928659314]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
