"[0.011730932619052788, 10318.491091998005, 11444815.704538831]","[0.01455226618534585, 20477.13635259955, 10699077.745124973]","[0.013084802239735528, 17677.22826282951, 10726914.162588552]","[0.015473902339078964, 16825.277109995204, 11420808.292756043]","[0.01614911422359402, 22052.607226958735, 10174657.143457888]","[0.027276848779628785, 40719.52396250891, 9948438.18951161]","[0.009230618221960554, 6250.001880525111, 12207523.09184836]","[0.009803489528499664, 6854.967432061873, 12185112.347107274]","[0.008520146122717474, 7743.0992773392945, 13990485.108986247]","[0.008729826756680277, 6919.394644810213, 11552404.834740594]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.027276848779628785, 40719.52396250891, 9948438.18951161]","[0.009230618221960554, 6250.001880525111, 12207523.09184836]","[0.008520146122717474, 7743.0992773392945, 13990485.108986247]","[0.008729826756680277, 6919.394644810213, 11552404.834740594]","[0.009575330340737489, 6202.991306561759, 11746563.787669225]","[0.012708178382424334, 17539.260196408068, 10614885.497458542]","[0.010148137710112286, 7125.055510261182, 11059177.100625644]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009230618221960554, 6250.001880525111, 12207523.09184836]","[0.008729826756680277, 6919.394644810213, 11552404.834740594]","[0.009575330340737489, 6202.991306561759, 11746563.787669225]","[0.012708178382424334, 17539.260196408068, 10614885.497458542]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]","[0.009678713465144206, 6151.938546682084, 11211402.650110597]","[0.010133832688784141, 6638.897283515656, 10759299.337730197]","[0.008577017608675805, 6897.529279385246, 12553810.156045249]","[0.014875410898508919, 21680.75382439457, 9594375.334798148]","[0.015025192003776522, 17598.192934183637, 10316256.831148934]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]","[0.008485572346328317, 7607.672217549723, 12415030.249462]","[0.01449254248321988, 20401.1380264663, 10036411.589782907]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012708178382424334, 17539.260196408068, 10614885.497458542]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]","[0.010133832688784141, 6638.897283515656, 10759299.337730197]","[0.014875410898508919, 21680.75382439457, 9594375.334798148]","[0.015025192003776522, 17598.192934183637, 10316256.831148934]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]","[0.01449254248321988, 20401.1380264663, 10036411.589782907]","[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.012879826566674447, 8621.379412310498, 10643905.533305902]","[0.008911238207575634, 6874.393519769512, 11110573.967892239]","[0.014912752293001565, 22295.552880212766, 9163723.776463335]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012708178382424334, 17539.260196408068, 10614885.497458542]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]","[0.010133832688784141, 6638.897283515656, 10759299.337730197]","[0.015025192003776522, 17598.192934183637, 10316256.831148934]","[0.013955660585931963, 17615.221454623374, 10099622.123901345]","[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.012879826566674447, 8621.379412310498, 10643905.533305902]","[0.008911238207575634, 6874.393519769512, 11110573.967892239]","[0.014912752293001565, 22295.552880212766, 9163723.776463335]","[0.015025192003776522, 17598.192934183637, 10316256.831148934]","[0.014896464133139355, 21668.73847430233, 9411841.778665045]","[0.013901290469581966, 17877.85665245656, 9594080.97370851]","[0.012094106442458652, 17622.426373777158, 10191731.311148833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012708178382424334, 17539.260196408068, 10614885.497458542]","[0.010133832688784141, 6638.897283515656, 10759299.337730197]","[0.015025192003776522, 17598.192934183637, 10316256.831148934]","[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.012879826566674447, 8621.379412310498, 10643905.533305902]","[0.008911238207575634, 6874.393519769512, 11110573.967892239]","[0.014912752293001565, 22295.552880212766, 9163723.776463335]","[0.015025192003776522, 17598.192934183637, 10316256.831148934]","[0.014896464133139355, 21668.73847430233, 9411841.778665045]","[0.013901290469581966, 17877.85665245656, 9594080.97370851]","[0.012094106442458652, 17622.426373777158, 10191731.311148833]","[0.013099320445892513, 17615.14386368653, 10062399.986413248]","[0.009640172972895803, 6131.449873398067, 10995571.059194097]","[0.00988023559048929, 10247.002447263872, 10718675.725461323]","[0.0190843345838466, 16617.01872710153, 10086850.390494116]","[0.012094106442458652, 17622.426373777158, 10191731.311148833]","[0.011656489459749121, 8629.414886963586, 10745273.27181158]","[0.00992824466572962, 6123.112364220234, 10950364.143074084]","[0.009272791597098722, 6639.391528085863, 10828966.80011979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.010133832688784141, 6638.897283515656, 10759299.337730197]","[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.008911238207575634, 6874.393519769512, 11110573.967892239]","[0.014912752293001565, 22295.552880212766, 9163723.776463335]","[0.014896464133139355, 21668.73847430233, 9411841.778665045]","[0.013099320445892513, 17615.14386368653, 10062399.986413248]","[0.009640172972895803, 6131.449873398067, 10995571.059194097]","[0.00988023559048929, 10247.002447263872, 10718675.725461323]","[0.0190843345838466, 16617.01872710153, 10086850.390494116]","[0.00992824466572962, 6123.112364220234, 10950364.143074084]","[0.009272791597098722, 6639.391528085863, 10828966.80011979]","[0.012714249728225487, 17883.959243395504, 9789616.791702481]","[0.013346606436593765, 17152.118188635846, 9567193.005462106]","[0.012331814490960399, 19482.5708457704, 9574323.233823005]","[0.009885891670024415, 7039.044125031439, 10114852.10772202]","[0.009640172972895803, 6131.449873398067, 10995571.059194097]","[0.007705397018177912, 4997.790396382643, 11124252.44637782]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.0190843345838466, 16617.01872710153, 10086850.390494116]","[0.012714249728225487, 17883.959243395504, 9789616.791702481]","[0.013346606436593765, 17152.118188635846, 9567193.005462106]","[0.012331814490960399, 19482.5708457704, 9574323.233823005]","[0.009885891670024415, 7039.044125031439, 10114852.10772202]","[0.007705397018177912, 4997.790396382643, 11124252.44637782]","[0.012971476055928818, 17586.70867890853, 9659723.05285653]","[0.015957739760899023, 21003.786086341435, 8649493.65483913]","[0.013210207796317729, 20606.720786682487, 8839401.02006086]","[0.00855017265984839, 6092.013070966075, 10540329.270836415]","[0.0118738275300243, 17613.734404702762, 9952482.646413093]","[0.008816381857460807, 7056.536120060598, 10355960.099462816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.007705397018177912, 4997.790396382643, 11124252.44637782]","[0.015957739760899023, 21003.786086341435, 8649493.65483913]","[0.013210207796317729, 20606.720786682487, 8839401.02006086]","[0.00855017265984839, 6092.013070966075, 10540329.270836415]","[0.008816381857460807, 7056.536120060598, 10355960.099462816]","[0.01331977014741577, 17110.63458251111, 9124177.95367483]","[0.005389588067951908, 3511.7776197424546, 11590353.644022724]","[0.015968685731659608, 21002.280306068413, 8671560.537419207]","[0.012082783590355793, 17553.78554310151, 9363202.27787369]","[0.013088232614595793, 17896.600516563198, 9098486.585901408]","[0.008849504643845, 6012.78650321799, 9798599.88128205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.007705397018177912, 4997.790396382643, 11124252.44637782]","[0.005389588067951908, 3511.7776197424546, 11590353.644022724]","[0.008849504643845, 6012.78650321799, 9798599.88128205]","[0.013513781337773182, 20589.217250989343, 8647210.888605103]","[0.008521701310840327, 5215.38940028184, 10688990.113696508]","[0.008364690560711992, 5245.91147554244, 10988076.955083745]","[0.011474983899355121, 19427.978907102497, 8832578.940664362]","[0.007544271591899914, 6661.460236311179, 8849994.8751642]","[0.008364737930289277, 6061.182230101929, 10264286.290860405]","[0.005570937669843041, 3467.2811708377512, 11138359.108245654]","[0.01407032192635513, 20920.952571142396, 8477129.40505976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
