"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.010317104694993981, 6256.111657940633, 12327996.266304882]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.013653643714936861, 21165.070242103535, 9224668.027651224]","[0.014717696756969025, 17259.97252154592, 10727117.25896072]","[0.018523413127115716, 19683.59739755356, 10595447.506009337]","[0.007366651283800598, 6637.420894355369, 12735698.90438937]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.009516920505293723, 8648.462198332994, 10967875.297655039]","[0.013053845597983432, 17621.673472666032, 10909915.647454217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.010317104694993981, 6256.111657940633, 12327996.266304882]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.013653643714936861, 21165.070242103535, 9224668.027651224]","[0.014717696756969025, 17259.97252154592, 10727117.25896072]","[0.007366651283800598, 6637.420894355369, 12735698.90438937]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.009516920505293723, 8648.462198332994, 10967875.297655039]","[0.015313199691665358, 17223.991897408374, 10440684.26105601]","[0.014911164898638697, 19670.03763894629, 10245232.821771564]","[0.013013964340535183, 17610.674346817956, 10734887.163361317]","[0.0072246743035742295, 5218.98933417049, 13152199.429781018]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.010317104694993981, 6256.111657940633, 12327996.266304882]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.013653643714936861, 21165.070242103535, 9224668.027651224]","[0.007366651283800598, 6637.420894355369, 12735698.90438937]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.015313199691665358, 17223.991897408374, 10440684.26105601]","[0.014911164898638697, 19670.03763894629, 10245232.821771564]","[0.0072246743035742295, 5218.98933417049, 13152199.429781018]","[0.008548451364974464, 6598.447869497854, 12375193.653729398]","[0.007644474339041868, 6826.454134871261, 10634724.016565582]","[0.013616908670147055, 19836.96424437975, 9550409.953361308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.013653643714936861, 21165.070242103535, 9224668.027651224]","[0.007366651283800598, 6637.420894355369, 12735698.90438937]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.015313199691665358, 17223.991897408374, 10440684.26105601]","[0.0072246743035742295, 5218.98933417049, 13152199.429781018]","[0.007644474339041868, 6826.454134871261, 10634724.016565582]","[0.007475969634956011, 6989.959464767202, 12307080.994538652]","[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.009376844572611903, 6824.434192473969, 11817007.45702914]","[0.007460390159686846, 7260.629120342527, 12439227.13797832]","[0.007894450623657996, 5610.305175407569, 12011786.935752336]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.013653643714936861, 21165.070242103535, 9224668.027651224]","[0.007366651283800598, 6637.420894355369, 12735698.90438937]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.0072246743035742295, 5218.98933417049, 13152199.429781018]","[0.007644474339041868, 6826.454134871261, 10634724.016565582]","[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.00948967811541679, 8604.97508773391, 10534114.676246572]","[0.013696279728088158, 10575.7588874197, 10205961.842313644]","[0.012291253235942634, 17194.57194900516, 9871307.175252028]","[0.007413096824691445, 6976.44490997347, 12159363.927585028]","[0.011159530533764239, 10601.229640398748, 10394532.103501812]","[0.008065859069877517, 6501.503330339867, 11451924.292235872]","[0.013545217273937076, 21165.06185386006, 9225521.711847907]","[0.007726790146022196, 5441.436848361143, 11483769.268655151]","[0.009292273302324633, 6761.938838734446, 11200697.55652478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.0072246743035742295, 5218.98933417049, 13152199.429781018]","[0.007644474339041868, 6826.454134871261, 10634724.016565582]","[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.007638857223860786, 6907.957240836786, 11450634.124816965]","[0.013696279728088158, 10575.7588874197, 10205961.842313644]","[0.007413096824691445, 6976.44490997347, 12159363.927585028]","[0.008065859069877517, 6501.503330339867, 11451924.292235872]","[0.013545217273937076, 21165.06185386006, 9225521.711847907]","[0.007726790146022196, 5441.436848361143, 11483769.268655151]","[0.009292273302324633, 6761.938838734446, 11200697.55652478]","[0.008600748932277668, 6500.081648190768, 11375898.848735528]","[0.013614305935146289, 21104.05331074264, 8496738.47868482]","[0.007918921154090602, 6818.469243432405, 10528321.191948941]","[0.009904267049270797, 8583.082421370073, 10322983.009429973]","[0.0069539182528617904, 5526.435606847193, 12294406.736984272]","[0.011791791824965073, 17148.061232618387, 9428690.755352873]","[0.008673562456527265, 6485.990978152746, 11291567.966197066]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.007726790146022196, 5441.436848361143, 11483769.268655151]","[0.013614305935146289, 21104.05331074264, 8496738.47868482]","[0.011791791824965073, 17148.061232618387, 9428690.755352873]","[0.006904955291223618, 5448.540902122181, 11515492.795579374]","[0.009960110039814325, 6161.620231333232, 11382531.628749441]","[0.01177992430945503, 18278.917115009506, 8907078.19226297]","[0.007007977517755032, 5239.508015607456, 13335814.888393667]","[0.009439550882878176, 6339.437357111285, 9715042.347726615]","[0.007075636209600296, 6369.020678499648, 10021964.014900189]","[0.0071362021468372, 5213.476894833061, 13127565.293706132]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.013614305935146289, 21104.05331074264, 8496738.47868482]","[0.011791791824965073, 17148.061232618387, 9428690.755352873]","[0.006904955291223618, 5448.540902122181, 11515492.795579374]","[0.01177992430945503, 18278.917115009506, 8907078.19226297]","[0.007007977517755032, 5239.508015607456, 13335814.888393667]","[0.009439550882878176, 6339.437357111285, 9715042.347726615]","[0.007075636209600296, 6369.020678499648, 10021964.014900189]","[0.0071362021468372, 5213.476894833061, 13127565.293706132]","[0.006906279473872915, 5387.540237141241, 10890051.383003823]","[0.014775409611932544, 23418.999819263274, 8247562.621351494]","[0.007709421418281491, 6734.468551299959, 9657953.117138961]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.013614305935146289, 21104.05331074264, 8496738.47868482]","[0.011791791824965073, 17148.061232618387, 9428690.755352873]","[0.006904955291223618, 5448.540902122181, 11515492.795579374]","[0.01177992430945503, 18278.917115009506, 8907078.19226297]","[0.007007977517755032, 5239.508015607456, 13335814.888393667]","[0.009439550882878176, 6339.437357111285, 9715042.347726615]","[0.007075636209600296, 6369.020678499648, 10021964.014900189]","[0.0071362021468372, 5213.476894833061, 13127565.293706132]","[0.006906279473872915, 5387.540237141241, 10890051.383003823]","[0.014775409611932544, 23418.999819263274, 8247562.621351494]","[0.007709421418281491, 6734.468551299959, 9657953.117138961]","[0.006251402086501888, 6512.658357593928, 11433553.504686426]","[0.007007977517755032, 5239.508015607456, 13335814.888393667]","[0.007110197596484504, 5226.992600624774, 13241196.279294774]","[0.009456748496842846, 6337.931576838263, 9711093.96423286]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012813274481085551, 17479.06169173349, 9377222.663775742]","[0.013614305935146289, 21104.05331074264, 8496738.47868482]","[0.011791791824965073, 17148.061232618387, 9428690.755352873]","[0.006904955291223618, 5448.540902122181, 11515492.795579374]","[0.01177992430945503, 18278.917115009506, 8907078.19226297]","[0.007007977517755032, 5239.508015607456, 13335814.888393667]","[0.009439550882878176, 6339.437357111285, 9715042.347726615]","[0.007075636209600296, 6369.020678499648, 10021964.014900189]","[0.006906279473872915, 5387.540237141241, 10890051.383003823]","[0.014775409611932544, 23418.999819263274, 8247562.621351494]","[0.007709421418281491, 6734.468551299959, 9657953.117138961]","[0.007007977517755032, 5239.508015607456, 13335814.888393667]","[0.007110197596484504, 5226.992600624774, 13241196.279294774]","[0.009456748496842846, 6337.931576838263, 9711093.96423286]","[0.008654267571458799, 8512.009751665366, 9577300.613875337]","[0.007513699395706619, 5030.830365684803, 11455163.11765501]","[0.011880776723830254, 17482.59326177467, 9407968.304215003]","[0.013614305935146289, 21104.05331074264, 8496738.47868482]","[0.01245683473927533, 17138.609653424308, 9415421.682920657]","[0.0089285373829315, 6067.555639152816, 10330169.640559163]","[0.0070434816346390495, 5230.992271767165, 13279208.90260279]","[0.007117746396969635, 5153.9848478899485, 12507893.159129184]","[0.007526197045366482, 5453.809564110899, 10423340.898178836]","[0.006193889652891838, 6430.652922620984, 10583918.656406015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
