"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.010609239820043904, 6504.929002671915, 11451475.999463243]","[0.013081488937842702, 17144.264765049546, 9954434.18422894]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.012787116722239596, 17808.916607466654, 10632714.378236916]","[0.009016329870701133, 7184.855780841133, 11640312.599152174]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.008557725002052005, 7566.570611356809, 12097919.015030442]","[0.008756198082770679, 6249.460244072485, 12168883.3471896]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.010609239820043904, 6504.929002671915, 11451475.999463243]","[0.013081488937842702, 17144.264765049546, 9954434.18422894]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.012787116722239596, 17808.916607466654, 10632714.378236916]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.008756198082770679, 6249.460244072485, 12168883.3471896]","[0.008544592502749106, 7523.0770379507685, 11634233.50476931]","[0.007106803308068217, 4836.874761606691, 12957301.285437273]","[0.014826989520470832, 21627.97135042742, 9936993.629769657]","[0.008616978499689204, 6525.4743144441745, 11637740.067563139]","[0.009032787764500907, 7087.823919521035, 10675672.058992023]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.010609239820043904, 6504.929002671915, 11451475.999463243]","[0.013081488937842702, 17144.264765049546, 9954434.18422894]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.008544592502749106, 7523.0770379507685, 11634233.50476931]","[0.007106803308068217, 4836.874761606691, 12957301.285437273]","[0.008616978499689204, 6525.4743144441745, 11637740.067563139]","[0.009032787764500907, 7087.823919521035, 10675672.058992023]","[0.011004455119541413, 8587.921372368382, 10415492.053289095]","[0.009306315204807576, 7076.788438835383, 10516815.404025309]","[0.008374370325062603, 6223.712490432445, 12021965.986631624]","[0.010276693974185121, 6737.371057377818, 10847840.505740399]","[0.012028881412384866, 19867.622315199387, 9864852.181724045]","[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.008191343467784018, 6591.456983027465, 12263296.950939521]","[0.007003316562596899, 4996.781363810747, 12400186.404500127]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.013081488937842702, 17144.264765049546, 9954434.18422894]","[0.007106803308068217, 4836.874761606691, 12957301.285437273]","[0.012028881412384866, 19867.622315199387, 9864852.181724045]","[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.007003316562596899, 4996.781363810747, 12400186.404500127]","[0.014451151123610983, 16568.235282365797, 9788383.322806003]","[0.011185897592160203, 8574.893975844612, 10229207.246110234]","[0.016054380058004695, 20723.2128327999, 9537786.149682185]","[0.009495451631460986, 7058.340766884432, 10310789.403903654]","[0.008079259575721413, 6057.62263645649, 10378471.804524109]","[0.007310311319365062, 4147.664819195306, 12084736.251470558]","[0.013154975558589627, 19208.286161847198, 9869182.726266798]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007106803308068217, 4836.874761606691, 12957301.285437273]","[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.007003316562596899, 4996.781363810747, 12400186.404500127]","[0.016054380058004695, 20723.2128327999, 9537786.149682185]","[0.009495451631460986, 7058.340766884432, 10310789.403903654]","[0.008079259575721413, 6057.62263645649, 10378471.804524109]","[0.007310311319365062, 4147.664819195306, 12084736.251470558]","[0.008058051991854033, 6176.2185747492595, 11538614.192382077]","[0.010850824615339325, 8523.900869507986, 9675484.78093304]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.007003316562596899, 4996.781363810747, 12400186.404500127]","[0.009495451631460986, 7058.340766884432, 10310789.403903654]","[0.008079259575721413, 6057.62263645649, 10378471.804524109]","[0.007310311319365062, 4147.664819195306, 12084736.251470558]","[0.010850824615339325, 8523.900869507986, 9675484.78093304]","[0.007054552974132048, 4793.370412168368, 12524597.0250304]","[0.011756412053932283, 17223.549863506672, 9644372.903421419]","[0.007280034655051373, 4900.103933390867, 11439111.399507627]","[0.015936841860683386, 20713.729415290763, 9340844.408315929]","[0.015820675743370368, 17244.846164890972, 9618665.673944108]","[0.01783527655465241, 19791.294897659056, 8945222.607794734]","[0.008564274394803884, 7369.092413674663, 10091444.403635154]","[0.007297216265243975, 4805.812007420855, 10458356.313191846]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.007310311319365062, 4147.664819195306, 12084736.251470558]","[0.007054552974132048, 4793.370412168368, 12524597.0250304]","[0.01783527655465241, 19791.294897659056, 8945222.607794734]","[0.008564274394803884, 7369.092413674663, 10091444.403635154]","[0.007297216265243975, 4805.812007420855, 10458356.313191846]","[0.0062069206363436925, 4878.689257108361, 10143971.095314682]","[0.00913730696726062, 6336.476194867861, 9714928.578452]","[0.014425049283573728, 17559.945956079522, 9298976.291110447]","[0.01072594244655182, 8482.396319076632, 9340350.627818467]","[0.01560531641776095, 17887.197847596522, 9264364.68640301]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.007310311319365062, 4147.664819195306, 12084736.251470558]","[0.007054552974132048, 4793.370412168368, 12524597.0250304]","[0.01783527655465241, 19791.294897659056, 8945222.607794734]","[0.008564274394803884, 7369.092413674663, 10091444.403635154]","[0.007297216265243975, 4805.812007420855, 10458356.313191846]","[0.0062069206363436925, 4878.689257108361, 10143971.095314682]","[0.00913730696726062, 6336.476194867861, 9714928.578452]","[0.014425049283573728, 17559.945956079522, 9298976.291110447]","[0.01072594244655182, 8482.396319076632, 9340350.627818467]","[0.01560531641776095, 17887.197847596522, 9264364.68640301]","[0.007066806452145146, 4777.390541895738, 12363071.99390305]","[0.006619857763972916, 4846.33698378213, 10889735.021863772]","[0.007646829208120671, 4804.231973578026, 10447570.130453827]","[0.008674251645403315, 6019.607200355018, 9942284.030950697]","[0.009912478852603763, 8489.970395863771, 9425827.611121895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.007054552974132048, 4793.370412168368, 12524597.0250304]","[0.00913730696726062, 6336.476194867861, 9714928.578452]","[0.01072594244655182, 8482.396319076632, 9340350.627818467]","[0.007066806452145146, 4777.390541895738, 12363071.99390305]","[0.006619857763972916, 4846.33698378213, 10889735.021863772]","[0.009912478852603763, 8489.970395863771, 9425827.611121895]","[0.005785512193555049, 4850.694451389167, 9836095.702560732]","[0.009507416418848677, 7239.518528043191, 9679673.970434599]","[0.007239876218374418, 4553.848514327704, 10070435.86858105]","[0.016193310191267157, 19775.363087364964, 8707091.06550739]","[0.008353519675970715, 5998.112668258056, 9723882.859611865]","[0.007229651781298884, 4027.6643811869358, 10898650.946252553]","[0.0108844983937735, 8452.364774427566, 8936482.506238235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.00913730696726062, 6336.476194867861, 9714928.578452]","[0.01072594244655182, 8482.396319076632, 9340350.627818467]","[0.009912478852603763, 8489.970395863771, 9425827.611121895]","[0.005785512193555049, 4850.694451389167, 9836095.702560732]","[0.009507416418848677, 7239.518528043191, 9679673.970434599]","[0.016193310191267157, 19775.363087364964, 8707091.06550739]","[0.008353519675970715, 5998.112668258056, 9723882.859611865]","[0.007229651781298884, 4027.6643811869358, 10898650.946252553]","[0.0108844983937735, 8452.364774427566, 8936482.506238235]","[0.016100917301171695, 20669.71232950849, 8922047.052380558]","[0.0071686127768870594, 4551.35072173272, 10031821.785560086]","[0.0061941912705056655, 4647.935545946033, 11032579.473105976]","[0.006339960092952994, 4840.693807990495, 9762767.155469142]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
