"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.0084081988578651, 6635.385187908201, 12797816.411416132]","[0.008920684985933963, 6553.908957414906, 11966908.534766573]","[0.008659290911836905, 7239.948923442813, 12144127.922579031]","[0.008334964752309432, 6976.5981069048, 13395911.726527538]","[0.010074810095204284, 10684.905406025959, 11447955.152570264]","[0.014530993977747982, 17991.491662019856, 10327676.254577175]","[0.012085759841901062, 7029.687251586712, 12703304.992228542]","[0.016141307498410244, 17900.218090897484, 10966313.711610306]","[0.00947329048069126, 7103.104808081007, 12311728.8053432]","[0.009353103485721118, 7268.41046053641, 12517116.76590385]","[0.00834170006893429, 7534.721135100086, 11836155.083528325]","[0.01054321076476524, 7064.87084238484, 13118852.904488845]","[0.01121410482054079, 7229.330088802936, 12130795.193866802]","[0.009655314922608411, 7491.03439930171, 11178126.676339129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.0084081988578651, 6635.385187908201, 12797816.411416132]","[0.008920684985933963, 6553.908957414906, 11966908.534766573]","[0.008659290911836905, 7239.948923442813, 12144127.922579031]","[0.008334964752309432, 6976.5981069048, 13395911.726527538]","[0.00834170006893429, 7534.721135100086, 11836155.083528325]","[0.009655314922608411, 7491.03439930171, 11178126.676339129]","[0.013260318103442716, 17373.743860306302, 10747852.469048845]","[0.011597554144545703, 7503.491297440161, 11305897.56861562]","[0.008657467047123907, 6203.497077879823, 11731185.911343431]","[0.010430660403038507, 6890.18972864085, 11309672.31738541]","[0.018622151242847697, 20147.346770138938, 10733751.49002066]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.0084081988578651, 6635.385187908201, 12797816.411416132]","[0.008334964752309432, 6976.5981069048, 13395911.726527538]","[0.00834170006893429, 7534.721135100086, 11836155.083528325]","[0.009655314922608411, 7491.03439930171, 11178126.676339129]","[0.008657467047123907, 6203.497077879823, 11731185.911343431]","[0.010430660403038507, 6890.18972864085, 11309672.31738541]","[0.009402309713788382, 6336.559210934173, 13137503.42160044]","[0.0156045474583878, 20154.35259269047, 10698196.536479322]","[0.008472896455697489, 7338.351468500708, 13270287.329627737]","[0.008405817032564503, 7640.008635520349, 12661618.427800689]","[0.009463064193434454, 6544.404874548311, 11826714.426217908]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01681554158977854, 16896.397890692064, 10552495.659274561]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.009595301004122524, 6925.245374936195, 11668028.235621689]","[0.014005852347715777, 19592.33033542501, 11172712.836264804]","[0.00913571687712226, 6887.413577991726, 12521018.38595206]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.0084081988578651, 6635.385187908201, 12797816.411416132]","[0.008334964752309432, 6976.5981069048, 13395911.726527538]","[0.00834170006893429, 7534.721135100086, 11836155.083528325]","[0.009655314922608411, 7491.03439930171, 11178126.676339129]","[0.008657467047123907, 6203.497077879823, 11731185.911343431]","[0.010430660403038507, 6890.18972864085, 11309672.31738541]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.009595301004122524, 6925.245374936195, 11668028.235621689]","[0.007262074136571004, 7332.4158956103665, 13194513.431674447]","[0.013313462307498879, 8609.296694777371, 10631778.445806218]","[0.008052159840274579, 6221.494730275432, 11996569.016842859]","[0.010474129280180069, 7142.4126771212905, 11266776.941779574]","[0.010064996539890509, 8719.818866895954, 11716092.570242982]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.00834170006893429, 7534.721135100086, 11836155.083528325]","[0.009655314922608411, 7491.03439930171, 11178126.676339129]","[0.008657467047123907, 6203.497077879823, 11731185.911343431]","[0.010430660403038507, 6890.18972864085, 11309672.31738541]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.009595301004122524, 6925.245374936195, 11668028.235621689]","[0.007262074136571004, 7332.4158956103665, 13194513.431674447]","[0.008052159840274579, 6221.494730275432, 11996569.016842859]","[0.010474129280180069, 7142.4126771212905, 11266776.941779574]","[0.012577701896348248, 17187.00229720481, 10375480.583267305]","[0.007967623993328865, 6181.9737356768455, 11529943.8243685]","[0.010796911597655187, 8667.84894894449, 11223503.935929347]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.009655314922608411, 7491.03439930171, 11178126.676339129]","[0.010430660403038507, 6890.18972864085, 11309672.31738541]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.007262074136571004, 7332.4158956103665, 13194513.431674447]","[0.010474129280180069, 7142.4126771212905, 11266776.941779574]","[0.007967623993328865, 6181.9737356768455, 11529943.8243685]","[0.009178897905806845, 8686.829825505505, 11360053.721822932]","[0.008833661602616928, 6644.892207336898, 12890314.85239054]","[0.007796811605330507, 5726.1218463573905, 13150793.161568176]","[0.015074386680403661, 17286.670482742345, 10982909.189459171]","[0.014560566474795993, 19861.543408544385, 11125790.249349948]","[0.009643329034937517, 6879.143215080336, 11174978.74900185]","[0.00864532921203627, 7593.478240399871, 12384075.585557677]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.007262074136571004, 7332.4158956103665, 13194513.431674447]","[0.007967623993328865, 6181.9737356768455, 11529943.8243685]","[0.007796811605330507, 5726.1218463573905, 13150793.161568176]","[0.009643329034937517, 6879.143215080336, 11174978.74900185]","[0.013518537679340987, 18069.833869427686, 10369200.413686201]","[0.017187187257150478, 26247.357944102067, 9876489.416419147]","[0.006925201125075101, 4872.006569542852, 11411352.301983919]","[0.011882533632233697, 8652.802969518934, 10970083.246601516]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.009643329034937517, 6879.143215080336, 11174978.74900185]","[0.006925201125075101, 4872.006569542852, 11411352.301983919]","[0.017278039362376367, 22361.94388317311, 10219292.248225283]","[0.008851663730212652, 6115.632430549555, 10812303.063624792]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.006925201125075101, 4872.006569542852, 11411352.301983919]","[0.008851663730212652, 6115.632430549555, 10812303.063624792]","[0.00920092093300623, 6184.6448359283695, 11604429.498592976]","[0.00880030930327739, 7253.845429228872, 12256493.574240604]","[0.013580615441396968, 16558.678245169373, 9992665.648786033]","[0.007813265879365566, 5324.503526300823, 12401010.546663444]","[0.020379334205363135, 16422.70531024571, 10793393.845518928]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.01371446439432231, 18581.75950777137, 9691131.827771675]","[0.008850386258422199, 7150.904310455267, 11249229.52922726]","[0.01571903054037248, 19547.57376863674, 9079199.801817087]","[0.006925201125075101, 4872.006569542852, 11411352.301983919]","[0.008851663730212652, 6115.632430549555, 10812303.063624792]","[0.013580615441396968, 16558.678245169373, 9992665.648786033]","[0.010999802112683376, 8676.364512845716, 11249861.774257336]","[0.01672931565299752, 18605.76629110177, 10382847.854521351]","[0.00911542972485244, 7168.40271042136, 11389841.41476418]","[0.008131433218299209, 6255.45794212657, 12213274.771538721]","[0.021263852450970157, 31715.264989676758, 9830901.30973471]","[0.009574064139908673, 6526.330558797782, 11652874.916977892]","[0.014582052327326792, 18060.618828473747, 10889797.330112536]","[0.0173798576908923, 22849.944636382315, 9873804.049945522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
