"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.00896570938487791, 8633.56594544115, 10839353.502792034]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.013365675703363233, 17383.438352469067, 9899238.44769675]","[0.01142963369088319, 8543.83553771754, 9969583.346335944]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01142963369088319, 8543.83553771754, 9969583.346335944]","[0.008096497903509026, 9162.154291203444, 12223411.404817061]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.008706582351783766, 8945.742991307061, 12550627.589305017]","[0.010270753217643584, 8679.900877199392, 11339704.866655678]","[0.009949492576775904, 8737.415291875268, 11864118.94531164]","[0.008149600230925678, 8903.187458452772, 13683549.758010855]","[0.010405830041711545, 8598.937902290516, 10495586.036337078]","[0.01363717223497908, 16560.242564820466, 10096650.857467556]","[0.01007001344331022, 8699.980943309964, 11463297.354062108]","[0.008981494505957272, 8735.58474175568, 11919044.955991095]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.009422810987294201, 9128.669636701106, 11958167.811434226]","[0.009261844738708521, 8743.563777803662, 11984685.77761]","[0.009576789820802966, 8679.95912956527, 11265149.03164983]","[0.008369976567657656, 8867.57999337013, 13270612.778372224]","[0.010691864769795117, 8599.87247648055, 10491241.283316849]","[0.008767958433181199, 8767.595729227236, 12265591.042710552]","[0.014261290596514216, 13834.314592569159, 10433739.171752157]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.018825954181797888, 19513.365200291762, 10171303.069676494]","[0.017178485729545688, 22822.698428211115, 10059174.620197136]","[0.008230652646647048, 8820.148449839597, 12818585.513279285]","[0.01537283426352642, 17573.219613241126, 10473383.113183424]","[0.008670534015362887, 9144.605554233236, 12078547.671592455]","[0.008377626369238542, 9203.234132688127, 12696714.19756555]","[0.008680550501384101, 8656.070535546294, 11086335.799909057]","[0.010675751276887462, 8635.381642263077, 10848859.419600919]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.012941713365623157, 17711.494968485815, 9799956.953268468]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.009314486139945458, 10050.184055866017, 12030427.658655023]","[0.008171928914979025, 8814.084957431503, 12692677.198596565]","[0.010392523703831542, 8532.475416288942, 9819466.213947529]","[0.012233691799164061, 8528.942322145576, 9768124.503477361]","[0.00960017739184633, 8680.051081441488, 11329908.797038656]","[0.008714269100581425, 8774.394704889462, 12231599.17774881]","[0.010058712490359683, 8678.946457425744, 11295812.50274446]","[0.009317540271756472, 8722.963015649293, 11781478.501493286]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.010392523703831542, 8532.475416288942, 9819466.213947529]","[0.012233691799164061, 8528.942322145576, 9768124.503477361]","[0.009440670961753751, 8573.523462140172, 10187076.780020423]","[0.008605478179211723, 8668.054415990335, 11146078.13744589]","[0.009059034652903959, 8570.567334161673, 10255722.143859467]","[0.010461295967610024, 8534.96634627764, 9893605.07262987]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.013312979086341749, 10515.238764593441, 9553176.288993502]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.019645353138238335, 32998.122474651114, 9488531.545735281]","[0.009906747010786289, 8566.889495771107, 10207450.864314135]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.010392523703831542, 8532.475416288942, 9819466.213947529]","[0.012233691799164061, 8528.942322145576, 9768124.503477361]","[0.009440670961753751, 8573.523462140172, 10187076.780020423]","[0.009059034652903959, 8570.567334161673, 10255722.143859467]","[0.008974300000913878, 8605.147825353273, 10542362.781163521]","[0.01065577497231058, 8439.942537743842, 8877690.994557373]","[0.009396244963885735, 8558.02485777255, 10068125.393267762]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.010392523703831542, 8532.475416288942, 9819466.213947529]","[0.009059034652903959, 8570.567334161673, 10255722.143859467]","[0.008974300000913878, 8605.147825353273, 10542362.781163521]","[0.01065577497231058, 8439.942537743842, 8877690.994557373]","[0.009396244963885735, 8558.02485777255, 10068125.393267762]","[0.014609928928055087, 17449.85432878807, 9370523.60247301]","[0.01531334280796005, 18422.74124802451, 9154443.102009302]","[0.011321245643088534, 8636.478711643655, 10883093.893368488]","[0.014610959022810417, 16286.80652555415, 9946436.688481841]","[0.01478541234972322, 10618.748714281857, 10658608.822315289]","[0.008755281469538535, 8643.519330963498, 10926882.481983406]","[0.013491411023943193, 17521.7818497512, 9886011.153666798]","[0.012870517115166132, 16349.564172273402, 10721558.30964934]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007713124868069939, 7003.401469808537, 12379132.18547617]","[0.00752144423250157, 6437.176142699869, 14113644.76361159]","[0.008191399304901458, 6437.014500988464, 10721162.064243909]","[0.008017341927247226, 6988.321389240496, 12168431.493178735]","[0.007358631921174544, 7928.926682934759, 13012839.483805703]","[0.00809439243920944, 8687.083267881319, 11413011.989433339]","[0.01001534539282823, 8532.970329756297, 9826434.946682777]","[0.008788044749060865, 8610.08847651621, 10645963.095229495]","[0.010392523703831542, 8532.475416288942, 9819466.213947529]","[0.009059034652903959, 8570.567334161673, 10255722.143859467]","[0.008974300000913878, 8605.147825353273, 10542362.781163521]","[0.01065577497231058, 8439.942537743842, 8877690.994557373]","[0.009396244963885735, 8558.02485777255, 10068125.393267762]","[0.008159146222965168, 9335.232503482377, 14105065.144889355]","[0.01677315091936841, 17012.998064332693, 10184020.714299763]","[0.008975123834412504, 8816.056891648164, 12743855.548554344]","[0.012256891756030223, 17176.62962041165, 11591135.22174061]","[0.010907626786582922, 8738.545779106187, 11931849.921435304]","[0.01287489059981326, 8723.921273478472, 11718744.653213767]","[0.009319934436532406, 7079.644513594294, 12097767.085724976]","[0.013627930946652378, 17544.125054106484, 9811039.3066641]","[0.01732065149936686, 16412.376191499636, 10728241.746860553]","[0.009723491262020973, 6239.633347740615, 12079660.538294569]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
