"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.01520573611652804, 18138.293457195137, 11075070.061867896]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.018012376446127958, 20797.845721019385, 10958168.368291534]","[0.009900304099829622, 7473.659359459099, 11242604.556745846]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.02227592384183914, 17761.323310900403, 11129131.317848915]","[0.019314561051576917, 20892.157362283226, 11395567.459174607]","[0.018657049534428677, 16471.407639918034, 11473343.52228397]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.015901100324129613, 20928.326561597896, 11126467.291316913]","[0.01622498242925439, 16490.793445069525, 11593320.402886342]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.01520573611652804, 18138.293457195137, 11075070.061867896]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.018012376446127958, 20797.845721019385, 10958168.368291534]","[0.009900304099829622, 7473.659359459099, 11242604.556745846]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.02227592384183914, 17761.323310900403, 11129131.317848915]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009587368099452286, 6974.734077594722, 12112883.67814727]","[0.008804960140064972, 7660.64040476937, 13150448.677342396]","[0.015453715570346277, 19397.678228562956, 11673452.004401296]","[0.009227147917747031, 7558.685276177286, 12139519.613192877]","[0.01821787418871172, 18442.253318422627, 11280618.690856673]","[0.016066605341760926, 17293.14700445716, 11597263.158311505]","[0.01664989177991171, 18100.14409393641, 11435775.807218883]","[0.016308905599637467, 18479.166588374435, 11315905.787526956]","[0.018373516736245588, 16500.26931663456, 11759517.390317138]","[0.015919962882494438, 19256.58392184304, 10119931.553238202]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.01520573611652804, 18138.293457195137, 11075070.061867896]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.009900304099829622, 7473.659359459099, 11242604.556745846]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.02227592384183914, 17761.323310900403, 11129131.317848915]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.015919962882494438, 19256.58392184304, 10119931.553238202]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.015919962882494438, 19256.58392184304, 10119931.553238202]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.007738803825708769, 5610.138295269127, 12104022.291894007]","[0.015033488924542383, 18041.04146995551, 11170829.235249402]","[0.008462514142827985, 5499.33051987676, 12083884.7697099]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.016470878030490643, 17313.396478858638, 11053504.354357379]","[0.008463478409261293, 6520.453925634379, 11575732.744008677]","[0.008222017288870467, 7215.503988427253, 11952562.46430869]","[0.00928290396398388, 6490.574122292182, 14618783.898411889]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.009871468260066204, 8679.92868047519, 11300276.611262178]","[0.008397404324213799, 7484.532870845303, 12130150.087380257]","[0.0157041174468398, 20164.741804230274, 10621582.082713561]","[0.008682240960069422, 6221.56096709596, 11879904.797126897]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.0115780232374373, 6934.733141674598, 11731514.622071913]","[0.010102246437608497, 7275.4450283609185, 12496223.292918243]","[0.022203469856420945, 33996.46985721291, 10557995.75896377]","[0.007530266073646575, 7558.100109362178, 11858352.969823811]","[0.012347256228838081, 8615.35588764182, 10649388.057253193]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.007530266073646575, 7558.100109362178, 11858352.969823811]","[0.012347256228838081, 8615.35588764182, 10649388.057253193]","[0.015262807644795756, 17282.263438372695, 10647378.382274766]","[0.009904481116956996, 7622.561001958749, 12542328.874274326]","[0.017354410224569957, 16928.656410140225, 11948341.095181737]","[0.009031344664280232, 8850.48095354761, 13029005.031410925]","[0.018935467219289, 16548.342696308802, 11460162.880229812]","[0.0117119925022827, 9142.512616558943, 12069194.813856414]","[0.022204100577404847, 33980.55983308771, 9437409.161780952]","[0.00752127038991038, 7674.665199796757, 13256570.843830682]","[0.009366119657250016, 9453.219557833718, 12363676.550036043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.007530266073646575, 7558.100109362178, 11858352.969823811]","[0.012347256228838081, 8615.35588764182, 10649388.057253193]","[0.015262807644795756, 17282.263438372695, 10647378.382274766]","[0.014431015483449706, 17981.710614138825, 10057911.567876602]","[0.007662338651297536, 7597.222467727754, 12418628.475240791]","[0.007771457838067569, 7178.99260500169, 11636708.66261624]","[0.009027723922206304, 7398.059416776952, 11180420.716349036]","[0.013402970719802338, 8601.328756115983, 10506425.871110307]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.006828251524121144, 4729.43766868375, 11888098.297380172]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.008211749515250054, 5426.336928500188, 11666380.576692775]","[0.00855973592663966, 5417.85751434813, 11598048.77822208]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.007787727912793621, 6194.151484240852, 11665061.513344511]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.007530266073646575, 7558.100109362178, 11858352.969823811]","[0.012347256228838081, 8615.35588764182, 10649388.057253193]","[0.014431015483449706, 17981.710614138825, 10057911.567876602]","[0.007771457838067569, 7178.99260500169, 11636708.66261624]","[0.013402970719802338, 8601.328756115983, 10506425.871110307]","[0.020962051987756962, 20754.769648606965, 9862174.405484788]","[0.0067367169778674955, 4246.018885295441, 11596282.36636049]","[0.014979724735011211, 8556.85162165561, 9998935.708135836]","[0.011442586768599121, 9293.602446185529, 10778622.533442974]","[0.00794586945155014, 7468.211935180321, 11131206.215458523]","[0.013972916270906837, 16991.630923663197, 10599784.147897797]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.009708028122527072, 6881.720493028695, 11247439.273705726]","[0.008806709594467775, 6892.828058296601, 11261988.190696485]","[0.01803614215162967, 24215.054237693945, 9411103.233188942]","[0.009375587742251458, 7355.988428106646, 10826776.408913404]","[0.013827933232603649, 18123.546304835145, 10403084.909327466]","[0.010464369714586912, 6885.727999128035, 11168073.472081274]","[0.01591011767495586, 21244.77844667691, 9525364.544807741]","[0.009629467428737807, 6493.957495461129, 11340467.19718125]","[0.015730789627507465, 17916.50958274977, 9953195.329953765]","[0.008681770385462261, 7389.541141909502, 11153151.206914129]","[0.014150872156325404, 20103.237745526956, 9920935.185648045]","[0.012347256228838081, 8615.35588764182, 10649388.057253193]","[0.014431015483449706, 17981.710614138825, 10057911.567876602]","[0.013402970719802338, 8601.328756115983, 10506425.871110307]","[0.020962051987756962, 20754.769648606965, 9862174.405484788]","[0.0067367169778674955, 4246.018885295441, 11596282.36636049]","[0.014979724735011211, 8556.85162165561, 9998935.708135836]","[0.011442586768599121, 9293.602446185529, 10778622.533442974]","[0.00794586945155014, 7468.211935180321, 11131206.215458523]","[0.010028068971722927, 7566.544632156705, 11943197.146975478]","[0.01091369386387311, 8691.3392947595, 11418290.536163647]","[0.011589245459063561, 7284.9134738489665, 12680689.803455245]","[0.015321399347793857, 21271.399000954785, 10094634.297068115]","[0.011313641271529454, 8576.429003828425, 10219911.398127476]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
