"[0.016482579822582423, 20535.099619202447, 11122190.670384776]","[0.014822744100083964, 17806.023440373956, 11275709.419021375]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.025769390773242754, 40461.09995840854, 10853279.324906819]","[0.009443285326260339, 6173.643694481007, 11420603.446123542]","[0.007877367180437113, 7562.158830762575, 11994653.43905176]","[0.007396372964386093, 4980.70645309914, 12257669.04851279]","[0.013359600314474418, 10304.945385599278, 11363561.058997907]","[0.009309804652154089, 6229.661898263241, 11995769.305421824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009443285326260339, 6173.643694481007, 11420603.446123542]","[0.007396372964386093, 4980.70645309914, 12257669.04851279]","[0.007057054361128301, 5694.565397279164, 12991060.320539087]","[0.01960754755750621, 17268.256818534657, 10827536.289080687]","[0.010718207512746963, 9734.768367055962, 11344822.615278209]","[0.008289390163463148, 7415.646637973008, 11407017.556826778]","[0.007302603094249068, 5010.717902210019, 12558809.690079318]","[0.020661132226114355, 17261.254063832926, 10740524.75271417]","[0.00752716595831054, 5591.149905706128, 11907938.913541574]","[0.010792214432994966, 9712.762209152297, 11101887.687700978]","[0.00823448494926779, 7417.649949648439, 11415280.599632725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007396372964386093, 4980.70645309914, 12257669.04851279]","[0.008289390163463148, 7415.646637973008, 11407017.556826778]","[0.007302603094249068, 5010.717902210019, 12558809.690079318]","[0.00752716595831054, 5591.149905706128, 11907938.913541574]","[0.00837874110599214, 7361.601357725983, 10894730.770990858]","[0.010406426366261396, 8611.383605916242, 10678701.59495613]","[0.00832312621716672, 5390.324402100775, 11313635.107041579]","[0.009363234676783454, 6143.644456677995, 11098823.24028354]","[0.006851386480952403, 5033.987669628075, 12049028.26087836]","[0.008322824177024313, 7395.6295808329705, 11202062.053291498]","[0.02133121144618127, 25327.577180722405, 10597103.887746792]","[0.008245851292732203, 6910.831132651732, 11440686.200128643]","[0.009598959930435915, 6429.4203081279475, 10748099.901776223]","[0.007431131326293565, 4778.3466694008475, 12412477.228687026]","[0.008064714992261355, 7415.63992972882, 11413004.207248844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006851386480952403, 5033.987669628075, 12049028.26087836]","[0.007117738943129974, 4520.893521066461, 10169501.288625015]","[0.007131385990654939, 4474.888203483475, 9692779.421272086]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006851386480952403, 5033.987669628075, 12049028.26087836]","[0.007117738943129974, 4520.893521066461, 10169501.288625015]","[0.007131385990654939, 4474.888203483475, 9692779.421272086]","[0.011941137474390472, 17780.6048072286, 9560209.657746805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007117738943129974, 4520.893521066461, 10169501.288625015]","[0.007131385990654939, 4474.888203483475, 9692779.421272086]","[0.006526710914282088, 3962.2764079510926, 10230761.495794816]","[0.009607114738215744, 6701.725417809308, 9317620.792967677]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006526710914282088, 3962.2764079510926, 10230761.495794816]","[0.006567902270535066, 3772.7854898269893, 8297000.541934642]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006567902270535066, 3772.7854898269893, 8297000.541934642]","[0.0065184912764291855, 3937.27960845286, 9982232.501120564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006567902270535066, 3772.7854898269893, 8297000.541934642]","[0.0065184912764291855, 3937.27960845286, 9982232.501120564]","[0.006436999611863313, 3972.2867812981754, 10330079.14823685]","[0.00640773374720725, 4197.653466308158, 12585325.09837521]","[0.00650084486775988, 3959.286506819856, 10202505.851581631]","[0.006410776116623517, 4152.652343861835, 12139835.971283104]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006567902270535066, 3772.7854898269893, 8297000.541934642]","[0.0064961077741586435, 3823.7883650341473, 8821681.982381513]","[0.006756223020546735, 3757.2401867441104, 8144799.510323896]","[0.006114899478728785, 3837.772339235789, 8944183.562766468]","[0.00676884589200663, 3740.210614321014, 7990605.033372415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006567902270535066, 3772.7854898269893, 8297000.541934642]","[0.0064961077741586435, 3823.7883650341473, 8821681.982381513]","[0.006114899478728785, 3837.772339235789, 8944183.562766468]","[0.006065347166055074, 3848.2406494028232, 10977195.70819799]","[0.006636147144722919, 3760.7845519633943, 8185869.994950525]","[0.006659647727003618, 3729.275743133724, 7862829.308268895]","[0.006556541833627853, 3806.2648600174953, 8638911.670708574]","[0.005917964136913699, 3890.2874898860446, 9468798.127784519]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006567902270535066, 3772.7854898269893, 8297000.541934642]","[0.006114899478728785, 3837.772339235789, 8944183.562766468]","[0.006636147144722919, 3760.7845519633943, 8185869.994950525]","[0.006659647727003618, 3729.275743133724, 7862829.308268895]","[0.005917964136913699, 3890.2874898860446, 9468798.127784519]","[0.00607110276123358, 3844.7668822482733, 9011472.013726631]","[0.006659647727003618, 3729.275743133724, 7862829.308268895]","[0.006432171779488774, 3772.788712901388, 8296516.423032902]","[0.00652698186559119, 3731.2673067939572, 9779620.93301111]","[0.005990538317011084, 3847.2785780883773, 9050505.16299806]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
