"[0.008929590039200491, 7580.714699715506, 12323335.494791998]","[0.01503566477371767, 18127.863175123886, 11117815.04169771]","[0.014815235201650795, 20979.949751698638, 11049005.186741747]","[0.021504615787163353, 21371.749076524757, 10938108.044759553]","[0.01616039518675887, 17634.39869759965, 10939034.760171346]","[0.013976274070077815, 19034.454310313664, 11216165.790905403]","[0.009831125587668155, 7214.364910379118, 11915568.939286986]","[0.0090071258415592, 7485.661438231361, 11535945.612291938]","[0.014484652456586858, 17664.31396532113, 11130979.089237625]","[0.0086380611508685, 8849.49620459876, 13043860.567731397]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.013181214173527403, 17066.324561591726, 10247727.994050706]","[0.01309889517052105, 16538.05019899349, 10537170.537030146]","[0.0076702815764058095, 5239.6712036651825, 11458455.92568898]","[0.0135404347015237, 17020.334347938027, 9739303.278668256]","[0.009015051205840657, 7441.710057379822, 10688862.279708782]","[0.013125985324567702, 16536.034682022946, 10501286.740402345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.013181214173527403, 17066.324561591726, 10247727.994050706]","[0.0076702815764058095, 5239.6712036651825, 11458455.92568898]","[0.0135404347015237, 17020.334347938027, 9739303.278668256]","[0.009015051205840657, 7441.710057379822, 10688862.279708782]","[0.01326645880165563, 18934.833763578645, 9889856.403369175]","[0.01571990108935491, 21952.65338201727, 9083654.33551566]","[0.013010417282526587, 16533.551328417092, 10385389.869157236]","[0.007660825764374938, 7447.853202018911, 10779216.174760666]","[0.01572927200395404, 21951.147601744247, 9107388.527269108]","[0.007666262432577976, 7447.8500002943565, 10778774.602135979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0076702815764058095, 5239.6712036651825, 11458455.92568898]","[0.0135404347015237, 17020.334347938027, 9739303.278668256]","[0.009015051205840657, 7441.710057379822, 10688862.279708782]","[0.013010417282526587, 16533.551328417092, 10385389.869157236]","[0.007660825764374938, 7447.853202018911, 10779216.174760666]","[0.007666262432577976, 7447.8500002943565, 10778774.602135979]","[0.01309319897031179, 16481.996948346714, 10608736.520479178]","[0.01303090906912599, 16530.04927476946, 10352448.340501983]","[0.011872722316763422, 17060.91572972852, 10192522.338116439]","[0.012596829499997502, 17440.058700188398, 8741325.743069516]","[0.017208569884363634, 16257.949581319997, 9914931.23063954]","[0.008150077865302384, 6904.8592994366045, 11380831.15578437]","[0.013074607706811223, 16521.048982243443, 10302255.872521231]","[0.017132689464901034, 16265.948111280306, 9955771.287782308]","[0.01572087861425721, 21888.65277872743, 8379842.4769240515]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0076702815764058095, 5239.6712036651825, 11458455.92568898]","[0.0135404347015237, 17020.334347938027, 9739303.278668256]","[0.007660825764374938, 7447.853202018911, 10779216.174760666]","[0.007666262432577976, 7447.8500002943565, 10778774.602135979]","[0.012596829499997502, 17440.058700188398, 8741325.743069516]","[0.017208569884363634, 16257.949581319997, 9914931.23063954]","[0.017132689464901034, 16265.948111280306, 9955771.287782308]","[0.01572087861425721, 21888.65277872743, 8379842.4769240515]","[0.007736194527236209, 7415.359434742451, 10487714.691838099]","[0.011431367602568816, 17034.93207539281, 9867321.433054408]","[0.012352183768459932, 17527.634333158097, 9664020.20779917]","[0.013948573632799556, 16857.072621748426, 9624387.00229243]","[0.007979407184730676, 5711.816814463478, 10818994.63860122]","[0.014392399598426373, 16495.433483740635, 9949794.887764612]","[0.007486102476062392, 7480.84178860616, 11119266.929345123]","[0.007779773903849084, 7392.359109827432, 10253392.273674566]","[0.007901621093655949, 5742.324126257311, 11144131.783680603]","[0.00916089377507189, 7337.2000627938205, 10082741.614564696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0076702815764058095, 5239.6712036651825, 11458455.92568898]","[0.0135404347015237, 17020.334347938027, 9739303.278668256]","[0.007660825764374938, 7447.853202018911, 10779216.174760666]","[0.007666262432577976, 7447.8500002943565, 10778774.602135979]","[0.012596829499997502, 17440.058700188398, 8741325.743069516]","[0.01572087861425721, 21888.65277872743, 8379842.4769240515]","[0.007736194527236209, 7415.359434742451, 10487714.691838099]","[0.011431367602568816, 17034.93207539281, 9867321.433054408]","[0.012352183768459932, 17527.634333158097, 9664020.20779917]","[0.013948573632799556, 16857.072621748426, 9624387.00229243]","[0.007486102476062392, 7480.84178860616, 11119266.929345123]","[0.007779773903849084, 7392.359109827432, 10253392.273674566]","[0.00916089377507189, 7337.2000627938205, 10082741.614564696]","[0.01729262912551999, 16814.58219834458, 9277042.994738499]","[0.012604958718150776, 17188.943038079917, 9494104.464408062]","[0.014147109438952267, 16536.216704348786, 9687959.570016095]","[0.012565910296502105, 17859.315249091207, 8825475.453474218]","[0.009606616379803238, 7350.293915600835, 9910084.606553467]","[0.008483399320156047, 7390.625934313101, 10160565.405118464]","[0.006952392222118468, 5377.253553096673, 11150170.408849355]","[0.01717816601064918, 16816.09375889062, 9262457.723635241]","[0.018054477344360706, 20229.976991898788, 8444490.320171988]","[0.007749842904597937, 5687.314041429953, 10542117.141342677]","[0.014672926011511942, 16592.877141962734, 9449836.061586937]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0076702815764058095, 5239.6712036651825, 11458455.92568898]","[0.01572087861425721, 21888.65277872743, 8379842.4769240515]","[0.006952392222118468, 5377.253553096673, 11150170.408849355]","[0.018054477344360706, 20229.976991898788, 8444490.320171988]","[0.013087259925973559, 17415.505591175563, 8511833.972366715]","[0.015993336575927393, 16471.186730954778, 9040633.378393829]","[0.007275902771219404, 5239.702194135509, 11460164.10050802]","[0.008516752604475236, 7283.368094354881, 9195041.719244612]","[0.01137178014179678, 17109.440148003865, 8548351.406039128]","[0.007372832254905605, 5332.37704206492, 9947579.421314258]","[0.008716242443558526, 7283.34743404133, 9194039.18707267]","[0.011498583312683816, 17109.439809752716, 8547619.427372051]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01572087861425721, 21888.65277872743, 8379842.4769240515]","[0.006952392222118468, 5377.253553096673, 11150170.408849355]","[0.018054477344360706, 20229.976991898788, 8444490.320171988]","[0.013087259925973559, 17415.505591175563, 8511833.972366715]","[0.008516752604475236, 7283.368094354881, 9195041.719244612]","[0.01137178014179678, 17109.440148003865, 8548351.406039128]","[0.007372832254905605, 5332.37704206492, 9947579.421314258]","[0.008716242443558526, 7283.34743404133, 9194039.18707267]","[0.011498583312683816, 17109.439809752716, 8547619.427372051]","[0.007230131478119602, 5218.671400395118, 11273756.366824158]","[0.007048839394710272, 5370.25885823363, 11083565.894761609]","[0.007991003190487735, 7267.789045506383, 9379137.99529805]","[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.01330132511679064, 16398.35638885601, 8987303.781221544]","[0.007986266103219975, 7301.2916286977415, 9736663.925794886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006952392222118468, 5377.253553096673, 11150170.408849355]","[0.008516752604475236, 7283.368094354881, 9195041.719244612]","[0.01137178014179678, 17109.440148003865, 8548351.406039128]","[0.007372832254905605, 5332.37704206492, 9947579.421314258]","[0.008716242443558526, 7283.34743404133, 9194039.18707267]","[0.011498583312683816, 17109.439809752716, 8547619.427372051]","[0.007230131478119602, 5218.671400395118, 11273756.366824158]","[0.007048839394710272, 5370.25885823363, 11083565.894761609]","[0.007991003190487735, 7267.789045506383, 9379137.99529805]","[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.007986266103219975, 7301.2916286977415, 9736663.925794886]","[0.011841918453282706, 16367.602686025613, 8582430.090629403]","[0.012707504248614113, 17414.532443531265, 8411926.883111153]","[0.013992307187368078, 16341.54269256917, 8372674.2464987645]","[0.007120312872537764, 5704.723390353976, 10708851.513033586]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008516752604475236, 7283.368094354881, 9195041.719244612]","[0.01137178014179678, 17109.440148003865, 8548351.406039128]","[0.008716242443558526, 7283.34743404133, 9194039.18707267]","[0.011498583312683816, 17109.439809752716, 8547619.427372051]","[0.007230131478119602, 5218.671400395118, 11273756.366824158]","[0.007991003190487735, 7267.789045506383, 9379137.99529805]","[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.011841918453282706, 16367.602686025613, 8582430.090629403]","[0.012707504248614113, 17414.532443531265, 8411926.883111153]","[0.013992307187368078, 16341.54269256917, 8372674.2464987645]","[0.007120312872537764, 5704.723390353976, 10708851.513033586]","[0.007598436011884337, 5200.630379301625, 11062649.279835155]","[0.006795861228861299, 5368.326909766112, 11061644.522087112]","[0.01263369166955461, 18845.870784828643, 7951979.637729153]","[0.008516752604475236, 7283.368094354881, 9195041.719244612]","[0.01116331131095336, 16955.405984996498, 8761378.6834847]","[0.006917194172241353, 5366.317448650443, 11049774.803464267]","[0.007205600174948295, 5306.349781495373, 9677349.449333876]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.01137178014179678, 17109.440148003865, 8548351.406039128]","[0.011498583312683816, 17109.439809752716, 8547619.427372051]","[0.007230131478119602, 5218.671400395118, 11273756.366824158]","[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.011841918453282706, 16367.602686025613, 8582430.090629403]","[0.012707504248614113, 17414.532443531265, 8411926.883111153]","[0.007120312872537764, 5704.723390353976, 10708851.513033586]","[0.01263369166955461, 18845.870784828643, 7951979.637729153]","[0.01116331131095336, 16955.405984996498, 8761378.6834847]","[0.007205600174948295, 5306.349781495373, 9677349.449333876]","[0.006883660002891365, 5353.761168794945, 10908334.576263316]","[0.009254821306942366, 6723.927447322855, 9578570.386830693]","[0.008199382539395795, 7206.8033672016545, 8762129.729473647]","[0.007556363289384406, 5199.139589904146, 11121024.508583281]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.0062679543121281845, 5361.335245582084, 10990829.216417098]","[0.007866086138979003, 7209.333205030661, 8812512.088999812]","[0.007563440754427533, 5163.136856346802, 10779295.195845399]","[0.013386148141436965, 16321.521064834573, 8177110.584069312]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.011841918453282706, 16367.602686025613, 8582430.090629403]","[0.007120312872537764, 5704.723390353976, 10708851.513033586]","[0.01263369166955461, 18845.870784828643, 7951979.637729153]","[0.007205600174948295, 5306.349781495373, 9677349.449333876]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.0062679543121281845, 5361.335245582084, 10990829.216417098]","[0.007866086138979003, 7209.333205030661, 8812512.088999812]","[0.013386148141436965, 16321.521064834573, 8177110.584069312]","[0.008132636730698176, 7203.288201073639, 8711477.495754527]","[0.007155999154232674, 5122.6555139305565, 10293076.09492983]","[0.012971630740383088, 16363.530679424452, 8633729.154127356]","[0.011125895301038278, 17087.178401336078, 8253874.559626782]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.007213566973471837, 5057.149137447712, 9727405.418375276]","[0.0067942779641188035, 5342.827699706861, 10822292.229494851]","[0.007979232165443077, 6482.998057673647, 9249759.264452336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.011841918453282706, 16367.602686025613, 8582430.090629403]","[0.01263369166955461, 18845.870784828643, 7951979.637729153]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.0062679543121281845, 5361.335245582084, 10990829.216417098]","[0.007866086138979003, 7209.333205030661, 8812512.088999812]","[0.013386148141436965, 16321.521064834573, 8177110.584069312]","[0.008132636730698176, 7203.288201073639, 8711477.495754527]","[0.007155999154232674, 5122.6555139305565, 10293076.09492983]","[0.012971630740383088, 16363.530679424452, 8633729.154127356]","[0.011125895301038278, 17087.178401336078, 8253874.559626782]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.007213566973471837, 5057.149137447712, 9727405.418375276]","[0.007979232165443077, 6482.998057673647, 9249759.264452336]","[0.007752511003741469, 6712.904230562248, 9523257.546290737]","[0.012353145892315853, 17085.973920737622, 8457178.20658045]","[0.007075891257236764, 5290.305066579971, 9564928.966046061]","[0.006632753660649243, 5224.376244762694, 9639483.877157398]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.012883722174032173, 17083.466416984487, 7867079.10919321]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.011841918453282706, 16367.602686025613, 8582430.090629403]","[0.01263369166955461, 18845.870784828643, 7951979.637729153]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.0062679543121281845, 5361.335245582084, 10990829.216417098]","[0.007866086138979003, 7209.333205030661, 8812512.088999812]","[0.013386148141436965, 16321.521064834573, 8177110.584069312]","[0.008132636730698176, 7203.288201073639, 8711477.495754527]","[0.007155999154232674, 5122.6555139305565, 10293076.09492983]","[0.011125895301038278, 17087.178401336078, 8253874.559626782]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.007213566973471837, 5057.149137447712, 9727405.418375276]","[0.007979232165443077, 6482.998057673647, 9249759.264452336]","[0.007752511003741469, 6712.904230562248, 9523257.546290737]","[0.007075891257236764, 5290.305066579971, 9564928.966046061]","[0.006632753660649243, 5224.376244762694, 9639483.877157398]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.012883722174032173, 17083.466416984487, 7867079.10919321]","[0.013386148141436965, 16321.521064834573, 8177110.584069312]","[0.011939980317255313, 17066.40151435893, 8167818.154226989]","[0.007979232165443077, 6482.998057673647, 9249759.264452336]","[0.007437630342558851, 7305.36368523959, 9369526.900321174]","[0.01400468191468029, 16323.530749005047, 8159820.872192007]","[0.007386247384654646, 4911.720941706296, 10327368.11194499]","[0.007683125235582259, 6966.568640562932, 9371130.581684211]","[0.012853385209572743, 16338.59198331076, 8270038.130535293]","[0.007761979714292421, 6509.5047719006725, 9545492.125506394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
