"[0.016015622670695638, 18916.30131254226, 11140406.927755449]","[0.008819649989244631, 7580.55861360179, 12167482.581163669]","[0.00851948818249607, 7486.6416286575895, 12174824.430831037]","[0.00919649559558236, 7467.606145471238, 11166683.671759207]","[0.008595853986205543, 8860.953282078073, 11664162.134396907]","[0.020073800745271295, 22363.883754032093, 10925741.946509015]","[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.008488581080881668, 8923.952825814506, 12278500.073654333]","[0.00962410278349311, 6850.023878573234, 12039099.014581066]","[0.018902762789164213, 22372.87349880383, 10961267.895789068]","[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.017611770393838412, 21380.428331868814, 10997388.815953434]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00919649559558236, 7467.606145471238, 11166683.671759207]","[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.007929516433852948, 7219.458294599595, 11935359.478923583]","[0.019166035148242094, 22340.83736535526, 10692897.669387162]","[0.018320670262600165, 18395.74550996297, 10695778.016036779]","[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.009467282501454639, 7458.094825995962, 11075465.156293256]","[0.008561049713117363, 8835.448827742175, 11484969.9450447]","[0.009488702268586903, 6764.545569895929, 11217506.895631624]","[0.00851661737354579, 7199.462332229944, 11724545.960417433]","[0.013647385020748264, 17743.021270977482, 10925870.656259786]","[0.016053396153230776, 13435.597778175608, 11074562.97317879]","[0.007490668862773729, 4768.32287916021, 12228716.942698076]","[0.009413311321071566, 6779.547149768413, 11360068.184262173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.007490668862773729, 4768.32287916021, 12228716.942698076]","[0.015556574034875618, 16294.217625790157, 10378122.691435112]","[0.0077303909234275785, 4690.820779918888, 11484067.285145232]","[0.006827675408769782, 4973.4656740912815, 12366123.947458597]","[0.014448728216109258, 19282.288262396014, 10444562.586546838]","[0.00774749157616722, 4644.815462335901, 11007070.125009457]","[0.006832740693386331, 4966.465439877923, 12314814.627480995]","[0.008142393244624829, 6827.879257793652, 10655479.42737235]","[0.008861757319616904, 5380.317463908468, 10851272.57609794]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.006918831567002021, 4806.828365652031, 12612209.026297208]","[0.007490668862773729, 4768.32287916021, 12228716.942698076]","[0.006827675408769782, 4973.4656740912815, 12366123.947458597]","[0.00774749157616722, 4644.815462335901, 11007070.125009457]","[0.006832740693386331, 4966.465439877923, 12314814.627480995]","[0.007215716300910742, 4794.839738038972, 12521164.94048797]","[0.007189229165201865, 7591.692060050096, 12178318.697640318]","[0.007806638553617542, 5242.936115998087, 9821130.568754893]","[0.007549451158646343, 4751.278520525564, 12079215.689785574]","[0.007659529345714218, 4647.343067936086, 11047235.960912948]","[0.007402179547921219, 7132.48440494241, 11121661.054870997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.006827675408769782, 4973.4656740912815, 12366123.947458597]","[0.00774749157616722, 4644.815462335901, 11007070.125009457]","[0.006832740693386331, 4966.465439877923, 12314814.627480995]","[0.007806638553617542, 5242.936115998087, 9821130.568754893]","[0.007659529345714218, 4647.343067936086, 11047235.960912948]","[0.007402179547921219, 7132.48440494241, 11121661.054870997]","[0.007659529345714218, 4647.343067936086, 11047235.960912948]","[0.006892879457647275, 4069.1858641797107, 11284896.104172494]","[0.006783322095712641, 4979.6694278900995, 12203639.97428643]","[0.015234446912192012, 19453.52259788178, 9454483.611079954]","[0.007204669484491954, 5367.933891888799, 11133359.85375986]","[0.00708609801508288, 4673.364827719529, 11267821.95783375]","[0.008347131484386124, 5999.093529353482, 9614987.816272838]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.007806638553617542, 5242.936115998087, 9821130.568754893]","[0.006783322095712641, 4979.6694278900995, 12203639.97428643]","[0.008347131484386124, 5999.093529353482, 9614987.816272838]","[0.008610740970860946, 7303.0709003845595, 9449538.613113867]","[0.007797878319375201, 5281.439513294136, 10221282.58005841]","[0.006805895764371513, 3995.691506759006, 10547853.74430311]","[0.015445307353228084, 21961.22686390834, 9099980.700682504]","[0.006678586578661869, 7248.520537156568, 12285584.06686209]","[0.00714765992479058, 5288.464921653043, 10297793.554073447]","[0.006714666046744713, 7221.518103904797, 11996833.814834159]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006598649970987674, 5006.965798407566, 12712478.350793974]","[0.007806638553617542, 5242.936115998087, 9821130.568754893]","[0.008610740970860946, 7303.0709003845595, 9449538.613113867]","[0.006805895764371513, 3995.691506759006, 10547853.74430311]","[0.015445307353228084, 21961.22686390834, 9099980.700682504]","[0.006678586578661869, 7248.520537156568, 12285584.06686209]","[0.006714666046744713, 7221.518103904797, 11996833.814834159]","[0.006802361611033212, 4052.220548591422, 11138165.29367086]","[0.0066309002112227, 5008.686699476761, 12478365.711148648]","[0.006731605149408338, 7199.005325592741, 11743077.410909662]","[0.009436991120470367, 5976.052239026637, 9368440.524260154]","[0.006775800297403182, 4570.335185726094, 10236467.791347696]","[0.008768611687127982, 5989.530671602869, 9487369.911435135]","[0.020481773807165683, 19418.83249286952, 9236146.559979554]","[0.006462036880423772, 5058.189932966424, 12982110.878724622]","[0.00645725953874246, 5044.031156668443, 13102080.210791882]","[0.008860189954493895, 5989.522335264471, 9487295.852987586]","[0.020841729560723426, 19414.833127515165, 9163028.524621988]","[0.0073289893895093754, 5259.386270817233, 9578342.762244789]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006805895764371513, 3995.691506759006, 10547853.74430311]","[0.006802361611033212, 4052.220548591422, 11138165.29367086]","[0.006775800297403182, 4570.335185726094, 10236467.791347696]","[0.006576314815920418, 4113.173302074002, 11762200.544203836]","[0.006347274136038931, 4716.367786396082, 11710189.02123153]","[0.006307399667905498, 4883.33465320104, 11234363.181103926]","[0.007002734402090583, 7347.820711142578, 10149612.999909401]","[0.007458744458118494, 4533.883520606018, 9857318.066646632]","[0.0072118343027454575, 5295.389693257273, 9967988.9560129]","[0.0064376569321411775, 4866.318048467282, 11084410.538701445]","[0.007295998363920743, 5214.376141105888, 9140613.841402672]","[0.00749979788378797, 5168.4598410064245, 9069883.796385027]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006576314815920418, 4113.173302074002, 11762200.544203836]","[0.006347274136038931, 4716.367786396082, 11710189.02123153]","[0.007458744458118494, 4533.883520606018, 9857318.066646632]","[0.0072118343027454575, 5295.389693257273, 9967988.9560129]","[0.007295998363920743, 5214.376141105888, 9140613.841402672]","[0.00749979788378797, 5168.4598410064245, 9069883.796385027]","[0.006522886391991806, 4802.000468051024, 10658571.772828054]","[0.006146010633753713, 4857.706312284963, 11030069.11929543]","[0.007070524993264134, 5330.348291464406, 9902439.502984803]","[0.007294137356331189, 4481.502237911955, 10509563.951947525]","[0.0066811215039506815, 4488.119684377265, 10586132.372307627]","[0.006499843278226668, 4849.707782324655, 10960948.668744195]","[0.007301845983214699, 5199.373495567319, 9002260.752429409]","[0.006710222153139712, 4599.837046949222, 10521595.949894387]","[0.0067298394504587975, 3994.69560477439, 10544355.794794047]","[0.006728769732961869, 4539.369641741288, 9977039.33384822]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00749979788378797, 5168.4598410064245, 9069883.796385027]","[0.007301845983214699, 5199.373495567319, 9002260.752429409]","[0.0067298394504587975, 3994.69560477439, 10544355.794794047]","[0.006728769732961869, 4539.369641741288, 9977039.33384822]","[0.0066936867086953246, 4442.114366794278, 10109497.354667833]","[0.007543870113842914, 4475.330345555886, 9287469.773373751]","[0.02115531832681362, 19343.84967729814, 8416186.366048925]","[0.006775824122829749, 5259.891924066534, 9640152.09261666]","[0.006234497222416191, 4823.719146668031, 10668569.044953227]","[0.007151195407215905, 5210.792884973591, 9500251.470224347]","[0.007590409274886419, 4410.039096917572, 9765866.875593085]","[0.00784327107495807, 6903.488306487827, 8690368.181130148]","[0.0071815092603395685, 5205.928805380344, 9013801.212658547]","[0.006541816852965638, 4069.1604838346675, 11302746.81461885]","[0.008236578639770464, 4440.862294903773, 8938273.319314312]","[0.006139704454287128, 4632.390867443533, 10896515.395481285]","[0.007363791410544491, 4495.31571689818, 9495057.539030692]","[0.019246942016915288, 19356.49960172289, 8585116.267078752]","[0.007062171118852303, 4532.848732129188, 9886530.79235829]","[0.006568433578755788, 4476.618283189883, 10480757.330143828]","[0.006331152367635821, 4544.3532211746815, 9967183.24269133]","[0.0076446651431171615, 4460.871238137154, 9146969.444135247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
