"[0.007785334984175686, 5486.779365668797, 10685344.210537829]","[0.015654180374675218, 20803.76926850202, 10356802.014236022]","[0.007749555597224955, 6526.668558395164, 11683350.754277471]","[0.0077831070993770336, 5486.7802688645015, 10712165.758915577]","[0.016016646081059818, 20765.2637820102, 9990571.207735889]","[0.007358219425341085, 6256.631742731985, 12352678.690111155]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007785334984175686, 5486.779365668797, 10685344.210537829]","[0.015654180374675218, 20803.76926850202, 10356802.014236022]","[0.0077831070993770336, 5486.7802688645015, 10712165.758915577]","[0.016016646081059818, 20765.2637820102, 9990571.207735889]","[0.007329723220979663, 4954.998466472352, 11151816.385606728]","[0.015583309694151441, 16695.451531631224, 10551094.5076316]","[0.00761614028827944, 6468.062303097424, 11107451.505814148]","[0.007567075812015213, 6468.562774900584, 11111399.304236395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007785334984175686, 5486.779365668797, 10685344.210537829]","[0.0077831070993770336, 5486.7802688645015, 10712165.758915577]","[0.007329723220979663, 4954.998466472352, 11151816.385606728]","[0.015183817870521638, 19855.270081169725, 9641916.327267239]","[0.007470799183177438, 6127.7154623770275, 10987969.968977878]","[0.00685495219850393, 6223.651648492238, 11943074.398635495]","[0.01750007429067877, 16634.90261243973, 10038932.463778313]","[0.011114176804806008, 8586.858373193685, 10362341.942891091]","[0.006659494606502392, 6267.19247221256, 12379602.645830361]","[0.014513613629715079, 17931.412282371486, 9744127.881644275]","[0.016152408008967747, 16636.942788710963, 10075645.292855214]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015183817870521638, 19855.270081169725, 9641916.327267239]","[0.00685495219850393, 6223.651648492238, 11943074.398635495]","[0.006659494606502392, 6267.19247221256, 12379602.645830361]","[0.011168309555607388, 8537.339900812063, 9833735.025516812]","[0.00713483328484299, 4866.499128802477, 10276813.784532344]","[0.012458387835239169, 8529.772170598762, 9724897.110694805]","[0.007543599068561375, 5105.600639137407, 10139743.844586235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007462943272327956, 5969.194270127567, 9386144.183117878]","[0.006411470606070462, 4837.545181494979, 10019967.993794352]","[0.0074602666244778714, 6017.695569327211, 9899973.499837687]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007462943272327956, 5969.194270127567, 9386144.183117878]","[0.006411470606070462, 4837.545181494979, 10019967.993794352]","[0.006795099343661897, 5409.191480208121, 9907268.763146007]","[0.007511862371901113, 5411.760100396065, 9906480.447334234]","[0.007407512251478565, 5984.556167947798, 9476681.946143642]","[0.006265216547736654, 4925.0691038659315, 10919854.390836317]","[0.007870751912870153, 5408.262588411309, 9871785.670804989]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007462943272327956, 5969.194270127567, 9386144.183117878]","[0.006411470606070462, 4837.545181494979, 10019967.993794352]","[0.006265216547736654, 4925.0691038659315, 10919854.390836317]","[0.010909906156932103, 6953.826252237666, 9310680.387387026]","[0.01624315478739912, 19776.21361954897, 9075583.543807313]","[0.015168964734926812, 19796.76516324119, 9230602.09109765]","[0.006609630791252334, 4776.069411751274, 9405680.11494025]","[0.007806312012809151, 6293.466005265737, 9311617.829949657]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007462943272327956, 5969.194270127567, 9386144.183117878]","[0.006411470606070462, 4837.545181494979, 10019967.993794352]","[0.01624315478739912, 19776.21361954897, 9075583.543807313]","[0.006609630791252334, 4776.069411751274, 9405680.11494025]","[0.008405662869149686, 5937.182113823921, 9085579.267565511]","[0.006361095407808084, 4895.014159680497, 10581398.202175325]","[0.0076604374528422324, 5331.280810580159, 9111191.908155732]","[0.007462943272327956, 5969.194270127567, 9386144.183117878]","[0.0059254776415349, 4895.098356646671, 10584099.683115734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006411470606070462, 4837.545181494979, 10019967.993794352]","[0.006609630791252334, 4776.069411751274, 9405680.11494025]","[0.0059254776415349, 4895.098356646671, 10584099.683115734]","[0.006237088132817214, 4841.058718535352, 10036600.076723585]","[0.007365552049226646, 5328.784195450299, 9070376.034024999]","[0.007340002689947835, 6281.571540775336, 9191655.920641132]","[0.006576688139707978, 5286.42623902458, 9895216.912736027]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006609630791252334, 4776.069411751274, 9405680.11494025]","[0.0059254776415349, 4895.098356646671, 10584099.683115734]","[0.006237088132817214, 4841.058718535352, 10036600.076723585]","[0.0059254776415349, 4895.098356646671, 10584099.683115734]","[0.006874401853490088, 4741.570549378975, 9036954.868245099]","[0.006302670775099574, 4797.049846280291, 9595250.596067531]","[0.007865278039250538, 5295.797294942067, 8763683.401870545]","[0.005871118533578104, 6123.689849370569, 10864466.976183869]","[0.006569166629279599, 4792.564220820245, 9566343.696956314]","[0.008509170573159705, 5260.785958047878, 8414652.878454158]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
