"[0.012750652455686228, 6585.3397943460495, 12186499.386082495]","[0.010731237054033279, 6659.389233334646, 13054430.456512887]","[0.008657152529448178, 8667.04972242038, 11160115.457864448]","[0.00903147934431567, 7495.052910538772, 12238802.039137632]","[0.012704119668099687, 16625.21324028538, 11070742.412617978]","[0.014369177190005546, 19123.734162412024, 10917649.981425263]","[0.009487613574332702, 7141.910318406886, 11177480.269881383]","[0.008513179591731502, 7576.683025999576, 12551452.614229426]","[0.008866731912560984, 7535.5730953081165, 12632043.665949302]","[0.010538441628277287, 6677.888726786124, 13159224.3467597]","[0.009669812601577878, 6881.461810380968, 12287054.91835133]","[0.017473492510190314, 17294.09651918445, 10850438.120683407]","[0.011886103772760968, 6345.933868497719, 13239690.198174473]","[0.009110832926177544, 7511.05872119545, 11594515.45671848]","[0.009288122815477922, 7292.3625440148435, 12787453.591641912]","[0.008611391734141502, 8745.52577395071, 11977060.9723965]","[0.016528592351463915, 19629.763126692233, 10312070.128224513]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012750652455686228, 6585.3397943460495, 12186499.386082495]","[0.008657152529448178, 8667.04972242038, 11160115.457864448]","[0.00903147934431567, 7495.052910538772, 12238802.039137632]","[0.012704119668099687, 16625.21324028538, 11070742.412617978]","[0.009487613574332702, 7141.910318406886, 11177480.269881383]","[0.008513179591731502, 7576.683025999576, 12551452.614229426]","[0.008866731912560984, 7535.5730953081165, 12632043.665949302]","[0.010538441628277287, 6677.888726786124, 13159224.3467597]","[0.009669812601577878, 6881.461810380968, 12287054.91835133]","[0.011886103772760968, 6345.933868497719, 13239690.198174473]","[0.009110832926177544, 7511.05872119545, 11594515.45671848]","[0.008611391734141502, 8745.52577395071, 11977060.9723965]","[0.015301691933124152, 23556.580858537, 9980588.70732436]","[0.008953282474075884, 7605.519254499513, 12309425.212019673]","[0.009274172208608737, 7248.867842778826, 12352042.048263377]","[0.009302572735970472, 7472.542831745955, 11996754.64897504]","[0.008637142264460948, 8695.036080261489, 11462340.768540205]","[0.008757739389803752, 7612.9557559235745, 12429893.471906634]","[0.015307104861144663, 23549.576824703625, 9886399.761180915]","[0.014101154578306128, 16563.70323188819, 10289570.67723427]","[0.008559080629820812, 8794.530895792024, 12494038.946997834]","[0.010552315338576056, 6616.3601048093215, 12640874.760140758]","[0.008714598404555733, 7603.6669560548435, 12481138.976990562]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012750652455686228, 6585.3397943460495, 12186499.386082495]","[0.008513179591731502, 7576.683025999576, 12551452.614229426]","[0.014101154578306128, 16563.70323188819, 10289570.67723427]","[0.008771005541577967, 7123.891807685685, 10992405.63935893]","[0.008768880951707865, 7560.950723641386, 11868223.71471725]","[0.008391468571703427, 8753.529939812264, 12028416.791260779]","[0.007917061793864373, 7592.533980366483, 12381995.566977262]","[0.00805408986804999, 8778.51680095624, 12317101.932862995]","[0.008557791894385238, 8659.056642521033, 11071674.58280737]","[0.008713140779970978, 6589.911247045777, 12274200.407326154]","[0.014468276292628953, 18567.919995388485, 9941553.01703344]","[0.00744466879825719, 7625.306278524979, 12644911.66145904]","[0.009547769685843858, 6271.951325466079, 12448824.920248462]","[0.014641405840316908, 18521.942068467422, 9427576.727888193]","[0.013853937934558629, 17272.286386043048, 10922606.613983035]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.014101154578306128, 16563.70323188819, 10289570.67723427]","[0.008771005541577967, 7123.891807685685, 10992405.63935893]","[0.008557791894385238, 8659.056642521033, 11071674.58280737]","[0.008713140779970978, 6589.911247045777, 12274200.407326154]","[0.014468276292628953, 18567.919995388485, 9941553.01703344]","[0.00744466879825719, 7625.306278524979, 12644911.66145904]","[0.014641405840316908, 18521.942068467422, 9427576.727888193]","[0.008477131250625372, 6642.383604124609, 12822915.38272132]","[0.009829215154460112, 7100.890580792529, 10744373.936891656]","[0.013127809010910431, 17240.466996665313, 10527623.72882621]","[0.014301003197447497, 19598.770895355043, 9763711.167190708]","[0.008030647900405995, 7566.343667043962, 12010961.869672423]","[0.00829326168080834, 8699.56483152212, 11450679.52412818]","[0.016326748347096274, 17191.060896014027, 9674696.788742991]","[0.009827812071375001, 7107.890652157292, 10809104.727681244]","[0.00754738309518857, 7531.620679033211, 12669946.550707687]","[0.009702770966321814, 5539.67238718761, 11237160.017807113]","[0.007981898317233786, 7575.3217425013745, 12147303.169719959]","[0.007499260131425323, 7584.402272706816, 12228324.63844187]","[0.008757438515337805, 5606.597963983088, 11943150.551118698]","[0.008280882002683017, 7545.847292098821, 11862326.807933316]","[0.01632697162065991, 17187.560814877772, 9642002.751124077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008771005541577967, 7123.891807685685, 10992405.63935893]","[0.009829215154460112, 7100.890580792529, 10744373.936891656]","[0.016326748347096274, 17191.060896014027, 9674696.788742991]","[0.009827812071375001, 7107.890652157292, 10809104.727681244]","[0.00754738309518857, 7531.620679033211, 12669946.550707687]","[0.009702770966321814, 5539.67238718761, 11237160.017807113]","[0.007499260131425323, 7584.402272706816, 12228324.63844187]","[0.008757438515337805, 5606.597963983088, 11943150.551118698]","[0.01632697162065991, 17187.560814877772, 9642002.751124077]","[0.014209363037294698, 17185.27564233699, 9936183.855204469]","[0.012343562141561576, 18474.72237016785, 9231630.744149404]","[0.009070483218998256, 8598.037527061913, 10413179.325750005]","[0.013189087978312947, 16544.158248145453, 10028376.640845733]","[0.008231453086345656, 7534.848166250745, 11723538.426747574]","[0.007627043157191147, 6214.528322850864, 11835273.267272199]","[0.012203291135855481, 16555.728071580314, 10227611.467618123]","[0.008216796340623563, 8644.0710247998, 10901058.07427139]","[0.0074265585462230214, 7560.290078879103, 12417321.238480251]","[0.012761261033051087, 16559.631043152793, 10193362.492624301]","[0.008643303497196116, 5658.1349131390325, 12468414.675120061]","[0.008418805370781351, 7508.351701165068, 11424063.926802587]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.012343562141561576, 18474.72237016785, 9231630.744149404]","[0.008124392393349146, 8616.029584857324, 10627903.366627697]","[0.009163161185418663, 8500.413172875498, 9446518.926531691]","[0.008562700814724888, 4863.4299383820535, 10275178.163551508]","[0.008088139147519739, 8643.594617412105, 10873285.735975798]","[0.008126467916227313, 8555.028254895442, 9997463.854531253]","[0.0068245282713970115, 3378.240465279921, 10914912.229839196]","[0.014212340670992986, 21169.534116730418, 9162978.003534436]","[0.008471045688713558, 4878.931732954499, 10418734.300096236]","[0.008088985185768081, 8636.59406858515, 10809795.625794476]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009163161185418663, 8500.413172875498, 9446518.926531691]","[0.008562700814724888, 4863.4299383820535, 10275178.163551508]","[0.008126467916227313, 8555.028254895442, 9997463.854531253]","[0.0068245282713970115, 3378.240465279921, 10914912.229839196]","[0.008471045688713558, 4878.931732954499, 10418734.300096236]","[0.008848215902712765, 8497.543861722708, 9451193.607324608]","[0.00812291946265491, 7398.364463784607, 10326346.587123923]","[0.0115991427516352, 16509.577074405115, 9122639.279477345]","[0.008739333295858312, 8515.041196943794, 9584084.67722489]","[0.008569193762823104, 8543.951189107347, 9880311.725825509]","[0.008068411609175024, 8592.123146800994, 10399239.444961654]","[0.00881545555026262, 8515.036686995534, 9612938.464053366]","[0.009637439562107936, 7024.500258052696, 9996305.908157112]","[0.008205235586715097, 7390.862016635771, 10243533.617794843]","[0.009431561261991827, 8501.91136168184, 9437815.274607487]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009163161185418663, 8500.413172875498, 9446518.926531691]","[0.008126467916227313, 8555.028254895442, 9997463.854531253]","[0.0068245282713970115, 3378.240465279921, 10914912.229839196]","[0.008848215902712765, 8497.543861722708, 9451193.607324608]","[0.008739333295858312, 8515.041196943794, 9584084.67722489]","[0.00845992223885101, 4797.935024303784, 9597455.580724582]","[0.008079480722671697, 7352.312001615237, 10202720.647843383]","[0.00993607961685424, 7263.6692243288635, 8992232.028034728]","[0.007740752702000421, 7414.363996780372, 10511934.122450005]","[0.009163161185418663, 8500.413172875498, 9446518.926531691]","[0.007959547193241342, 8568.120647961401, 10164029.49141307]","[0.00827400442203169, 7306.334074694173, 9717816.177415669]","[0.010008522563467579, 7242.668306164239, 8760743.853693334]","[0.009311689921664933, 8476.419150648915, 9211435.247094274]","[0.007657650966162371, 8624.121310340786, 10741975.872572804]","[0.01576829385935931, 18456.587129921278, 8760196.693977002]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00993607961685424, 7263.6692243288635, 8992232.028034728]","[0.010008522563467579, 7242.668306164239, 8760743.853693334]","[0.009311689921664933, 8476.419150648915, 9211435.247094274]","[0.01576829385935931, 18456.587129921278, 8760196.693977002]","[0.009555789294254042, 8449.973055383933, 8919500.748385105]","[0.0139816667561496, 21106.01355708165, 8428105.897120368]","[0.005948388043481951, 3216.766871645532, 9311541.816748885]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00993607961685424, 7263.6692243288635, 8992232.028034728]","[0.010008522563467579, 7242.668306164239, 8760743.853693334]","[0.009311689921664933, 8476.419150648915, 9211435.247094274]","[0.009555789294254042, 8449.973055383933, 8919500.748385105]","[0.0139816667561496, 21106.01355708165, 8428105.897120368]","[0.005948388043481951, 3216.766871645532, 9311541.816748885]","[0.010917315044134006, 7225.597387688053, 8622391.699272592]","[0.013375982614345873, 18412.224804128175, 8582692.087897833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
