"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008677703847141914, 6544.931834225965, 11823549.466899082]","[0.008865044249005454, 6892.830177296679, 11254701.147838945]","[0.00966530305092528, 8608.903373005951, 10527939.153629934]","[0.008683937784680204, 6496.429323134647, 11348985.296448143]","[0.008098941756975293, 5399.362871619287, 12562840.350053811]","[0.012735509914017427, 8588.379606544007, 10393028.481610345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008677703847141914, 6544.931834225965, 11823549.466899082]","[0.008865044249005454, 6892.830177296679, 11254701.147838945]","[0.00966530305092528, 8608.903373005951, 10527939.153629934]","[0.008683937784680204, 6496.429323134647, 11348985.296448143]","[0.008098941756975293, 5399.362871619287, 12562840.350053811]","[0.010810478476685275, 6411.78593474229, 10477782.797651006]","[0.016935240619221706, 22033.149967666304, 9940913.627536915]","[0.011130097298273894, 6064.485911307312, 10321751.039657013]","[0.009697968435664207, 6926.079934813538, 10598866.228838926]","[0.007907355649570744, 7542.40083291755, 11775107.38387322]","[0.010107310948815208, 6454.4059572118795, 10959527.702660894]","[0.009804080576979351, 8592.392773717029, 10334611.221732292]","[0.01763936802922873, 18322.191475849093, 9917164.671859622]","[0.0078469021867549, 7224.980957950707, 12074591.554928051]","[0.00892814635357552, 6250.480777125736, 12201376.048076726]","[0.017556154584092057, 18322.1729732485, 9917808.000609482]","[0.009660515080878876, 8637.405494815506, 10815190.755094387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.011130097298273894, 6064.485911307312, 10321751.039657013]","[0.007907355649570744, 7542.40083291755, 11775107.38387322]","[0.01763936802922873, 18322.191475849093, 9917164.671859622]","[0.0078469021867549, 7224.980957950707, 12074591.554928051]","[0.017556154584092057, 18322.1729732485, 9917808.000609482]","[0.010230630987407514, 8564.901619500659, 10055869.35256404]","[0.008060817219444044, 5411.732507197624, 11566998.085158037]","[0.008580388502287652, 4914.143846444612, 10328738.042439444]","[0.008299929017031242, 7696.360831041589, 10682614.63874024]","[0.008546450060351598, 6509.952368574538, 11464883.240927339]","[0.009738680268994016, 6892.565813658889, 10264937.81165398]","[0.014123960806212994, 18350.704319421893, 9922185.152210727]","[0.0076427016205610826, 5391.9158601103145, 12462996.074981827]","[0.008427910183131191, 7694.344637888127, 10654859.357254103]","[0.007409228471886526, 7589.87920395457, 12305935.541146684]","[0.008506768645403092, 7436.573046486691, 10555202.67164032]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.010230630987407514, 8564.901619500659, 10055869.35256404]","[0.008580388502287652, 4914.143846444612, 10328738.042439444]","[0.0076427016205610826, 5391.9158601103145, 12462996.074981827]","[0.007409228471886526, 7589.87920395457, 12305935.541146684]","[0.011032757914562298, 8544.472763883616, 9978868.193410948]","[0.007553872892196615, 5430.400331574117, 12873296.881969046]","[0.011167900529262977, 6004.477260871589, 9673914.862732409]","[0.007409228471886526, 7589.87920395457, 12305935.541146684]","[0.016490248466215416, 21958.629561319984, 9060517.036946775]","[0.00857337702386677, 6402.4594798578655, 10408884.839625139]","[0.009475826740395689, 4848.441299800472, 10113127.634856036]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.00825317994323404, 6806.338792510409, 10324421.361603439]","[0.007880623769571842, 5359.764762751163, 11048062.875004513]","[0.007816035232474742, 6541.471831090751, 11725645.01749274]","[0.0071074274427078525, 7616.881492888495, 12575079.213478867]","[0.009594181124988882, 4845.913694200287, 10072264.070414595]","[0.009263327530732536, 7385.486917036749, 10065986.044931777]","[0.008464117650396591, 6570.364580888085, 10108475.795331629]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008580388502287652, 4914.143846444612, 10328738.042439444]","[0.016490248466215416, 21958.629561319984, 9060517.036946775]","[0.009475826740395689, 4848.441299800472, 10113127.634856036]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.007880623769571842, 5359.764762751163, 11048062.875004513]","[0.0071074274427078525, 7616.881492888495, 12575079.213478867]","[0.009594181124988882, 4845.913694200287, 10072264.070414595]","[0.009396034396245903, 8525.926059416797, 9637411.250701966]","[0.008640474608762395, 6754.315903538845, 9825744.13323178]","[0.007738970574885217, 5248.428150655663, 11050021.713934617]","[0.007752033126369702, 7068.035084278468, 10416352.711678445]","[0.017386959390681366, 18269.162945601896, 9427595.126513828]","[0.011110035304161424, 5994.4905259625475, 9572198.156788966]","[0.007928406154818088, 4986.985023028233, 11505137.51981202]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.015230225157805975, 18296.691182158265, 9537771.129987223]","[0.007194464918085629, 5369.262199440647, 11125004.833434943]","[0.007870569561828057, 7066.018891125005, 10389225.074997112]","[0.017383548619651988, 18284.16426837118, 9532445.695984375]","[0.007514887601239627, 5021.975699608872, 11853178.283104813]","[0.009657360734740082, 6325.376690308268, 9600850.35961428]","[0.00807087233684695, 5250.778837567227, 9919041.578174766]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009475826740395689, 4848.441299800472, 10113127.634856036]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.009594181124988882, 4845.913694200287, 10072264.070414595]","[0.009396034396245903, 8525.926059416797, 9637411.250701966]","[0.008640474608762395, 6754.315903538845, 9825744.13323178]","[0.007738970574885217, 5248.428150655663, 11050021.713934617]","[0.007752033126369702, 7068.035084278468, 10416352.711678445]","[0.011110035304161424, 5994.4905259625475, 9572198.156788966]","[0.007928406154818088, 4986.985023028233, 11505137.51981202]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.007194464918085629, 5369.262199440647, 11125004.833434943]","[0.007870569561828057, 7066.018891125005, 10389225.074997112]","[0.007514887601239627, 5021.975699608872, 11853178.283104813]","[0.009657360734740082, 6325.376690308268, 9600850.35961428]","[0.00807087233684695, 5250.778837567227, 9919041.578174766]","[0.0076308824087463305, 7070.995746637696, 10482328.40828072]","[0.007576978726043156, 6454.4897655138, 10893145.246550826]","[0.007802897345901628, 5311.304868095491, 10537638.092487808]","[0.011210382351805638, 8442.91078522268, 8923382.931537636]","[0.008430003386689137, 6546.853963914494, 9883294.538621955]","[0.0072317368059943415, 5270.91056012799, 11287850.563210096]","[0.006993753733889302, 5133.2774710573885, 12528283.324050779]","[0.008110414835369452, 4891.219404431678, 10062458.80367668]","[0.007626607847531406, 6447.489673720671, 10847364.273399763]","[0.007228602934449164, 5285.911882897274, 11426276.934662363]","[0.0085741706039563, 4888.645660297389, 10087623.666682176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.007928406154818088, 4986.985023028233, 11505137.51981202]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.007194464918085629, 5369.262199440647, 11125004.833434943]","[0.007514887601239627, 5021.975699608872, 11853178.283104813]","[0.0072317368059943415, 5270.91056012799, 11287850.563210096]","[0.006993753733889302, 5133.2774710573885, 12528283.324050779]","[0.008110414835369452, 4891.219404431678, 10062458.80367668]","[0.007228602934449164, 5285.911882897274, 11426276.934662363]","[0.0085741706039563, 4888.645660297389, 10087623.666682176]","[0.009020062797286203, 4880.904370780925, 10420405.023964712]","[0.007346312844113733, 5200.896732649569, 9408206.95655479]","[0.007051685550384567, 7146.028589706704, 11271188.349568557]","[0.009355179585802684, 8482.42029109607, 9210906.391201181]","[0.009201877635069187, 4842.407921266908, 10038564.844362024]","[0.016591240124095654, 18198.271000928813, 8616462.467747217]","[0.006960364634707259, 5178.266549566573, 13009204.101493625]","[0.008062816630532852, 4982.01740477672, 11477742.31241942]","[0.006764396161357545, 7670.878358126161, 13133636.80425659]","[0.009795299982900216, 6627.790222846386, 8630165.206215523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.007928406154818088, 4986.985023028233, 11505137.51981202]","[0.008085274114214272, 4979.6320564582, 11014477.349664908]","[0.007194464918085629, 5369.262199440647, 11125004.833434943]","[0.007514887601239627, 5021.975699608872, 11853178.283104813]","[0.0072317368059943415, 5270.91056012799, 11287850.563210096]","[0.008110414835369452, 4891.219404431678, 10062458.80367668]","[0.007228602934449164, 5285.911882897274, 11426276.934662363]","[0.007346312844113733, 5200.896732649569, 9408206.95655479]","[0.007051685550384567, 7146.028589706704, 11271188.349568557]","[0.009201877635069187, 4842.407921266908, 10038564.844362024]","[0.016591240124095654, 18198.271000928813, 8616462.467747217]","[0.008062816630532852, 4982.01740477672, 11477742.31241942]","[0.006764396161357545, 7670.878358126161, 13133636.80425659]","[0.009795299982900216, 6627.790222846386, 8630165.206215523]","[0.007346312844113733, 5200.896732649569, 9408206.95655479]","[0.008065043752684187, 5198.280963603141, 9383681.308909936]","[0.011205756356047142, 5939.9936568877765, 9040155.43011702]","[0.007951478584890738, 4987.649786038071, 11108922.360864434]","[0.0072341150493048356, 5322.794273317711, 10671157.12874039]","[0.007307043560307859, 5244.404115278952, 11018015.94452256]","[0.008291776103282175, 4845.01085321645, 10078280.059181873]","[0.00777658478121938, 5060.60802914195, 11818691.982372083]","[0.006846176053239412, 5109.290735046892, 12275329.344748925]","[0.008131881407957378, 5178.281766789929, 9189600.93528331]","[0.007031471288244162, 5292.172523608863, 11900567.506518116]","[0.007010958385010535, 5452.77454555658, 11999194.196462167]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007346312844113733, 5200.896732649569, 9408206.95655479]","[0.016591240124095654, 18198.271000928813, 8616462.467747217]","[0.009795299982900216, 6627.790222846386, 8630165.206215523]","[0.007346312844113733, 5200.896732649569, 9408206.95655479]","[0.008065043752684187, 5198.280963603141, 9383681.308909936]","[0.008291776103282175, 4845.01085321645, 10078280.059181873]","[0.006846176053239412, 5109.290735046892, 12275329.344748925]","[0.008131881407957378, 5178.281766789929, 9189600.93528331]","[0.009314586573103537, 5139.318842755351, 8818689.730345536]","[0.010005377741644441, 6625.786911170955, 8620600.243001735]","[0.00840938858885187, 4787.053729453519, 9464632.55871638]","[0.006968633455293131, 4885.314159543592, 10002152.137459861]","[0.006754331222796714, 5128.781502970582, 12452911.480975151]","[0.009997636884693363, 5129.318503784672, 8694848.858610783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
