"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007676107259582741, 6979.023422421811, 12114510.658892673]","[0.015876863567225473, 25280.64652465258, 9807432.15706024]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007676107259582741, 6979.023422421811, 12114510.658892673]","[0.015876863567225473, 25280.64652465258, 9807432.15706024]","[0.007866275022466734, 6271.695490135678, 12363094.04397382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.015131735999616033, 17891.540847574695, 9124367.215411399]","[0.007354142789867095, 7058.481999405625, 12879316.541409679]","[0.011682400448227902, 6729.661993419488, 9647057.543846091]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.015131735999616033, 17891.540847574695, 9124367.215411399]","[0.007354142789867095, 7058.481999405625, 12879316.541409679]","[0.011682400448227902, 6729.661993419488, 9647057.543846091]","[0.011976450945644222, 8503.283983711346, 9491664.58346276]","[0.00782289077709098, 4814.045653148569, 9736842.759601865]","[0.007349267420892278, 7529.220142191838, 12424629.701580651]","[0.007349071093671044, 7115.979416850376, 13578139.808756635]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.015131735999616033, 17891.540847574695, 9124367.215411399]","[0.00782289077709098, 4814.045653148569, 9736842.759601865]","[0.007062013248476028, 4977.370958163869, 12199814.13264507]","[0.014462251625276229, 17891.667143023955, 9128416.026017793]","[0.008621595232613914, 6719.334765858222, 9468547.420622703]","[0.008794497560314972, 6719.31144258612, 9470170.92600959]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.00782289077709098, 4814.045653148569, 9736842.759601865]","[0.007062013248476028, 4977.370958163869, 12199814.13264507]","[0.014462251625276229, 17891.667143023955, 9128416.026017793]","[0.008621595232613914, 6719.334765858222, 9468547.420622703]","[0.008794497560314972, 6719.31144258612, 9470170.92600959]","[0.014402023961812631, 17909.17534724683, 9272847.276293822]","[0.0072995504081312884, 4841.219221954987, 10819356.979546094]","[0.00781679832364105, 4850.819702889495, 9651109.428244995]","[0.008837130213778488, 6709.849574494855, 9422325.781527136]","[0.008519529583265593, 6320.970740826483, 9516283.84363574]","[0.014656953197037408, 17372.649565717653, 9104295.806338517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.00782289077709098, 4814.045653148569, 9736842.759601865]","[0.014462251625276229, 17891.667143023955, 9128416.026017793]","[0.008621595232613914, 6719.334765858222, 9468547.420622703]","[0.008794497560314972, 6719.31144258612, 9470170.92600959]","[0.014402023961812631, 17909.17534724683, 9272847.276293822]","[0.00781679832364105, 4850.819702889495, 9651109.428244995]","[0.008837130213778488, 6709.849574494855, 9422325.781527136]","[0.008519529583265593, 6320.970740826483, 9516283.84363574]","[0.014656953197037408, 17372.649565717653, 9104295.806338517]","[0.008253442533057685, 6732.332302728674, 9616026.474471252]","[0.006765831196023836, 4814.744149278422, 10548136.373822302]","[0.007404948408675257, 4869.2908816352265, 9837310.47232946]","[0.007188286840087214, 4814.719323447407, 10547870.827372834]","[0.01641208755868634, 21956.31279930576, 9095796.633842068]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.006765831196023836, 4814.744149278422, 10548136.373822302]","[0.007404948408675257, 4869.2908816352265, 9837310.47232946]","[0.007188286840087214, 4814.719323447407, 10547870.827372834]","[0.01316540465091611, 17362.144463578814, 8837720.780222604]","[0.007928226405001546, 4756.772965073544, 9958758.44940225]","[0.008159620883095808, 6684.8521696024745, 9196608.633312402]","[0.007664544543508555, 4764.026788327473, 9235076.212013818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007439736895375078, 4866.284183485201, 9824195.608391078]","[0.006765831196023836, 4814.744149278422, 10548136.373822302]","[0.007404948408675257, 4869.2908816352265, 9837310.47232946]","[0.01316540465091611, 17362.144463578814, 8837720.780222604]","[0.007928226405001546, 4756.772965073544, 9958758.44940225]","[0.008159620883095808, 6684.8521696024745, 9196608.633312402]","[0.007664544543508555, 4764.026788327473, 9235076.212013818]","[0.00718505860867017, 4787.869529796969, 10270708.32822105]","[0.006341200790811569, 4904.350148260382, 11474555.017579852]","[0.006700350823427845, 4678.4345084622, 11359680.070149016]","[0.007525030769058478, 4812.020575777652, 9717754.988935312]","[0.007038896137700266, 4189.048862295987, 10596973.262101144]","[0.0069185961265410415, 4928.3019883934485, 10466835.9855467]","[0.0072905898955692395, 4848.201701544873, 10042131.00202708]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006765831196023836, 4814.744149278422, 10548136.373822302]","[0.01316540465091611, 17362.144463578814, 8837720.780222604]","[0.006341200790811569, 4904.350148260382, 11474555.017579852]","[0.006700350823427845, 4678.4345084622, 11359680.070149016]","[0.007038896137700266, 4189.048862295987, 10596973.262101144]","[0.006991621451213326, 4760.806993169545, 9978887.472992126]","[0.007252507721582501, 4754.102315948283, 9126222.918335993]","[0.006775128759970768, 4857.776055878679, 9726564.794193357]","[0.006556893917076143, 4890.8235117214135, 10070562.601094205]","[0.007965260079879619, 4754.0656854497065, 9125716.05270642]","[0.006893305830561999, 5208.869191583758, 9423906.17228147]","[0.00695823187267312, 4847.309276771595, 9634261.023490926]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
