"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.01058735462645832, 6917.895409993033, 11521342.653303543]","[0.01147506432880327, 6829.04135617927, 11877346.11478324]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.01825004353276953, 17588.382359019288, 10498512.39446517]","[0.009291175598649653, 6084.9395813006895, 10565955.586231137]","[0.00792196273639103, 7266.487391674085, 12603301.977800336]","[0.018148214003209946, 22040.537815841813, 10053074.782914396]","[0.008316531526496848, 6976.927701885301, 12156153.05757794]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.009291175598649653, 6084.9395813006895, 10565955.586231137]","[0.018309888305348118, 19741.407709873158, 9684342.386305809]","[0.009598480786446487, 8583.485079157977, 10340422.364968408]","[0.00902221484099205, 6493.923264915436, 11278799.633416777]","[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.009951861846837102, 6597.895003632599, 10318413.265724007]","[0.009933885561915719, 8537.485159866805, 9875755.086237215]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009291175598649653, 6084.9395813006895, 10565955.586231137]","[0.00902221484099205, 6493.923264915436, 11278799.633416777]","[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.009382959375200284, 8497.536545920975, 9500958.443338804]","[0.009544105145715033, 6331.935656804279, 9695030.353784528]","[0.008633445615012093, 6737.566834472247, 10983329.967963817]","[0.008640535596884744, 6212.041111784496, 11902551.407007605]","[0.01668808401453748, 19686.860400594487, 8850493.543804366]","[0.009355404488917213, 8530.024842005194, 9792626.182548113]","[0.007800501079840015, 7408.215594133361, 10574268.554304402]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.009382959375200284, 8497.536545920975, 9500958.443338804]","[0.009544105145715033, 6331.935656804279, 9695030.353784528]","[0.008633445615012093, 6737.566834472247, 10983329.967963817]","[0.008640535596884744, 6212.041111784496, 11902551.407007605]","[0.01668808401453748, 19686.860400594487, 8850493.543804366]","[0.008524948802743883, 6754.56188830328, 11119938.853315562]","[0.008540828278099136, 6507.949370859303, 11427790.698507326]","[0.009342037809437423, 6345.404370626525, 9815947.468406387]","[0.007912479358185542, 6903.924279269775, 11401693.562648164]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00873639275394979, 6025.031706051917, 9979330.235924944]","[0.00815736400694726, 6821.852310694284, 10528524.062433397]","[0.009722203983815786, 6322.92746176461, 9565340.273029068]","[0.008585035020070146, 6747.561796510151, 11075238.367072025]","[0.00839261188921456, 6520.484248460151, 11567595.371979982]","[0.009343055877032836, 6334.904016978795, 9684395.756236615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.009382959375200284, 8497.536545920975, 9500958.443338804]","[0.008633445615012093, 6737.566834472247, 10983329.967963817]","[0.008640535596884744, 6212.041111784496, 11902551.407007605]","[0.01668808401453748, 19686.860400594487, 8850493.543804366]","[0.008524948802743883, 6754.56188830328, 11119938.853315562]","[0.008540828278099136, 6507.949370859303, 11427790.698507326]","[0.007912479358185542, 6903.924279269775, 11401693.562648164]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00873639275394979, 6025.031706051917, 9979330.235924944]","[0.009722203983815786, 6322.92746176461, 9565340.273029068]","[0.008585035020070146, 6747.561796510151, 11075238.367072025]","[0.00839261188921456, 6520.484248460151, 11567595.371979982]","[0.008127150583422484, 7355.812185558921, 9908901.122063339]","[0.00844631286884248, 6503.460261832603, 11463038.385787433]","[0.010528064237159565, 6023.982045692226, 9932824.131537588]","[0.008805428471399541, 6327.02715452743, 9666540.060872074]","[0.01950951636956405, 19677.820065539665, 8978458.900168724]","[0.008714194072370974, 6582.393761700208, 10182132.360527122]","[0.008131869551953629, 6785.322363522355, 10181872.0370999]","[0.011154987132292748, 6016.980209224407, 9856725.126445444]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.009382959375200284, 8497.536545920975, 9500958.443338804]","[0.01668808401453748, 19686.860400594487, 8850493.543804366]","[0.007912479358185542, 6903.924279269775, 11401693.562648164]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00873639275394979, 6025.031706051917, 9979330.235924944]","[0.009722203983815786, 6322.92746176461, 9565340.273029068]","[0.008127150583422484, 7355.812185558921, 9908901.122063339]","[0.008805428471399541, 6327.02715452743, 9666540.060872074]","[0.0073902610842786366, 7428.823295570025, 10702187.612084243]","[0.01668808401453748, 19686.860400594487, 8850493.543804366]","[0.008544109868968343, 6554.41559233103, 9903913.188733209]","[0.00811549919168787, 6761.330113719958, 9969209.458252283]","[0.011027926054137924, 5924.459587694689, 8915716.24871494]","[0.008124336821409402, 6139.152043977208, 11136797.578038491]","[0.008132541534578293, 6754.322046053204, 9891665.494131738]","[0.010335159928479274, 5934.507471836499, 9010713.764280882]","[0.008503215025479523, 6046.588185613018, 10176978.258345053]","[0.008247067210257355, 6128.107896204116, 10975203.384538744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.007912479358185542, 6903.924279269775, 11401693.562648164]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00873639275394979, 6025.031706051917, 9979330.235924944]","[0.008127150583422484, 7355.812185558921, 9908901.122063339]","[0.0073902610842786366, 7428.823295570025, 10702187.612084243]","[0.00811549919168787, 6761.330113719958, 9969209.458252283]","[0.011027926054137924, 5924.459587694689, 8915716.24871494]","[0.008124336821409402, 6139.152043977208, 11136797.578038491]","[0.008132541534578293, 6754.322046053204, 9891665.494131738]","[0.010335159928479274, 5934.507471836499, 9010713.764280882]","[0.008503215025479523, 6046.588185613018, 10176978.258345053]","[0.008247067210257355, 6128.107896204116, 10975203.384538744]","[0.008871583349355975, 6297.026478072111, 9299256.55731004]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.007380146958318191, 7160.187449785077, 12932119.620313061]","[0.008051365090349864, 6771.835780235693, 10083933.81735207]","[0.008702876933191349, 6026.54364961604, 9984093.634286877]","[0.00830438045612159, 6381.49590776695, 10222128.198375408]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.0164944440562562, 19686.881060908036, 8851495.350898193]","[0.008796692158322503, 6681.336811603387, 9111401.528501833]","[0.009599978773245147, 5989.593230993909, 9627507.012891322]","[0.007310494606470942, 7458.822698312997, 11008841.037887737]","[0.009080098997654877, 6287.422995765513, 9215241.704762394]","[0.007377003857559439, 7163.687665065351, 12966671.675527709]","[0.0080460090180137, 6805.338363427051, 10440200.853648525]","[0.008380940209284244, 6324.9890536304065, 9615384.604595426]","[0.008399587950914804, 6127.170254040269, 11003424.605594464]","[0.016545713861218836, 19648.855515111252, 8497159.534153938]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00873639275394979, 6025.031706051917, 9979330.235924944]","[0.0073902610842786366, 7428.823295570025, 10702187.612084243]","[0.011027926054137924, 5924.459587694689, 8915716.24871494]","[0.010335159928479274, 5934.507471836499, 9010713.764280882]","[0.008871583349355975, 6297.026478072111, 9299256.55731004]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.007380146958318191, 7160.187449785077, 12932119.620313061]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.0164944440562562, 19686.881060908036, 8851495.350898193]","[0.008796692158322503, 6681.336811603387, 9111401.528501833]","[0.009599978773245147, 5989.593230993909, 9627507.012891322]","[0.007310494606470942, 7458.822698312997, 11008841.037887737]","[0.009080098997654877, 6287.422995765513, 9215241.704762394]","[0.007377003857559439, 7163.687665065351, 12966671.675527709]","[0.008380940209284244, 6324.9890536304065, 9615384.604595426]","[0.016545713861218836, 19648.855515111252, 8497159.534153938]","[0.007453770958429282, 6908.744573014804, 11434117.671872132]","[0.008399446794399046, 6026.056116397983, 9993558.090280896]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.009151079178512133, 6262.447095809202, 8985903.828082934]","[0.008223785395275303, 6375.50508168031, 10115851.005103579]","[0.008113220601329886, 6047.156604971644, 10164013.904879762]","[0.0077062414823629395, 6706.427760406352, 9404166.724976338]","[0.008583246853606709, 6680.346829930398, 9203560.714582594]","[0.008514306638451756, 6026.086072328034, 9975873.960242232]","[0.023647130596602596, 19619.29007293775, 8509520.522130975]","[0.007671038336016806, 6738.921908448462, 9703636.011333197]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.008871583349355975, 6297.026478072111, 9299256.55731004]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.008796692158322503, 6681.336811603387, 9111401.528501833]","[0.009080098997654877, 6287.422995765513, 9215241.704762394]","[0.016545713861218836, 19648.855515111252, 8497159.534153938]","[0.007453770958429282, 6908.744573014804, 11434117.671872132]","[0.008399446794399046, 6026.056116397983, 9993558.090280896]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.009151079178512133, 6262.447095809202, 8985903.828082934]","[0.008223785395275303, 6375.50508168031, 10115851.005103579]","[0.008113220601329886, 6047.156604971644, 10164013.904879762]","[0.0077062414823629395, 6706.427760406352, 9404166.724976338]","[0.008583246853606709, 6680.346829930398, 9203560.714582594]","[0.008514306638451756, 6026.086072328034, 9975873.960242232]","[0.007671038336016806, 6738.921908448462, 9703636.011333197]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00789501085203288, 6392.599524701032, 10267451.409480117]","[0.007299669217634922, 6962.239747901902, 10907664.60835151]","[0.0082472630406991, 6317.505495399101, 9496598.401890554]","[0.016636078276590006, 19607.86087328447, 8125141.265651923]","[0.007210555611349468, 7397.314452931252, 10358361.027400332]","[0.009819796724244517, 5916.526907110632, 8811381.182288993]","[0.008583246853606709, 6680.346829930398, 9203560.714582594]","[0.008566832276202424, 5983.091570638195, 9542650.799202625]","[0.0077637770528096095, 5435.283266475172, 11791839.971153356]","[0.008291583815038934, 6300.461136764457, 9354721.763765339]","[0.016334219980569255, 19656.86136108515, 8606644.618949173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007405729088326952, 6935.6754775740865, 10699334.86416408]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.008399446794399046, 6026.056116397983, 9993558.090280896]","[0.00716204455572412, 7467.821971883316, 11081300.60622409]","[0.009151079178512133, 6262.447095809202, 8985903.828082934]","[0.008113220601329886, 6047.156604971644, 10164013.904879762]","[0.0077062414823629395, 6706.427760406352, 9404166.724976338]","[0.008583246853606709, 6680.346829930398, 9203560.714582594]","[0.008514306638451756, 6026.086072328034, 9975873.960242232]","[0.007671038336016806, 6738.921908448462, 9703636.011333197]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.007210555611349468, 7397.314452931252, 10358361.027400332]","[0.009819796724244517, 5916.526907110632, 8811381.182288993]","[0.008583246853606709, 6680.346829930398, 9203560.714582594]","[0.0077637770528096095, 5435.283266475172, 11791839.971153356]","[0.007811690391654104, 6292.538962320421, 9295029.501447832]","[0.00740189229376081, 7387.340737444309, 10271948.131471701]","[0.007657876230901696, 6769.904112926449, 9999403.520488653]","[0.009393512913605294, 5916.5333532594295, 8810822.170837143]","[0.00807080754289204, 6104.649122503903, 10779380.254846064]","[0.00856145857242891, 5968.593554795775, 9360683.53385571]","[0.007291501722157899, 6961.219774789363, 10872544.719194641]","[0.009045717400909698, 6265.435687391624, 9020411.899145277]","[0.008600471823423377, 6620.339536604826, 8550204.786070092]","[0.006943096948562603, 7551.383070116471, 11934018.137540687]","[0.007448070148086589, 6867.747779552141, 10992718.83304383]","[0.00859678041628132, 6620.339745726096, 8550127.990753258]","[0.015303538237711847, 19607.806119891997, 7983270.357692978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0077062414823629395, 6706.427760406352, 9404166.724976338]","[0.008600471823423377, 6620.339536604826, 8550204.786070092]","[0.00859678041628132, 6620.339745726096, 8550127.990753258]","[0.015303538237711847, 19607.806119891997, 7983270.357692978]","[0.007596573136743414, 5980.622040637704, 9534572.752101738]","[0.007696438498558843, 5263.404415822706, 10051593.407057477]","[0.007139924919944097, 5326.402867321496, 10325037.798141334]","[0.00940172720714847, 5901.530707720861, 8674220.057350311]","[0.00828834203664421, 5924.07435716481, 8934165.382452441]","[0.0069620309280979, 7382.3691467420485, 10248526.884204809]","[0.007800935765074383, 6238.542524185668, 8730628.34556164]","[0.007357203429709578, 6741.375711113847, 9700266.121724257]","[0.007050941903759719, 5368.91831669813, 10755688.274420002]","[0.008647186664482111, 5908.573422264202, 8786247.486673145]","[0.006876057808719043, 7397.200132797955, 10277702.318106605]","[0.006866974335304599, 7517.389822853584, 11661979.91878045]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008600471823423377, 6620.339536604826, 8550204.786070092]","[0.00859678041628132, 6620.339745726096, 8550127.990753258]","[0.015303538237711847, 19607.806119891997, 7983270.357692978]","[0.007596573136743414, 5980.622040637704, 9534572.752101738]","[0.007696438498558843, 5263.404415822706, 10051593.407057477]","[0.007139924919944097, 5326.402867321496, 10325037.798141334]","[0.00940172720714847, 5901.530707720861, 8674220.057350311]","[0.00828834203664421, 5924.07435716481, 8934165.382452441]","[0.0069620309280979, 7382.3691467420485, 10248526.884204809]","[0.007800935765074383, 6238.542524185668, 8730628.34556164]","[0.007357203429709578, 6741.375711113847, 9700266.121724257]","[0.007050941903759719, 5368.91831669813, 10755688.274420002]","[0.008647186664482111, 5908.573422264202, 8786247.486673145]","[0.006621996616325383, 5395.478554739457, 10988149.471575232]","[0.0064948412406548185, 7544.911412582567, 11871214.239727058]","[0.006874392349911576, 7389.201387755421, 10184751.317339897]","[0.007358953809810801, 5993.184207933695, 9646027.187398845]","[0.007503122733044561, 6661.29605890678, 8902879.216051074]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015303538237711847, 19607.806119891997, 7983270.357692978]","[0.00940172720714847, 5901.530707720861, 8674220.057350311]","[0.00828834203664421, 5924.07435716481, 8934165.382452441]","[0.007800935765074383, 6238.542524185668, 8730628.34556164]","[0.008647186664482111, 5908.573422264202, 8786247.486673145]","[0.006621996616325383, 5395.478554739457, 10988149.471575232]","[0.0064948412406548185, 7544.911412582567, 11871214.239727058]","[0.006874392349911576, 7389.201387755421, 10184751.317339897]","[0.007503122733044561, 6661.29605890678, 8902879.216051074]","[0.006887765496635662, 5221.004956753806, 9249651.26611399]","[0.006477434647997254, 7603.175626465008, 12394018.179422015]","[0.008431331351256796, 6593.812443753778, 8257091.513788676]","[0.006635830408905768, 5364.49635026147, 10688703.499572527]","[0.006787619438480879, 5343.005966018848, 10430925.391647328]","[0.008164238925426608, 5952.134015196514, 9196706.947381508]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015303538237711847, 19607.806119891997, 7983270.357692978]","[0.00940172720714847, 5901.530707720861, 8674220.057350311]","[0.007800935765074383, 6238.542524185668, 8730628.34556164]","[0.008647186664482111, 5908.573422264202, 8786247.486673145]","[0.006621996616325383, 5395.478554739457, 10988149.471575232]","[0.0064948412406548185, 7544.911412582567, 11871214.239727058]","[0.007503122733044561, 6661.29605890678, 8902879.216051074]","[0.006477434647997254, 7603.175626465008, 12394018.179422015]","[0.008431331351256796, 6593.812443753778, 8257091.513788676]","[0.006635830408905768, 5364.49635026147, 10688703.499572527]","[0.016641464391482255, 19592.858227745903, 8024017.168080187]","[0.0066490255532391665, 5262.473030373865, 10024115.305723658]","[0.006843188963161604, 5213.891850899883, 9153683.2750163]","[0.007792366711162689, 5151.849545236026, 8897792.725059118]","[0.00803923594773097, 5916.600650525821, 8835765.082906602]","[0.007788246292653365, 5945.1745390111, 9139473.229089202]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
