"[0.00797604442729046, 6164.339159337523, 11392990.838460082]","[0.011514532355008674, 8682.346434255749, 11281989.179268675]","[0.006695581038027673, 5806.842761208005, 11687476.159834322]","[0.011516146774394517, 8632.845919184567, 10742770.105810843]","[0.006694796445406399, 5805.843195791126, 11688191.635881254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.011516146774394517, 8632.845919184567, 10742770.105810843]","[0.00676434058458193, 5545.331883804976, 11324979.595688555]","[0.011572610308268401, 8608.352995226467, 10501963.557267103]","[0.006677137555456934, 5399.508937512173, 11391341.474901501]","[0.011214934262432044, 6873.723135100681, 11061548.66975829]","[0.009220747523323962, 7450.562773205108, 11041326.430043677]","[0.00712296632687066, 5532.756571044347, 11186714.181942135]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00676434058458193, 5545.331883804976, 11324979.595688555]","[0.006677137555456934, 5399.508937512173, 11391341.474901501]","[0.0071072720100382, 5500.294989624629, 10856831.583597519]","[0.010161757988781099, 6790.347956655482, 10168009.521336095]","[0.006561076650157812, 5835.868781118294, 12013896.625485927]","[0.008325718321566755, 7063.503986453352, 10344603.70476861]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00676434058458193, 5545.331883804976, 11324979.595688555]","[0.006677137555456934, 5399.508937512173, 11391341.474901501]","[0.0071072720100382, 5500.294989624629, 10856831.583597519]","[0.010161757988781099, 6790.347956655482, 10168009.521336095]","[0.008325718321566755, 7063.503986453352, 10344603.70476861]","[0.010062434343243009, 6790.354470987731, 10168079.6857578]","[0.00704019021155973, 5528.827816315739, 11149660.178650288]","[0.007120115224306952, 5339.349778682716, 10795394.934502238]","[0.0071072720100382, 5500.294989624629, 10856831.583597519]","[0.006677137555456934, 5399.508937512173, 11391341.474901501]","[0.011472342037363838, 8532.364391107913, 9768523.328496572]","[0.0063790256237924, 5819.376779676153, 11846877.191372044]","[0.006791751527439749, 5753.340253138803, 11173992.301707042]","[0.006562833315387331, 5187.817009865448, 13138146.684646497]","[0.0066105815874325236, 5805.8154418902395, 11689108.411645804]","[0.006477988727105759, 5817.367318560485, 11835739.861314027]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.011472342037363838, 8532.364391107913, 9768523.328496572]","[0.006562833315387331, 5187.817009865448, 13138146.684646497]","[0.0069821736955764345, 5420.306715550598, 10070758.081446549]","[0.010239359908107452, 6770.348759842271, 9976889.000376228]","[0.006300491299169115, 5345.392124372708, 10853476.418659817]","[0.006487570885088116, 5292.658003102804, 11469224.790889608]","[0.006859628551033687, 5289.311041747328, 10277693.130668713]","[0.0063628713821027826, 5309.674607836562, 11617103.519092135]","[0.007285476687405735, 5273.80244203139, 10131983.746767448]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006562833315387331, 5187.817009865448, 13138146.684646497]","[0.006300491299169115, 5345.392124372708, 10853476.418659817]","[0.006487570885088116, 5292.658003102804, 11469224.790889608]","[0.006859628551033687, 5289.311041747328, 10277693.130668713]","[0.0063628713821027826, 5309.674607836562, 11617103.519092135]","[0.00615477396783053, 5385.949758906118, 11264403.831275105]","[0.009886588755699779, 6701.886817803876, 9294216.288383039]","[0.006969429666784093, 5241.506703680957, 9819654.746547451]","[0.006862468528606627, 5269.309614401497, 10055797.268906886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006562833315387331, 5187.817009865448, 13138146.684646497]","[0.006300491299169115, 5345.392124372708, 10853476.418659817]","[0.006487570885088116, 5292.658003102804, 11469224.790889608]","[0.0063628713821027826, 5309.674607836562, 11617103.519092135]","[0.00615477396783053, 5385.949758906118, 11264403.831275105]","[0.009886588755699779, 6701.886817803876, 9294216.288383039]","[0.006969429666784093, 5241.506703680957, 9819654.746547451]","[0.006862468528606627, 5269.309614401497, 10055797.268906886]","[0.006647436484411057, 5255.151270685742, 11108684.290629145]","[0.006789200084798153, 5281.367603724718, 9817449.614639401]","[0.006038171025063743, 5621.3541342195795, 12097006.881434867]","[0.011477246033552739, 8484.362813540649, 9252071.71896717]","[0.0067931732112236735, 5230.523981734688, 10869783.44506957]","[0.017395384432976602, 20704.886972973738, 9163031.193770029]","[0.007735951765143949, 5398.274507909545, 9772918.762770256]","[0.005998984875134705, 5674.854637510989, 12659471.83991428]","[0.012771311181798929, 8484.288866154338, 9251503.78998947]","[0.006788123557009938, 5235.526503188764, 10920716.798899885]","[0.007431082329387228, 5196.976151140788, 10483564.194031626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006562833315387331, 5187.817009865448, 13138146.684646497]","[0.006300491299169115, 5345.392124372708, 10853476.418659817]","[0.00615477396783053, 5385.949758906118, 11264403.831275105]","[0.009886588755699779, 6701.886817803876, 9294216.288383039]","[0.006969429666784093, 5241.506703680957, 9819654.746547451]","[0.006862468528606627, 5269.309614401497, 10055797.268906886]","[0.006647436484411057, 5255.151270685742, 11108684.290629145]","[0.006789200084798153, 5281.367603724718, 9817449.614639401]","[0.006038171025063743, 5621.3541342195795, 12097006.881434867]","[0.011477246033552739, 8484.362813540649, 9252071.71896717]","[0.0067931732112236735, 5230.523981734688, 10869783.44506957]","[0.017395384432976602, 20704.886972973738, 9163031.193770029]","[0.005998984875134705, 5674.854637510989, 12659471.83991428]","[0.012771311181798929, 8484.288866154338, 9251503.78998947]","[0.006788123557009938, 5235.526503188764, 10920716.798899885]","[0.007373725972881638, 5398.30549837987, 9774627.194223197]","[0.006211462585845397, 5366.395946030763, 11094943.658727303]","[0.006854309307421406, 5180.018749296987, 10345572.210624373]","[0.007520676922817731, 5253.37038656955, 9534258.743476458]","[0.006324703319654846, 5276.502749244596, 10182483.109076625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006300491299169115, 5345.392124372708, 10853476.418659817]","[0.00615477396783053, 5385.949758906118, 11264403.831275105]","[0.006969429666784093, 5241.506703680957, 9819654.746547451]","[0.006862468528606627, 5269.309614401497, 10055797.268906886]","[0.006647436484411057, 5255.151270685742, 11108684.290629145]","[0.006789200084798153, 5281.367603724718, 9817449.614639401]","[0.006038171025063743, 5621.3541342195795, 12097006.881434867]","[0.005998984875134705, 5674.854637510989, 12659471.83991428]","[0.006211462585845397, 5366.395946030763, 11094943.658727303]","[0.006324703319654846, 5276.502749244596, 10182483.109076625]","[0.017420025512418422, 20669.395504231758, 8863730.547779413]","[0.007311549659927929, 5138.1336699939, 9941153.482011087]","[0.006940352207015336, 5148.50210249307, 10015540.887352625]","[0.006036238631955879, 5472.947175887018, 12173869.458764361]","[0.007403286008922967, 5005.670240741558, 9024044.514735626]","[0.006763814152826356, 5415.235270422841, 9965045.080933768]","[0.006211462585845397, 5366.395946030763, 11094943.658727303]","[0.0067440890258753695, 5296.866482786278, 9977562.373311872]","[0.006789332280741061, 5003.311188187869, 11277231.946717594]","[0.007072014402411592, 5246.374840685914, 9456017.681161843]","[0.017424156191162922, 20669.393683259947, 8863737.726950577]","[0.006761793770928208, 5158.139711506894, 10151500.596143791]","[0.006370998781579996, 5065.861086659571, 11882141.231025025]","[0.0073431231981276445, 5039.170410512199, 9389469.015922328]","[0.006636984514860508, 5432.2518751565985, 10112162.003684316]","[0.007615120116279073, 4885.267588446443, 10016968.976024272]","[0.006699789861233544, 5317.865245016368, 10171450.207882797]","[0.013592846417036399, 8458.31341533414, 8975267.36455394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006300491299169115, 5345.392124372708, 10853476.418659817]","[0.006789200084798153, 5281.367603724718, 9817449.614639401]","[0.006324703319654846, 5276.502749244596, 10182483.109076625]","[0.017420025512418422, 20669.395504231758, 8863730.547779413]","[0.007403286008922967, 5005.670240741558, 9024044.514735626]","[0.006763814152826356, 5415.235270422841, 9965045.080933768]","[0.0067440890258753695, 5296.866482786278, 9977562.373311872]","[0.006789332280741061, 5003.311188187869, 11277231.946717594]","[0.007072014402411592, 5246.374840685914, 9456017.681161843]","[0.017424156191162922, 20669.393683259947, 8863737.726950577]","[0.006761793770928208, 5158.139711506894, 10151500.596143791]","[0.0073431231981276445, 5039.170410512199, 9389469.015922328]","[0.006699789861233544, 5317.865245016368, 10171450.207882797]","[0.0059807336376776436, 5295.534424623629, 11512653.899068622]","[0.006474066404970335, 5415.266260893167, 9966753.34896564]","[0.006489681950097182, 5235.557493659089, 10922425.526505558]","[0.006936383675118382, 4863.794014816644, 9760840.60988048]","[0.007141667323071512, 5198.824833355393, 9360294.149036366]","[0.0060492012722648805, 5345.423114843034, 10855184.85419166]","[0.006115912982924659, 5004.37032360949, 11240405.52990234]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.007022603668069451, 5320.375184279624, 8972283.855865903]","[0.0068493005511120085, 4955.833446274932, 10771913.036872555]","[0.0069331928174869, 4883.795442162476, 9981150.65520698]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006324703319654846, 5276.502749244596, 10182483.109076625]","[0.007403286008922967, 5005.670240741558, 9024044.514735626]","[0.006761793770928208, 5158.139711506894, 10151500.596143791]","[0.0073431231981276445, 5039.170410512199, 9389469.015922328]","[0.0059807336376776436, 5295.534424623629, 11512653.899068622]","[0.006474066404970335, 5415.266260893167, 9966753.34896564]","[0.006936383675118382, 4863.794014816644, 9760840.60988048]","[0.0060492012722648805, 5345.423114843034, 10855184.85419166]","[0.006115912982924659, 5004.37032360949, 11240405.52990234]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.0069331928174869, 4883.795442162476, 9981150.65520698]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006300461304494368, 5282.392142249627, 10229517.786822269]","[0.006040333980312184, 5274.021436731755, 11284711.080743032]","[0.006295852974307997, 5301.422344348814, 10047083.481487451]","[0.00641022885114086, 4955.273536015815, 10696519.020053823]","[0.006728859726604138, 5198.828069924833, 9362919.210811265]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006764629229329593, 5138.138284161062, 9929827.743660491]","[0.0069331928174869, 4883.795442162476, 9981150.65520698]","[0.008977611935864922, 4835.71385784206, 9499466.893786576]","[0.017426498894117317, 20623.89265088449, 8399939.156988656]","[0.006295437864701088, 5327.422598187844, 10334739.858875047]","[0.00641157949087535, 4912.7728606723485, 10266671.057214135]","[0.006528407097011682, 5253.985212486697, 9552844.42399274]","[0.006739940002947043, 5197.322289651811, 9356941.614300596]","[0.00793918051886262, 5162.242052870173, 8959481.119839558]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006324703319654846, 5276.502749244596, 10182483.109076625]","[0.0059807336376776436, 5295.534424623629, 11512653.899068622]","[0.006474066404970335, 5415.266260893167, 9966753.34896564]","[0.006115912982924659, 5004.37032360949, 11240405.52990234]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006300461304494368, 5282.392142249627, 10229517.786822269]","[0.006040333980312184, 5274.021436731755, 11284711.080743032]","[0.006295852974307997, 5301.422344348814, 10047083.481487451]","[0.00641022885114086, 4955.273536015815, 10696519.020053823]","[0.006728859726604138, 5198.828069924833, 9362919.210811265]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006764629229329593, 5138.138284161062, 9929827.743660491]","[0.017426498894117317, 20623.89265088449, 8399939.156988656]","[0.00641157949087535, 4912.7728606723485, 10266671.057214135]","[0.006528407097011682, 5253.985212486697, 9552844.42399274]","[0.006739940002947043, 5197.322289651811, 9356941.614300596]","[0.00793918051886262, 5162.242052870173, 8959481.119839558]","[0.006024810229452726, 5344.9139486092145, 10868587.191433758]","[0.006752458681797361, 5150.544419181775, 10052379.283104366]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006482730681801956, 5276.486370390617, 9780771.176043876]","[0.0059807336376776436, 5295.534424623629, 11512653.899068622]","[0.007095593509581933, 4785.774426516967, 8985626.130345967]","[0.006931350887304217, 4833.296266699517, 9492655.312505625]","[0.0061682121689921494, 4964.446075962327, 10555982.474489296]","[0.006029658672720039, 5284.501279204904, 10250588.797872243]","[0.006570471301696568, 4889.7453496068765, 10066091.212752108]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006474066404970335, 5415.266260893167, 9966753.34896564]","[0.006115912982924659, 5004.37032360949, 11240405.52990234]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006728859726604138, 5198.828069924833, 9362919.210811265]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006764629229329593, 5138.138284161062, 9929827.743660491]","[0.017426498894117317, 20623.89265088449, 8399939.156988656]","[0.006528407097011682, 5253.985212486697, 9552844.42399274]","[0.006739940002947043, 5197.322289651811, 9356941.614300596]","[0.006779597051952852, 5134.655769271587, 9896156.66080733]","[0.006482730681801956, 5276.486370390617, 9780771.176043876]","[0.006931350887304217, 4833.296266699517, 9492655.312505625]","[0.0061682121689921494, 4964.446075962327, 10555982.474489296]","[0.006029658672720039, 5284.501279204904, 10250588.797872243]","[0.006570471301696568, 4889.7453496068765, 10066091.212752108]","[0.006170026198118109, 4918.945043586869, 10094447.778843071]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.005964249390245666, 5185.045065336365, 10373684.097643424]","[0.006447962257237125, 5260.381241835832, 9995708.759808984]","[0.006845073474196567, 5122.023281883678, 9713721.154654583]","[0.0060220990272466515, 5183.157979438301, 10361561.341069272]","[0.00633926943425641, 4899.311142880502, 10153621.160341943]","[0.006265791852800281, 5298.915813663196, 10018553.767165557]","[0.00669723608732224, 5141.522536319773, 9918770.790160699]","[0.006982823689485357, 4744.2733887540735, 8565637.530700067]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006728859726604138, 5198.828069924833, 9362919.210811265]","[0.017426498894117317, 20623.89265088449, 8399939.156988656]","[0.006528407097011682, 5253.985212486697, 9552844.42399274]","[0.006739940002947043, 5197.322289651811, 9356941.614300596]","[0.006029658672720039, 5284.501279204904, 10250588.797872243]","[0.006170026198118109, 4918.945043586869, 10094447.778843071]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006982823689485357, 4744.2733887540735, 8565637.530700067]","[0.006159118854943157, 5271.032807690781, 9702524.340159442]","[0.006954048631524277, 5028.970568181723, 8799485.423173621]","[0.00691787571406448, 4820.302312194802, 9354683.879198384]","[0.005845459970193057, 4568.964797565795, 10283436.189197397]","[0.006667044749882203, 4827.869306087583, 9463982.277548872]","[0.0063067909902473135, 5134.66038343875, 9884839.909347348]","[0.006625701753707369, 5198.832812434961, 9362942.84269341]","[0.006029658672720039, 5284.501279204904, 10250588.797872243]","[0.00612147822096914, 5291.0320045039925, 9896198.36184054]","[0.006219651404064458, 4542.398590588899, 9995036.459354216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006728859726604138, 5198.828069924833, 9362919.210811265]","[0.017426498894117317, 20623.89265088449, 8399939.156988656]","[0.006739940002947043, 5197.322289651811, 9356941.614300596]","[0.006029658672720039, 5284.501279204904, 10250588.797872243]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.006982823689485357, 4744.2733887540735, 8565637.530700067]","[0.006954048631524277, 5028.970568181723, 8799485.423173621]","[0.00691787571406448, 4820.302312194802, 9354683.879198384]","[0.005845459970193057, 4568.964797565795, 10283436.189197397]","[0.006625701753707369, 5198.832812434961, 9362942.84269341]","[0.006029658672720039, 5284.501279204904, 10250588.797872243]","[0.00612147822096914, 5291.0320045039925, 9896198.36184054]","[0.006219651404064458, 4542.398590588899, 9995036.459354216]","[0.006844688179197996, 5284.417489568525, 8634177.615404421]","[0.0069336572614278995, 4787.79523432406, 9031128.316180373]","[0.006577194945786435, 5215.507674013235, 9173995.371496912]","[0.006954048631524277, 5028.970568181723, 8799485.423173621]","[0.006135008809241894, 4826.834929605222, 9413706.596609231]","[0.006574834828818708, 5230.50899678252, 9312381.406219823]","[0.005750719360110516, 5175.663413733774, 10294767.742611965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.006728859726604138, 5198.828069924833, 9362919.210811265]","[0.006739940002947043, 5197.322289651811, 9356941.614300596]","[0.005845459970193057, 4568.964797565795, 10283436.189197397]","[0.006625701753707369, 5198.832812434961, 9362942.84269341]","[0.006577194945786435, 5215.507674013235, 9173995.371496912]","[0.006135008809241894, 4826.834929605222, 9413706.596609231]","[0.005750719360110516, 5175.663413733774, 10294767.742611965]","[0.006781283305356944, 5085.979924734126, 9349960.852241341]","[0.006912300131772487, 4728.754820515474, 8423232.629775273]","[0.0062475438826261175, 5224.492404636967, 9273062.460639136]","[0.0066624175414006824, 5249.4111776542895, 8295877.97550183]","[0.005907644056370271, 4520.456344118757, 9803419.876251502]","[0.006013857991117686, 5043.767260920806, 9549219.653411373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
