"[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.008420820576883425, 7565.0820428601855, 12971576.352845034]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.009887131477046531, 6652.3031641359685, 13003844.294858083]","[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.017414077612026325, 18002.203189264113, 10627729.802439144]","[0.010189813531036603, 6457.3933048559975, 10937377.275291447]","[0.00851364290202366, 7624.04457767841, 12655681.669388926]","[0.024209935474898817, 32580.951047700466, 10618834.533691803]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.017607300266282933, 20783.384873605475, 10756612.268389178]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.017414077612026325, 18002.203189264113, 10627729.802439144]","[0.024209935474898817, 32580.951047700466, 10618834.533691803]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.016524658786540386, 18080.7873892585, 10822085.884707186]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.008015942267738338, 6955.346881140571, 11946511.104286278]","[0.01925157434089273, 20142.682984737996, 10371209.532667855]","[0.008553789575824434, 6932.241525142055, 11583793.974110847]","[0.00876752672835036, 6515.882603692096, 11553756.441089274]","[0.00843248645361893, 6312.023961029972, 12801886.179186469]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.017414077612026325, 18002.203189264113, 10627729.802439144]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.008015942267738338, 6955.346881140571, 11946511.104286278]","[0.01925157434089273, 20142.682984737996, 10371209.532667855]","[0.008553789575824434, 6932.241525142055, 11583793.974110847]","[0.00876752672835036, 6515.882603692096, 11553756.441089274]","[0.018520017923019085, 18138.728994371835, 11121995.24551988]","[0.015714581076733725, 17698.160894028944, 11623139.78564933]","[0.01477538123071042, 17777.68858422752, 11586940.074924743]","[0.008467945260406102, 7690.775646680494, 13357643.260446405]","[0.009144027577326725, 6951.300260054568, 11902169.548529215]","[0.021053564747885035, 17070.611149764514, 11757975.768692946]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.009048834386521477, 6339.073839211117, 13104012.167378176]","[0.01700727406653819, 17390.55763987258, 11277771.98253491]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.017414077612026325, 18002.203189264113, 10627729.802439144]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.008015942267738338, 6955.346881140571, 11946511.104286278]","[0.008553789575824434, 6932.241525142055, 11583793.974110847]","[0.00876752672835036, 6515.882603692096, 11553756.441089274]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.015344550634375644, 16507.65341760123, 10965062.99563447]","[0.009467014486040023, 6892.274364710351, 11267686.440152332]","[0.02024769598013039, 32428.363138074328, 10109952.779021386]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.018151068458814198, 19800.283624306965, 10269734.903471794]","[0.010057430752255658, 8661.978739647393, 11037699.158809965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.008015942267738338, 6955.346881140571, 11946511.104286278]","[0.008553789575824434, 6932.241525142055, 11583793.974110847]","[0.00876752672835036, 6515.882603692096, 11553756.441089274]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.02407620009059719, 36288.81338145195, 10013858.56632503]","[0.014710902823264864, 18120.274628893385, 10807684.625590282]","[0.00946743502217972, 6206.60465440169, 11847853.11401766]","[0.011265529706592968, 8704.890282787257, 11563935.963496678]","[0.014919624226683125, 20680.606044094402, 10339121.213746559]","[0.01574614598977892, 17409.62588531039, 11445370.998219926]","[0.01354774502137127, 18955.80566112818, 11127275.997038832]","[0.013871767531578816, 20428.05790373987, 10717462.90273535]","[0.008964843609868246, 7621.21861161203, 12570175.409156106]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.008015942267738338, 6955.346881140571, 11946511.104286278]","[0.008553789575824434, 6932.241525142055, 11583793.974110847]","[0.00876752672835036, 6515.882603692096, 11553756.441089274]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.014919624226683125, 20680.606044094402, 10339121.213746559]","[0.016914554233501074, 19867.283921495044, 10938068.163099658]","[0.007759965369931169, 5493.9440481047095, 13501795.47643813]","[0.007918253288412502, 6160.2075779392835, 11367654.765713576]","[0.018749520586395844, 23584.987719782184, 10583855.216841271]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.014919624226683125, 20680.606044094402, 10339121.213746559]","[0.007759965369931169, 5493.9440481047095, 13501795.47643813]","[0.007918253288412502, 6160.2075779392835, 11367654.765713576]","[0.016280608548264946, 19871.26358621088, 11262788.150663938]","[0.008214793398197614, 5633.323835559746, 12248678.711480465]","[0.026200588273062004, 37431.58052718013, 10388285.829390986]","[0.009734982766565285, 8721.42470948421, 11851120.597706879]","[0.010330001805110726, 7501.2743519459345, 11477279.367157282]","[0.009460715912400743, 8724.897780979962, 11714270.021448795]","[0.016979579850880725, 17149.821803869716, 11334833.247347757]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.014919624226683125, 20680.606044094402, 10339121.213746559]","[0.007759965369931169, 5493.9440481047095, 13501795.47643813]","[0.007918253288412502, 6160.2075779392835, 11367654.765713576]","[0.008754801464786289, 7655.053948292966, 12887751.986852044]","[0.015434365462446786, 19927.010896545646, 11895815.403924894]","[0.009018654831588906, 9878.853980075206, 12834331.793972556]","[0.007776268195855618, 7092.868436869257, 13472323.919777608]","[0.014825755089953584, 18521.682491845575, 12380863.65719973]","[0.014312222637288909, 16720.980593972847, 12440408.484181318]","[0.00927710359790143, 6346.16961181372, 13227181.682343448]","[0.013321693639258898, 10457.373050772358, 12810297.785127744]","[0.013793738255335888, 10426.98298876988, 12538817.621910896]","[0.01372495168446049, 20495.189656085622, 12081324.253194693]","[0.009749440825180793, 10813.90761287202, 12719221.950786347]","[0.008322048633419503, 7683.72102330084, 13425588.969284346]",,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.014919624226683125, 20680.606044094402, 10339121.213746559]","[0.007759965369931169, 5493.9440481047095, 13501795.47643813]","[0.007918253288412502, 6160.2075779392835, 11367654.765713576]","[0.007776268195855618, 7092.868436869257, 13472323.919777608]","[0.009336493947757117, 6920.00307351965, 12844725.40398791]","[0.008854861224265577, 7330.0030794476215, 13183533.705756266]","[0.018063137899876257, 25792.32893445342, 10703471.417713508]","[0.010104821029438169, 8721.95097363761, 11765289.972737687]","[0.01013050990364643, 7867.250029056032, 12432406.096552216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009556558355453012, 7428.627742031531, 10799675.243681792]","[0.00899457476558734, 5320.585023719221, 12344002.38551992]","[0.007857862487941823, 5343.38992926773, 11955758.712617477]","[0.009181849120069746, 5354.747887496436, 10910309.550153803]","[0.008851214680377972, 6133.065004241558, 11064278.055191228]","[0.014951837247118448, 19021.219958820544, 10005192.737289729]","[0.01241774395177612, 17648.302503837363, 10626838.65679609]","[0.014919624226683125, 20680.606044094402, 10339121.213746559]","[0.007759965369931169, 5493.9440481047095, 13501795.47643813]","[0.007918253288412502, 6160.2075779392835, 11367654.765713576]","[0.007776268195855618, 7092.868436869257, 13472323.919777608]","[0.017893654794870793, 16413.613372460743, 11321521.499501875]","[0.006599754856532348, 7206.134088635339, 11942379.617437482]","[0.007311846060450469, 6854.231481144227, 12163894.614269543]","[0.008311865170534533, 7496.678850510845, 11459041.687309982]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
