"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007676107259582741, 6979.023422421811, 12114510.658892673]","[0.015876863567225473, 25280.64652465258, 9807432.15706024]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.016009341744698827, 21679.893370447902, 9856425.57012776]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.008741120699325047, 4840.444225540063, 11101157.204424975]","[0.007373861988229585, 5136.227476825118, 12617608.929879779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.008741120699325047, 4840.444225540063, 11101157.204424975]","[0.007373861988229585, 5136.227476825118, 12617608.929879779]","[0.009345543875389667, 6064.671820497566, 10333204.673947234]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.016102138001483208, 17805.328048560055, 10230054.853770195]","[0.014728694354310736, 18471.227389624735, 11379308.47833221]","[0.013655848734508686, 19193.22750002567, 10698645.091870476]","[0.008715299099508718, 5303.92643440711, 11596769.721494569]","[0.007832065092281373, 5528.705495074601, 12737151.863785956]","[0.013272103491775515, 19215.841267382064, 11210613.546968011]","[0.015251298213763722, 18450.186032769587, 11316072.822576337]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.014289037895770068, 18200.888417873044, 10859678.213816484]","[0.016563693744396618, 17870.368758575747, 10891963.484597433]","[0.014153760521500821, 7515.026184678487, 11670010.51382315]","[0.014907563588069994, 22820.09701824206, 9725264.068388224]","[0.008378538132950137, 7640.452316810835, 12761265.151185306]","[0.016211046040050418, 19886.703271320435, 10194325.753488814]","[0.015979273282070793, 17915.633686281504, 11106586.152014159]","[0.013838922570481768, 19318.70390046982, 12305927.961573139]","[0.014028299522365601, 19301.310852662868, 11982865.07725624]","[0.015399117157024135, 19136.673013327923, 10331696.055683646]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.014907563588069994, 22820.09701824206, 9725264.068388224]","[0.013503305237197992, 19159.246240703047, 10589587.19395777]","[0.01637937915845172, 17911.868994390537, 11317103.619878156]","[0.014520538660042114, 19128.79341958549, 10171496.50607026]","[0.020022942272460195, 17514.789518194633, 12836158.48387878]","[0.013922804408288011, 18119.38022686343, 13542466.788500559]","[0.015319447956415192, 18069.15254770466, 11410165.560376406]","[0.01454718149171404, 17995.876599440526, 12206467.76915193]","[0.013133429701712846, 19268.823632641404, 11868962.063979045]","[0.014915932663173986, 17985.347310673977, 12182024.192851938]","[0.015120583957039859, 17967.454782756515, 11876867.263358116]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.014907563588069994, 22820.09701824206, 9725264.068388224]","[0.012663047399773275, 19119.298514422386, 10037501.716799896]","[0.017032139742049982, 18173.834790032593, 10832223.096165005]","[0.01374628819545955, 19087.26664610203, 9551635.069992509]","[0.011294479292200883, 10047.504958240283, 12032678.11777308]","[0.015719964392074137, 23500.037224773216, 9413366.247463189]","[0.017156380658465985, 18026.55725998051, 10837421.384423386]","[0.01505004521612029, 17864.437324665836, 10923835.338435998]","[0.013205724820668986, 18983.73092370834, 12005171.430823345]","[0.01427598801484036, 17959.939145001357, 11732777.615721012]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.01374628819545955, 19087.26664610203, 9551635.069992509]","[0.012423279904589963, 18517.703125048, 9794370.03005762]","[0.017822804264704516, 17295.302793615945, 11223492.437778369]","[0.012843761590633206, 17797.810254409127, 9965669.964723282]","[0.011934986106967277, 18187.425793956318, 11830104.278182805]","[0.012190308172255915, 19034.84558714896, 9029437.707731208]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.012190308172255915, 19034.84558714896, 9029437.707731208]","[0.015612862458102816, 17834.8819247323, 10574626.376723899]","[0.012325999868716958, 19179.778497699834, 10691955.24139677]","[0.014244120956662115, 21090.79842283963, 9756558.448803449]","[0.012693336726767385, 17899.094855966126, 11115325.846254125]","[0.014131734189088878, 21284.304169658633, 9799336.074372148]","[0.017023968394697612, 17352.257478186228, 11891058.927864896]","[0.015605840276959234, 23453.070482402414, 9112767.384707607]","[0.012769371041315031, 17855.658770807375, 10036868.606736546]","[0.012209972375560077, 17926.505343955, 11393815.890491953]","[0.01352306704492252, 20762.295267072917, 9878075.15330401]","[0.015170071383849215, 21249.782640509547, 9528349.316808118]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.007026278692817498, 5292.740142594669, 10346860.943439221]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.015368988778551274, 20010.295142254396, 8870350.674596956]","[0.007970720703814632, 4889.291557763475, 10059172.009134596]","[0.010179489707864904, 7322.581919643817, 9754656.625529485]","[0.007159822689371027, 4223.507506679267, 10989464.112120163]","[0.012190308172255915, 19034.84558714896, 9029437.707731208]","[0.013126781152096291, 17797.945511464008, 10034828.02998257]","[0.017777549216760277, 17311.791610210737, 11485110.81126121]","[0.012155674395333625, 17841.034435824156, 10447486.781537464]","[0.012682548918863062, 19033.282770062877, 8958531.982168755]","[0.01353779959286406, 18050.772198599334, 9292556.249998536]","[0.011988821153732966, 18577.72033632182, 10487769.430662848]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
