"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.007863385293016922, 6632.9118811497165, 12703366.904456299]","[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.009268813359087818, 6898.37309181919, 11389493.14128129]","[0.00944987915581247, 7517.674595750993, 11499981.274986062]","[0.016657805069420002, 21323.293814101264, 10344474.124289157]","[0.012579766717358139, 9895.877016207709, 10371194.611358885]","[0.010307018085463634, 7479.508756692131, 11299945.786098782]","[0.008112007184925309, 6383.019055601037, 13590308.57194961]","[0.00917344784680725, 6625.888936039655, 12657660.480333097]","[0.01217213377255724, 7496.3994313131825, 11208672.436232654]","[0.0090100643629147, 7667.385312727312, 13023746.424728556]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.007863385293016922, 6632.9118811497165, 12703366.904456299]","[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.009268813359087818, 6898.37309181919, 11389493.14128129]","[0.008112007184925309, 6383.019055601037, 13590308.57194961]","[0.016716974685463386, 20510.90768085156, 10583243.847306576]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.01693865506132417, 20801.74628696235, 10282045.285314169]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.022364542903699342, 15975.974418270645, 10712569.010180335]","[0.01709685183817836, 20101.09737413957, 9926134.764411392]","[0.008334769418449336, 6219.552724782495, 11934729.545654403]","[0.007704283798208678, 6617.43785266199, 12618946.613284066]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.008112007184925309, 6383.019055601037, 13590308.57194961]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.008334769418449336, 6219.552724782495, 11934729.545654403]","[0.007704283798208678, 6617.43785266199, 12618946.613284066]","[0.017098812726992273, 22021.065648126783, 10198653.091368798]","[0.01614634647927795, 17606.237112441682, 10261792.004024718]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.008112007184925309, 6383.019055601037, 13590308.57194961]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.008334769418449336, 6219.552724782495, 11934729.545654403]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.01724952488234363, 16137.81944536309, 10246227.437719211]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.007951350146695329, 6532.470356076879, 11713876.243578302]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.008930104695191631, 6520.92160085162, 11555163.221884482]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.008334769418449336, 6219.552724782495, 11934729.545654403]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.008155487021950207, 6936.9830999150745, 12998621.194441019]","[0.008904762276452836, 6252.975748245546, 12254762.00742301]","[0.014496978153037488, 20949.0582099346, 11130237.247036757]","[0.014539295753699303, 18614.319854563262, 10996509.570080094]","[0.016095257623379673, 17267.59255620451, 10050465.978489624]","[0.008849342264035333, 7762.310507059054, 11308006.905579865]","[0.009730247025377637, 8670.985027075503, 11207177.966871103]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.008334769418449336, 6219.552724782495, 11934729.545654403]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.016095257623379673, 17267.59255620451, 10050465.978489624]","[0.009280037360585218, 8650.508139613989, 11028823.734240538]","[0.00914508111467974, 8685.974013571213, 11405286.556517825]","[0.007301504191893656, 6791.221703760938, 11489035.88382611]","[0.014623902699706426, 22023.19562041919, 9914900.61803426]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.008334769418449336, 6219.552724782495, 11934729.545654403]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.016095257623379673, 17267.59255620451, 10050465.978489624]","[0.007301504191893656, 6791.221703760938, 11489035.88382611]","[0.014623902699706426, 22023.19562041919, 9914900.61803426]","[0.007713412128288503, 7211.630818520398, 13507223.907344759]","[0.01266902203084335, 17266.190239014595, 10191520.669642659]","[0.007548179628373643, 7332.0215051096075, 13144838.705372814]","[0.015507265004422092, 17021.32178733246, 11324244.899281554]","[0.007871107114867508, 6192.720860983861, 11653484.342076205]","[0.013120195460977133, 10321.535518537254, 11354108.508456305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.016095257623379673, 17267.59255620451, 10050465.978489624]","[0.007301504191893656, 6791.221703760938, 11489035.88382611]","[0.014623902699706426, 22023.19562041919, 9914900.61803426]","[0.007871107114867508, 6192.720860983861, 11653484.342076205]","[0.01331431559286634, 18076.33951766541, 10433631.64948814]","[0.016536394929541114, 16639.495063233164, 11967842.615460439]","[0.013351069393606817, 17426.962739414364, 11552491.509629885]","[0.008748972681306625, 7626.510154810571, 12502308.56766893]","[0.013687254609524501, 17332.56019854509, 11256254.929938508]","[0.011060577691019197, 7557.4669080417525, 12089529.178906428]","[0.014372659188945945, 19161.44987169774, 10417574.930927582]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.016095257623379673, 17267.59255620451, 10050465.978489624]","[0.007301504191893656, 6791.221703760938, 11489035.88382611]","[0.014623902699706426, 22023.19562041919, 9914900.61803426]","[0.007871107114867508, 6192.720860983861, 11653484.342076205]","[0.008267325087964864, 7013.853478163065, 12550302.839107964]","[0.007935208087131643, 7711.669231378805, 13792847.09258237]","[0.008634531128780494, 7581.270861567272, 12369590.489913093]","[0.008722351400598998, 7450.292815905292, 10876199.867153699]","[0.013504941994116415, 17580.326410407397, 10184793.920603441]","[0.009546460730181413, 7432.74921593309, 11061683.222383775]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.015246948650193362, 18326.794814898352, 9861400.269218862]","[0.010480787255581601, 7646.674348650098, 10069616.060979657]","[0.009629615078015116, 6098.462104467507, 10714204.687056748]","[0.008702813459907081, 4958.992224881764, 11283105.715326278]","[0.007514605586416518, 6423.635326696228, 10701397.11997712]","[0.008465319756448259, 7072.963683279739, 10564714.405596951]","[0.017975242062259585, 21278.27906057108, 9806351.91503156]","[0.00835486918830459, 6157.547759475798, 11255286.94522563]","[0.007671671278685643, 6284.636508089555, 12543805.209254853]","[0.009152049569041113, 8591.457503129146, 10418417.164758278]","[0.016095257623379673, 17267.59255620451, 10050465.978489624]","[0.007301504191893656, 6791.221703760938, 11489035.88382611]","[0.014623902699706426, 22023.19562041919, 9914900.61803426]","[0.007871107114867508, 6192.720860983861, 11653484.342076205]","[0.008764117229770217, 7464.250434365056, 11376258.313484818]","[0.008757744062037434, 7029.864900163474, 12717958.71706307]","[0.015004265407279657, 17665.34681906887, 10154569.514156284]","[0.009797783536958265, 6843.326620056274, 10753142.155753834]","[0.00755815354030268, 7515.715894247862, 11613915.252347196]","[0.008642161323819505, 7195.0000365601345, 11756612.73215626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
