"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.015775905286054874, 23569.198802786017, 10166447.213037314]","[0.01607238672492356, 19732.202523490098, 11021815.224701535]","[0.007797632889556792, 7680.165246798023, 13117597.181325404]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.013125583149532842, 19068.413429348835, 11451846.220703544]","[0.01590745711583019, 20832.791924948164, 10565099.628268868]","[0.009227694972828342, 7550.042021723292, 11980941.139838068]","[0.009092175558304445, 7227.410430399249, 12098084.439962158]","[0.008813008968352536, 7615.646805812566, 12591475.208114626]","[0.010814622957344327, 6835.014586898604, 11940433.085359482]","[0.01794256447947359, 17410.915223567663, 11534309.379790667]","[0.010317813826322374, 6326.530951920697, 12949436.111191373]","[0.012772012585175088, 20018.986969992042, 11476856.099685455]","[0.022002158222686544, 17581.57552684401, 10827822.249144966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.015775905286054874, 23569.198802786017, 10166447.213037314]","[0.01607238672492356, 19732.202523490098, 11021815.224701535]","[0.007797632889556792, 7680.165246798023, 13117597.181325404]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.01590745711583019, 20832.791924948164, 10565099.628268868]","[0.009092175558304445, 7227.410430399249, 12098084.439962158]","[0.022002158222686544, 17581.57552684401, 10827822.249144966]","[0.008954810130995262, 7161.905635317009, 11381283.368743148]","[0.016331237828784158, 20479.973050528148, 10401211.663215768]","[0.00887916723969857, 7517.732998381596, 11666656.106101252]","[0.015610303815795295, 17516.292566082167, 10927282.106146274]","[0.017403060409602055, 19256.462296524234, 10312678.628955185]","[0.01597236444315058, 16693.534585596983, 10771070.932677139]","[0.00834524707881363, 7823.380157247707, 11892987.245158467]","[0.013565997650946742, 18409.303782039664, 10660656.27679349]","[0.016346932877115753, 20771.231596837777, 10010359.752284888]","[0.019091485732149988, 18382.202295069637, 10610657.33023918]","[0.0088320676593642, 7681.61446632895, 13373856.18658867]","[0.015614605463741497, 17176.124579840525, 11379716.505466133]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.015775905286054874, 23569.198802786017, 10166447.213037314]","[0.007797632889556792, 7680.165246798023, 13117597.181325404]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.01590745711583019, 20832.791924948164, 10565099.628268868]","[0.008954810130995262, 7161.905635317009, 11381283.368743148]","[0.016331237828784158, 20479.973050528148, 10401211.663215768]","[0.015610303815795295, 17516.292566082167, 10927282.106146274]","[0.017403060409602055, 19256.462296524234, 10312678.628955185]","[0.01597236444315058, 16693.534585596983, 10771070.932677139]","[0.013565997650946742, 18409.303782039664, 10660656.27679349]","[0.016346932877115753, 20771.231596837777, 10010359.752284888]","[0.019091485732149988, 18382.202295069637, 10610657.33023918]","[0.02014092857383141, 18064.710199911005, 10494138.569988374]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.015548210266277899, 19803.864839267968, 10329735.27184862]","[0.01580899528491249, 17963.044530891984, 10842327.635215575]","[0.013618200681136188, 8641.809955489402, 10970391.018599596]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.00932921886685777, 6195.630537620029, 11699822.377953937]","[0.01005433226152308, 6980.06347748067, 11149731.341678014]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.015775905286054874, 23569.198802786017, 10166447.213037314]","[0.007797632889556792, 7680.165246798023, 13117597.181325404]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.008954810130995262, 7161.905635317009, 11381283.368743148]","[0.015610303815795295, 17516.292566082167, 10927282.106146274]","[0.01597236444315058, 16693.534585596983, 10771070.932677139]","[0.013565997650946742, 18409.303782039664, 10660656.27679349]","[0.016346932877115753, 20771.231596837777, 10010359.752284888]","[0.019091485732149988, 18382.202295069637, 10610657.33023918]","[0.02014092857383141, 18064.710199911005, 10494138.569988374]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.015548210266277899, 19803.864839267968, 10329735.27184862]","[0.01580899528491249, 17963.044530891984, 10842327.635215575]","[0.013618200681136188, 8641.809955489402, 10970391.018599596]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.00932921886685777, 6195.630537620029, 11699822.377953937]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.009595238300065059, 7546.616470108811, 12042415.867300497]","[0.009243410716310524, 7631.105278658136, 12811020.918991236]","[0.011065473146269614, 7507.014533758067, 11581727.708868371]","[0.0096315284112072, 6584.863467321974, 12333108.291378263]","[0.010023617279105775, 6941.291391147878, 11721208.972549431]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.007797632889556792, 7680.165246798023, 13117597.181325404]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.008954810130995262, 7161.905635317009, 11381283.368743148]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.00932921886685777, 6195.630537620029, 11699822.377953937]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.00745636147173855, 5642.089903045405, 12410907.223611522]","[0.008691264570273374, 8667.924272908345, 11233418.69899423]","[0.00955193593056608, 7578.621637953082, 12317632.085512925]","[0.012301772606611815, 8656.864910554423, 11112794.813201174]","[0.013466333665973985, 17279.278976531725, 10002449.257234816]","[0.010968829717378241, 7541.431774954979, 11737154.517319841]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.008954810130995262, 7161.905635317009, 11381283.368743148]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.00932921886685777, 6195.630537620029, 11699822.377953937]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.00745636147173855, 5642.089903045405, 12410907.223611522]","[0.008691264570273374, 8667.924272908345, 11233418.69899423]","[0.00833798550992691, 6278.122157850257, 12546111.532242497]","[0.013997040975945051, 8555.277893002618, 10110102.657655062]","[0.01163366237038957, 8607.35056901724, 10605697.36165879]","[0.00856136485934677, 5510.884133954084, 13703118.797980515]","[0.008888665201396974, 6104.079581694314, 10767259.870753586]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.00745636147173855, 5642.089903045405, 12410907.223611522]","[0.008691264570273374, 8667.924272908345, 11233418.69899423]","[0.008888665201396974, 6104.079581694314, 10767259.870753586]","[0.00941330914654263, 8698.4681824989, 11498736.85304259]","[0.012776941744864876, 8576.28598605605, 10286913.213134268]","[0.009013007960917379, 6308.487548729119, 12869066.9706883]","[0.009575325198971972, 7556.646971905983, 12093950.045383474]","[0.010601151783090852, 8623.959152187485, 10767585.068538887]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.00745636147173855, 5642.089903045405, 12410907.223611522]","[0.008691264570273374, 8667.924272908345, 11233418.69899423]","[0.008888665201396974, 6104.079581694314, 10767259.870753586]","[0.008613398838041948, 7550.624328816394, 12045448.575659266]","[0.009346832484487493, 6844.319497526335, 10771859.644611005]","[0.00899475140794452, 8614.971479213782, 10674307.070424896]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.00745636147173855, 5642.089903045405, 12410907.223611522]","[0.008691264570273374, 8667.924272908345, 11233418.69899423]","[0.008888665201396974, 6104.079581694314, 10767259.870753586]","[0.00899475140794452, 8614.971479213782, 10674307.070424896]","[0.01790899929193744, 23538.585735262255, 10115153.857503075]","[0.008801161652090378, 8633.49753484759, 10939801.270759234]","[0.011168089547862846, 8599.85190160551, 10537173.403817253]","[0.01186050435350728, 7524.571656717038, 11718506.609052282]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.00871467052274089, 6572.424552609686, 12102184.596207805]","[0.007069261999080804, 5236.005938904248, 13300415.539575981]","[0.008189129968747726, 7513.16446414673, 11605998.81548606]","[0.009815296268146971, 5369.789460648426, 11075029.40699246]","[0.01646804573841357, 19186.191442671923, 9743003.466012405]","[0.017388027208716607, 21573.00354146996, 9388367.984334646]","[0.010855358445701006, 8548.49454162793, 9977462.005196689]","[0.00745636147173855, 5642.089903045405, 12410907.223611522]","[0.008691264570273374, 8667.924272908345, 11233418.69899423]","[0.008888665201396974, 6104.079581694314, 10767259.870753586]","[0.00899475140794452, 8614.971479213782, 10674307.070424896]","[0.008801161652090378, 8633.49753484759, 10939801.270759234]","[0.01898784062761857, 18929.881759353066, 10092257.49912587]","[0.009808407991780446, 8710.46956736431, 11699299.820444867]","[0.0107280427556533, 8699.930904017778, 11560046.211013272]","[0.010777996451735914, 8661.44050911458, 11114477.281558767]","[0.008741561007136113, 8995.754365950459, 13106316.899259973]","[0.010140903786000563, 8710.45246153848, 11660499.708067708]","[0.010814794157995805, 8657.373217308417, 11121075.072653849]","[0.011103803076880381, 8563.3823413074, 10122118.847887984]","[0.009045845248162567, 8730.477776957108, 11866425.335772159]","[0.0106556834753164, 8795.2918554905, 11133706.390841268]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
