"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.010609239820043904, 6504.929002671915, 11451475.999463243]","[0.013081488937842702, 17144.264765049546, 9954434.18422894]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.012787116722239596, 17808.916607466654, 10632714.378236916]","[0.010618618385076807, 6299.959006281321, 12786093.945057008]","[0.009016329870701133, 7184.855780841133, 11640312.599152174]","[0.009307973718930392, 10319.078774758862, 11451331.948814088]","[0.00943300575343501, 9089.554723010686, 11479039.296591608]",,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.010609239820043904, 6504.929002671915, 11451475.999463243]","[0.00948158313002241, 6505.9692318768, 11421080.61682725]","[0.010618618385076807, 6299.959006281321, 12786093.945057008]","[0.009016329870701133, 7184.855780841133, 11640312.599152174]","[0.008668952639524448, 7468.043467087111, 11043001.637359729]","[0.008501163162476507, 7506.497383082414, 11424269.836746506]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]",,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.009016329870701133, 7184.855780841133, 11640312.599152174]","[0.008668952639524448, 7468.043467087111, 11043001.637359729]","[0.008501163162476507, 7506.497383082414, 11424269.836746506]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.009180355180461926, 6195.444227417203, 11653673.014637051]","[0.00917764968561204, 6195.445130612908, 11683953.261014642]","[0.009267597770705882, 6172.430339052781, 11414458.991813077]","[0.009028276395132137, 6519.96868864805, 11560347.027771868]","[0.007414359151084469, 6568.4695962290725, 12038181.806415243]","[0.007411944739211602, 6583.470918998357, 12173030.70453763]","[0.007422791817009711, 6547.964983026437, 11795426.600494927]",,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.009016329870701133, 7184.855780841133, 11640312.599152174]","[0.008668952639524448, 7468.043467087111, 11043001.637359729]","[0.008501163162476507, 7506.497383082414, 11424269.836746506]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.009180355180461926, 6195.444227417203, 11653673.014637051]","[0.00917764968561204, 6195.445130612908, 11683953.261014642]","[0.009267597770705882, 6172.430339052781, 11414458.991813077]","[0.009028276395132137, 6519.96868864805, 11560347.027771868]","[0.007414359151084469, 6568.4695962290725, 12038181.806415243]","[0.007411944739211602, 6583.470918998357, 12173030.70453763]","[0.007422791817009711, 6547.964983026437, 11795426.600494927]",,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.009016329870701133, 7184.855780841133, 11640312.599152174]","[0.008668952639524448, 7468.043467087111, 11043001.637359729]","[0.008501163162476507, 7506.497383082414, 11424269.836746506]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.009180355180461926, 6195.444227417203, 11653673.014637051]","[0.00917764968561204, 6195.445130612908, 11683953.261014642]","[0.009267597770705882, 6172.430339052781, 11414458.991813077]","[0.009028276395132137, 6519.96868864805, 11560347.027771868]","[0.007414359151084469, 6568.4695962290725, 12038181.806415243]","[0.007411944739211602, 6583.470918998357, 12173030.70453763]","[0.007422791817009711, 6547.964983026437, 11795426.600494927]","[0.009533764181755505, 4838.257312734808, 12984714.079336535]",,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.007985389849967084, 4631.83642787199, 10902753.126246052]","[0.007548649371243047, 4667.347899939822, 11254902.675657464]","[0.00718380199897429, 4906.20009797184, 11490318.85867007]","[0.01309631311793533, 18794.572607592494, 9606767.337636016]",,,,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.007985389849967084, 4631.83642787199, 10902753.126246052]","[0.007548649371243047, 4667.347899939822, 11254902.675657464]","[0.00718380199897429, 4906.20009797184, 11490318.85867007]","[0.01309631311793533, 18794.572607592494, 9606767.337636016]","[0.007311348444899762, 5284.899325244595, 11383338.069318239]",,,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.007985389849967084, 4631.83642787199, 10902753.126246052]","[0.007548649371243047, 4667.347899939822, 11254902.675657464]","[0.00718380199897429, 4906.20009797184, 11490318.85867007]","[0.01309631311793533, 18794.572607592494, 9606767.337636016]","[0.007311348444899762, 5284.899325244595, 11383338.069318239]",,,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.007985389849967084, 4631.83642787199, 10902753.126246052]","[0.007548649371243047, 4667.347899939822, 11254902.675657464]","[0.00718380199897429, 4906.20009797184, 11490318.85867007]","[0.01309631311793533, 18794.572607592494, 9606767.337636016]","[0.007311348444899762, 5284.899325244595, 11383338.069318239]",,,,,,,,,,,,,,,,,,,,,,
"[0.007485341035631237, 4246.138340749643, 13073461.205248583]","[0.01023431349234104, 8514.3692296284, 9674651.940580126]","[0.00870732537051485, 7249.967834019051, 9760000.793679753]","[0.007985389849967084, 4631.83642787199, 10902753.126246052]","[0.007548649371243047, 4667.347899939822, 11254902.675657464]","[0.00718380199897429, 4906.20009797184, 11490318.85867007]","[0.01309631311793533, 18794.572607592494, 9606767.337636016]","[0.007311348444899762, 5284.899325244595, 11383338.069318239]","[0.007439272915702341, 6635.162543646964, 9825618.737508]","[0.007390371483446123, 6635.164744020873, 9826277.404716533]","[0.008336663205568596, 6576.4189190262305, 10152321.203460027]","[0.008328446836434808, 6614.422479004803, 10526867.887131587]","[0.008370652800363577, 6558.404266310708, 9951812.909800228]","[0.00972227239938908, 6427.412455666471, 10629768.876059098]","[0.008935371031988704, 6439.899768445261, 10739508.552215042]",,,,,,,,,,,,,,,
