"[0.014724723000094813, 17625.961180843966, 10813224.493561905]","[0.010995531797536385, 8695.837034868742, 11558298.163396616]","[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.014007681817030633, 17355.013791795438, 11491378.535259282]","[0.017691347592886184, 17288.818681975135, 11055253.744637966]","[0.008420820576883425, 7565.0820428601855, 12971576.352845034]","[0.011266839990858068, 6910.673664709372, 11501668.638439776]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.016236655455216572, 23604.513709081624, 10382776.437114257]","[0.013718764551527802, 19345.16402943942, 11058800.722947963]","[0.013771106974565241, 19342.652333599315, 10966564.366522541]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.008420820576883425, 7565.0820428601855, 12971576.352845034]","[0.011266839990858068, 6910.673664709372, 11501668.638439776]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.008062102533813587, 7767.814439582355, 11289914.538224189]","[0.00830904752766203, 7764.316927597598, 11255575.190222673]","[0.008809251609002483, 7746.813391904456, 11074080.254074717]","[0.007959786700061866, 7802.321508141643, 11632533.48145245]","[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.008420820576883425, 7565.0820428601855, 12971576.352845034]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.008062102533813587, 7767.814439582355, 11289914.538224189]","[0.00830904752766203, 7764.316927597598, 11255575.190222673]","[0.008809251609002483, 7746.813391904456, 11074080.254074717]","[0.007959786700061866, 7802.321508141643, 11632533.48145245]","[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.010459004532284584, 6508.827544473963, 11475769.508573579]","[0.014469868667478035, 18201.475658313644, 10193958.365009079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.008420820576883425, 7565.0820428601855, 12971576.352845034]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.008062102533813587, 7767.814439582355, 11289914.538224189]","[0.00830904752766203, 7764.316927597598, 11255575.190222673]","[0.008809251609002483, 7746.813391904456, 11074080.254074717]","[0.007959786700061866, 7802.321508141643, 11632533.48145245]","[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.010459004532284584, 6508.827544473963, 11475769.508573579]","[0.014469868667478035, 18201.475658313644, 10193958.365009079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.008062102533813587, 7767.814439582355, 11289914.538224189]","[0.00830904752766203, 7764.316927597598, 11255575.190222673]","[0.008809251609002483, 7746.813391904456, 11074080.254074717]","[0.007959786700061866, 7802.321508141643, 11632533.48145245]","[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.010459004532284584, 6508.827544473963, 11475769.508573579]","[0.014469868667478035, 18201.475658313644, 10193958.365009079]","[0.00899102426072999, 7488.785067359477, 11255533.425444987]","[0.008370356972976646, 7532.306419784203, 11689719.184360221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.008875266419386076, 6995.268381241041, 12297677.943316884]","[0.008690965023228617, 7181.992677708647, 11576106.792292885]","[0.008062102533813587, 7767.814439582355, 11289914.538224189]","[0.00830904752766203, 7764.316927597598, 11255575.190222673]","[0.008809251609002483, 7746.813391904456, 11074080.254074717]","[0.007959786700061866, 7802.321508141643, 11632533.48145245]","[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.010459004532284584, 6508.827544473963, 11475769.508573579]","[0.014469868667478035, 18201.475658313644, 10193958.365009079]","[0.00899102426072999, 7488.785067359477, 11255533.425444987]","[0.008370356972976646, 7532.306419784203, 11689719.184360221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.014469868667478035, 18201.475658313644, 10193958.365009079]","[0.007554600564522642, 4514.081987254655, 10831752.221111791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.014469868667478035, 18201.475658313644, 10193958.365009079]","[0.007554600564522642, 4514.081987254655, 10831752.221111791]","[0.01147487395159821, 6843.169171418522, 10761996.970522355]","[0.013870305072318111, 19207.420640645854, 9942870.574371949]","[0.013630882828407373, 19207.45163111618, 9944578.083650477]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.007554600564522642, 4514.081987254655, 10831752.221111791]","[0.01147487395159821, 6843.169171418522, 10761996.970522355]","[0.013870305072318111, 19207.420640645854, 9942870.574371949]","[0.013630882828407373, 19207.45163111618, 9944578.083650477]","[0.010141605699843199, 7097.878613960535, 10795952.364988696]","[0.011141814082572279, 7405.547139773503, 10578749.011735965]","[0.013650378115897968, 17750.50141834021, 10026845.9342613]","[0.015414253759423277, 17733.3708390311, 9933985.39168203]","[0.013523924815636381, 17748.36618547995, 10050020.690290935]","[0.015047840848300657, 21636.60667249316, 9813427.673783971]","[0.014308821665164416, 23175.10782041569, 8056681.160731014]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.00954651904467129, 7653.328149848506, 10207160.308953164]","[0.010088104511042716, 7098.910994026384, 10754074.989632279]","[0.007554600564522642, 4514.081987254655, 10831752.221111791]","[0.01147487395159821, 6843.169171418522, 10761996.970522355]","[0.013870305072318111, 19207.420640645854, 9942870.574371949]","[0.013630882828407373, 19207.45163111618, 9944578.083650477]","[0.010141605699843199, 7097.878613960535, 10795952.364988696]","[0.011141814082572279, 7405.547139773503, 10578749.011735965]","[0.013650378115897968, 17750.50141834021, 10026845.9342613]","[0.013523924815636381, 17748.36618547995, 10050020.690290935]","[0.014308821665164416, 23175.10782041569, 8056681.160731014]","[0.025028585162747058, 39053.119071141664, 8031331.552338952]","[0.014710252885238088, 20068.28004195025, 9487419.704431642]","[0.014083157369665722, 17373.279877166933, 9824757.11236795]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.007554600564522642, 4514.081987254655, 10831752.221111791]","[0.01147487395159821, 6843.169171418522, 10761996.970522355]","[0.013870305072318111, 19207.420640645854, 9942870.574371949]","[0.013630882828407373, 19207.45163111618, 9944578.083650477]","[0.013650378115897968, 17750.50141834021, 10026845.9342613]","[0.013523924815636381, 17748.36618547995, 10050020.690290935]","[0.014308821665164416, 23175.10782041569, 8056681.160731014]","[0.025028585162747058, 39053.119071141664, 8031331.552338952]","[0.014710252885238088, 20068.28004195025, 9487419.704431642]","[0.014083157369665722, 17373.279877166933, 9824757.11236795]","[0.008512498660730554, 7041.558429894898, 10194046.327724023]","[0.00851650136892206, 7041.556623503489, 10159593.71331651]","[0.009865731222645939, 6838.717853094079, 10778297.544682778]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.017736242972597013, 17033.30813443484, 10156224.63534236]","[0.007554600564522642, 4514.081987254655, 10831752.221111791]","[0.01147487395159821, 6843.169171418522, 10761996.970522355]","[0.013870305072318111, 19207.420640645854, 9942870.574371949]","[0.013630882828407373, 19207.45163111618, 9944578.083650477]","[0.013650378115897968, 17750.50141834021, 10026845.9342613]","[0.013523924815636381, 17748.36618547995, 10050020.690290935]","[0.014308821665164416, 23175.10782041569, 8056681.160731014]","[0.025028585162747058, 39053.119071141664, 8031331.552338952]","[0.014710252885238088, 20068.28004195025, 9487419.704431642]","[0.014083157369665722, 17373.279877166933, 9824757.11236795]","[0.008512498660730554, 7041.558429894898, 10194046.327724023]","[0.00851650136892206, 7041.556623503489, 10159593.71331651]","[0.009865731222645939, 6838.717853094079, 10778297.544682778]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
