"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.009503154676507789, 6606.353399700133, 12463382.875263214]","[0.008782988345617086, 6688.919602247125, 13307344.829227827]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.0076910940296475005, 7673.530526888659, 13001937.508015241]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.009976752294385249, 8675.496363221724, 11252543.782275265]","[0.009661947649969381, 8718.479704539363, 11740670.400623187]","[0.00965771137332582, 8768.979982727542, 12254372.396953752]",,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]",,,,,,,,,,,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]",,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.014736552927250677, 19507.620569042792, 9941908.46075564]",,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.014736552927250677, 19507.620569042792, 9941908.46075564]",,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.014736552927250677, 19507.620569042792, 9941908.46075564]",,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.013839854952469382, 19874.965881559947, 10088411.461322282]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.014736552927250677, 19507.620569042792, 9941908.46075564]",,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.01358794038328896, 18713.19487509953, 9841785.24851618]",,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.01358794038328896, 18713.19487509953, 9841785.24851618]",,,,,,,,,,
"[0.01051178754859678, 6783.2007025249195, 10281412.94156182]","[0.011363215960082615, 6671.9480959326, 10259163.586106138]","[0.006646960521577958, 4965.957970164665, 12356148.767519303]","[0.00677860485439821, 4897.474668380371, 11655182.782157188]","[0.0070066586803248865, 4825.978854334668, 10934806.870507374]","[0.007179412148312494, 4602.341651599558, 10602845.523229985]","[0.01809775142697358, 18208.97087423361, 9833516.830193903]","[0.015123774006210344, 18254.478672463778, 10038105.968222158]","[0.009894563320106485, 8585.861623870673, 10301359.91671532]","[0.01038016470406352, 8575.810960949397, 10210127.928604757]","[0.010492744239614013, 8569.817092305198, 10102218.72234412]","[0.008717563605422082, 6827.33419584024, 10545537.773107247]","[0.010404433702689163, 8580.426423829189, 10168138.141342228]","[0.015206948961867741, 19489.53288967594, 9722143.572797745]","[0.014977399749385643, 19489.531027553174, 9722216.927509006]","[0.013623288598605536, 20099.331896722753, 9604026.415101564]","[0.013624661049708605, 20099.331734118623, 9604192.706205837]","[0.01358794038328896, 18713.19487509953, 9841785.24851618]",,,,,,,,,,
