"[0.013084802239735528, 17677.22826282951, 10726914.162588552]","[0.0227379183993538, 32473.77825523609, 10197098.302949997]","[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.019329990530606928, 27342.804093654202, 10298442.646360097]","[0.014517170520594317, 20457.342482514803, 10632299.794322439]","[0.014612077317865861, 20447.343128245506, 10442026.511724418]",,,,,,,,,,,
"[0.013084802239735528, 17677.22826282951, 10726914.162588552]","[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.014517170520594317, 20457.342482514803, 10632299.794322439]","[0.014612077317865861, 20447.343128245506, 10442026.511724418]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]",,,,,,,,,,
"[0.013084802239735528, 17677.22826282951, 10726914.162588552]","[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.014517170520594317, 20457.342482514803, 10632299.794322439]","[0.014612077317865861, 20447.343128245506, 10442026.511724418]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.01572126360594596, 19836.97635911505, 10677322.928850874]",,,,,,,
"[0.013084802239735528, 17677.22826282951, 10726914.162588552]","[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.014517170520594317, 20457.342482514803, 10632299.794322439]","[0.014612077317865861, 20447.343128245506, 10442026.511724418]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.015084859338229804, 19000.190559030194, 10512365.736280905]","[0.014326896048909483, 20138.997756335706, 10714339.117878156]",,,,,,
"[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.012264185384669411, 8591.446849810294, 10331993.480745845]","[0.009653686788280902, 7437.082707697609, 10621152.665792443]","[0.017266269003560555, 18827.70784728884, 9596963.915842663]","[0.01736714117882581, 18041.98283859571, 9909484.404723085]",,,,,,,
"[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.012264185384669411, 8591.446849810294, 10331993.480745845]","[0.009653686788280902, 7437.082707697609, 10621152.665792443]","[0.017266269003560555, 18827.70784728884, 9596963.915842663]","[0.01736714117882581, 18041.98283859571, 9909484.404723085]",,,,,,,
"[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.012264185384669411, 8591.446849810294, 10331993.480745845]","[0.009653686788280902, 7437.082707697609, 10621152.665792443]","[0.017266269003560555, 18827.70784728884, 9596963.915842663]","[0.01736714117882581, 18041.98283859571, 9909484.404723085]","[0.012909214062976166, 19893.424592996966, 9712007.080178328]",,,,,,
"[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.012264185384669411, 8591.446849810294, 10331993.480745845]","[0.009653686788280902, 7437.082707697609, 10621152.665792443]","[0.017266269003560555, 18827.70784728884, 9596963.915842663]","[0.01736714117882581, 18041.98283859571, 9909484.404723085]","[0.012909214062976166, 19893.424592996966, 9712007.080178328]",,,,,,
"[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.012264185384669411, 8591.446849810294, 10331993.480745845]","[0.009653686788280902, 7437.082707697609, 10621152.665792443]","[0.017266269003560555, 18827.70784728884, 9596963.915842663]","[0.01736714117882581, 18041.98283859571, 9909484.404723085]","[0.012909214062976166, 19893.424592996966, 9712007.080178328]","[0.009224238804827553, 6865.712074696476, 11027673.697921248]","[0.008908475805560836, 6865.737260914956, 11027887.41740173]",,,,
"[0.007904941530412612, 6586.317285848179, 12223932.200433977]","[0.007947305607614585, 6543.32278415834, 11791465.475926768]","[0.007989345580257642, 6510.82863611623, 11491173.834053723]","[0.00844599985189854, 6876.174950243717, 11111243.73194556]","[0.020930482477444192, 31441.984908784252, 8722363.706843255]","[0.014887428717472883, 20030.844700306956, 9442455.820133314]","[0.014742215217868174, 20045.83570892076, 9541918.696433218]","[0.014471787955258032, 21183.36798566734, 9156837.253453923]","[0.014350858159048586, 21221.867597910088, 9523451.623787992]","[0.012264185384669411, 8591.446849810294, 10331993.480745845]","[0.017266269003560555, 18827.70784728884, 9596963.915842663]","[0.01736714117882581, 18041.98283859571, 9909484.404723085]","[0.012909214062976166, 19893.424592996966, 9712007.080178328]","[0.013921106908006412, 18591.46412279657, 10093683.805988511]","[0.013863120856802868, 18591.47435338073, 10093646.711794917]","[0.008728035154138678, 6826.172410451337, 10554892.537481036]",,,,
