"[0.008995800043597556, 7631.997383106247, 12851656.959403891]","[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]",,,,,,,,,,,,,,,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.02004124918430534, 22030.72296471646, 10351535.140062872]","[0.020043928644691577, 22009.722075086105, 10181745.436968306]","[0.019415723877157696, 22060.712370451372, 10804303.842864154]",,,,,,,,,,,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.016357967246101043, 22285.803377857286, 9916667.785811268]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.02004124918430534, 22030.72296471646, 10351535.140062872]","[0.020043928644691577, 22009.722075086105, 10181745.436968306]","[0.019415723877157696, 22060.712370451372, 10804303.842864154]",,,,,,,,,,,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.020043928644691577, 22009.722075086105, 10181745.436968306]","[0.01463531946580679, 22026.828538799036, 9815982.738942543]",,,,,,,,,,,,,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.01461243886342009, 22026.819839922387, 9815657.816940205]","[0.014797802292953004, 21958.31422911265, 9320370.346001012]","[0.015359400993101817, 21958.237759793883, 9319951.622913722]","[0.014557246045332687, 17539.005989785383, 10004786.596723035]","[0.011617233516391715, 9666.205246205147, 10631254.692332434]","[0.011563365510271324, 9683.249604839792, 10756486.386795018]","[0.011850130498384601, 9639.723575030102, 10305204.402982673]",,,,,,,,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.01461243886342009, 22026.819839922387, 9815657.816940205]","[0.014797802292953004, 21958.31422911265, 9320370.346001012]","[0.015359400993101817, 21958.237759793883, 9319951.622913722]","[0.014557246045332687, 17539.005989785383, 10004786.596723035]","[0.011617233516391715, 9666.205246205147, 10631254.692332434]","[0.011563365510271324, 9683.249604839792, 10756486.386795018]","[0.011850130498384601, 9639.723575030102, 10305204.402982673]","[0.011749296670929076, 8589.789715815647, 10469119.469081262]","[0.00995265303565573, 6452.78414918626, 10945096.126067339]","[0.009787703649451791, 6503.285554863943, 11441296.41584011]",,,,,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.01461243886342009, 22026.819839922387, 9815657.816940205]","[0.014797802292953004, 21958.31422911265, 9320370.346001012]","[0.015359400993101817, 21958.237759793883, 9319951.622913722]","[0.014557246045332687, 17539.005989785383, 10004786.596723035]","[0.011617233516391715, 9666.205246205147, 10631254.692332434]","[0.011563365510271324, 9683.249604839792, 10756486.386795018]","[0.011850130498384601, 9639.723575030102, 10305204.402982673]","[0.011749296670929076, 8589.789715815647, 10469119.469081262]","[0.00995265303565573, 6452.78414918626, 10945096.126067339]","[0.009787703649451791, 6503.285554863943, 11441296.41584011]","[0.014614680356819617, 17221.144036993628, 9854191.396271165]","[0.0154263885837044, 17194.002485029363, 9587482.302577365]","[0.015672139709684868, 17180.97399651643, 9377315.678130237]",,,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.01461243886342009, 22026.819839922387, 9815657.816940205]","[0.014797802292953004, 21958.31422911265, 9320370.346001012]","[0.015359400993101817, 21958.237759793883, 9319951.622913722]","[0.014557246045332687, 17539.005989785383, 10004786.596723035]","[0.011617233516391715, 9666.205246205147, 10631254.692332434]","[0.011563365510271324, 9683.249604839792, 10756486.386795018]","[0.011850130498384601, 9639.723575030102, 10305204.402982673]","[0.011749296670929076, 8589.789715815647, 10469119.469081262]","[0.00995265303565573, 6452.78414918626, 10945096.126067339]","[0.009787703649451791, 6503.285554863943, 11441296.41584011]","[0.014614680356819617, 17221.144036993628, 9854191.396271165]","[0.0154263885837044, 17194.002485029363, 9587482.302577365]","[0.015672139709684868, 17180.97399651643, 9377315.678130237]","[0.016343641581195775, 17154.078950930656, 10159272.195946712]",,,,,,,,
"[0.008195627176233105, 8829.46960257174, 12793850.694026096]","[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.0088276829163434, 6956.979420192358, 13132663.18150773]","[0.008038496705023147, 7656.086128999677, 13107457.645263132]","[0.00918680249611769, 6576.572976646259, 12233532.51569417]","[0.009527602749651186, 7496.519959418389, 11494106.512956042]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.008198920584213886, 7248.979418469071, 12235602.578493256]","[0.008207880986157302, 7216.9750632880205, 11905006.462664202]","[0.01461243886342009, 22026.819839922387, 9815657.816940205]","[0.014797802292953004, 21958.31422911265, 9320370.346001012]","[0.015359400993101817, 21958.237759793883, 9319951.622913722]","[0.014557246045332687, 17539.005989785383, 10004786.596723035]","[0.011617233516391715, 9666.205246205147, 10631254.692332434]","[0.011563365510271324, 9683.249604839792, 10756486.386795018]","[0.011850130498384601, 9639.723575030102, 10305204.402982673]","[0.011749296670929076, 8589.789715815647, 10469119.469081262]","[0.00995265303565573, 6452.78414918626, 10945096.126067339]","[0.009787703649451791, 6503.285554863943, 11441296.41584011]","[0.014614680356819617, 17221.144036993628, 9854191.396271165]","[0.0154263885837044, 17194.002485029363, 9587482.302577365]","[0.015672139709684868, 17180.97399651643, 9377315.678130237]","[0.016914941025838424, 16570.17156208875, 10228814.969619278]","[0.01922495007642752, 16497.830133336654, 10275877.44814182]","[0.015080745128140727, 16613.4115099529, 9739123.737577852]",,,,,,
"[0.009037839844037047, 6803.433290346189, 11595818.792817393]","[0.00952787048418413, 7468.01994448241, 11191608.2982708]","[0.009634349886899079, 7437.0001094744375, 10868178.707836721]","[0.011617233516391715, 9666.205246205147, 10631254.692332434]","[0.011563365510271324, 9683.249604839792, 10756486.386795018]","[0.011850130498384601, 9639.723575030102, 10305204.402982673]","[0.011749296670929076, 8589.789715815647, 10469119.469081262]","[0.00995265303565573, 6452.78414918626, 10945096.126067339]","[0.009787703649451791, 6503.285554863943, 11441296.41584011]","[0.016914941025838424, 16570.17156208875, 10228814.969619278]","[0.01922495007642752, 16497.830133336654, 10275877.44814182]","[0.014452886173321128, 16587.472973809538, 9555971.361031733]","[0.013182681056285858, 17128.783277827784, 8760156.92453541]","[0.013812016593101935, 17116.3023086596, 8678955.413289772]","[0.007803491694883745, 5486.816553529571, 11893767.896644069]","[0.0073843710264597275, 5486.84073538827, 11895134.208628718]","[0.009344034981992499, 6901.285864819296, 11292755.093869328]","[0.009239943154316718, 6923.223407890921, 11570183.725790942]",,,,,,,,,,,,,,
