"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]",,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]",,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.008715714457789698, 6570.916579001002, 12045545.314662283]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.011048045761417434, 10636.756043732013, 10787439.333940322]","[0.007921725476738918, 7746.574212340835, 13785316.719992105]","[0.00792686230768462, 7746.5713745760295, 13785228.205890283]",,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.011048045761417434, 10636.756043732013, 10787439.333940322]","[0.007921725476738918, 7746.574212340835, 13785316.719992105]","[0.00792686230768462, 7746.5713745760295, 13785228.205890283]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]",,,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.011048045761417434, 10636.756043732013, 10787439.333940322]","[0.007921725476738918, 7746.574212340835, 13785316.719992105]","[0.00792686230768462, 7746.5713745760295, 13785228.205890283]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.013413009628249112, 17619.304689388668, 10709269.007990906]",,,,,,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.011048045761417434, 10636.756043732013, 10787439.333940322]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.013413009628249112, 17619.304689388668, 10709269.007990906]","[0.01004121249549434, 6859.232490902195, 10960843.558097377]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]",,,,,,,,,,,,,,,,,,
"[0.009663716334806118, 8637.404075933104, 10815146.50892897]","[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.011048045761417434, 10636.756043732013, 10787439.333940322]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.013413009628249112, 17619.304689388668, 10709269.007990906]","[0.01004121249549434, 6859.232490902195, 10960843.558097377]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]",,,,,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]","[0.009357342037205904, 6839.715634793261, 10664870.27160461]","[0.008377735608242242, 6849.7923330070125, 10761036.986942446]",,,,,,,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]","[0.009357342037205904, 6839.715634793261, 10664870.27160461]","[0.008377735608242242, 6849.7923330070125, 10761036.986942446]","[0.01016674211695024, 7275.50120383071, 9963553.764900295]","[0.008880595543290242, 7295.52957019986, 10175100.765668523]","[0.009155644831683704, 7295.485034637966, 10174667.657247745]","[0.009156791079591652, 7291.984551508036, 10126778.294607254]","[0.009157519619728303, 7281.484244499855, 10028009.002774518]",,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]","[0.009357342037205904, 6839.715634793261, 10664870.27160461]","[0.008377735608242242, 6849.7923330070125, 10761036.986942446]","[0.01016674211695024, 7275.50120383071, 9963553.764900295]","[0.008880595543290242, 7295.52957019986, 10175100.765668523]","[0.009155644831683704, 7295.485034637966, 10174667.657247745]","[0.009156791079591652, 7291.984551508036, 10126778.294607254]","[0.009157519619728303, 7281.484244499855, 10028009.002774518]",,,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]","[0.009357342037205904, 6839.715634793261, 10664870.27160461]","[0.008377735608242242, 6849.7923330070125, 10761036.986942446]","[0.01016674211695024, 7275.50120383071, 9963553.764900295]","[0.008880595543290242, 7295.52957019986, 10175100.765668523]","[0.009155644831683704, 7295.485034637966, 10174667.657247745]","[0.009156791079591652, 7291.984551508036, 10126778.294607254]","[0.009157519619728303, 7281.484244499855, 10028009.002774518]","[0.00721372473036244, 8970.971114945876, 12872732.095630426]",,,,,,,,,,,,,,
"[0.008087070370371659, 7102.997220380814, 10904998.455102297]","[0.012684511115232246, 18509.05226356744, 9377675.928105874]","[0.012778326293788129, 18482.554620176987, 9032350.45181724]","[0.012861567174386012, 18484.491052036858, 9021945.865312109]","[0.013052697852165847, 19496.0381085451, 8054414.181473628]","[0.008234697032604358, 6134.616788698606, 11055461.095026014]","[0.007997987452221725, 6919.859738033062, 11591495.761981316]","[0.007633311577586496, 6981.848429314752, 12198780.39143227]","[0.007756010469960903, 6925.85867590587, 11622355.868172523]","[0.007508544737591805, 7002.291444170883, 12368830.184989965]","[0.007712087747127118, 6974.781619015296, 12076808.886246229]","[0.009357342037205904, 6839.715634793261, 10664870.27160461]","[0.008377735608242242, 6849.7923330070125, 10761036.986942446]","[0.01016674211695024, 7275.50120383071, 9963553.764900295]","[0.008880595543290242, 7295.52957019986, 10175100.765668523]","[0.009155644831683704, 7295.485034637966, 10174667.657247745]","[0.009156791079591652, 7291.984551508036, 10126778.294607254]","[0.009157519619728303, 7281.484244499855, 10028009.002774518]","[0.00721372473036244, 8970.971114945876, 12872732.095630426]",,,,,,,,,,,,,,
