"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.013356903944875301, 10316.467127461128, 11446033.264503423]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.02160491100163088, 33274.676566466616, 10118047.413143728]","[0.022110187688797325, 33248.19336440182, 9957588.35497869]","[0.021824690263102742, 31390.402602570895, 10336899.885522729]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.013538795469162705, 17327.360291174173, 11237232.883760402]","[0.013623919486217618, 17310.863367262435, 11149724.886296488]",,,,,,,,,,,,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.013356903944875301, 10316.467127461128, 11446033.264503423]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.013538795469162705, 17327.360291174173, 11237232.883760402]","[0.013623919486217618, 17310.863367262435, 11149724.886296488]","[0.014265712566525302, 20738.116393045035, 10333717.86920653]","[0.016072445945576046, 20692.92837039446, 9926610.429888653]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.01628815304681228, 17019.070527819684, 11379046.261936937]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]",,,,,,,,,,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.013356903944875301, 10316.467127461128, 11446033.264503423]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.013538795469162705, 17327.360291174173, 11237232.883760402]","[0.013623919486217618, 17310.863367262435, 11149724.886296488]","[0.014265712566525302, 20738.116393045035, 10333717.86920653]","[0.016072445945576046, 20692.92837039446, 9926610.429888653]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.01628815304681228, 17019.070527819684, 11379046.261936937]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]",,,,,,,,,,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]",,,,,,,,,,,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]",,,,,,,,,,,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]","[0.012757370234823425, 7461.398410813491, 10921396.667740995]","[0.01276720016421907, 7429.396233222966, 10590202.135208081]","[0.010371408581377193, 7522.377442290024, 11479420.001450734]","[0.009973489567396986, 7529.376381262633, 11543955.738149742]","[0.00962502237868882, 7544.902417279198, 11753982.195219226]","[0.009587782967322241, 7552.44142813062, 11824392.52286279]","[0.008915614395509357, 7569.964445572932, 12007681.197576875]","[0.01001713541726492, 7525.461213066542, 11568515.71891783]","[0.010312748380686859, 7525.436858651376, 11531748.988636881]",,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]","[0.012757370234823425, 7461.398410813491, 10921396.667740995]","[0.01276720016421907, 7429.396233222966, 10590202.135208081]","[0.010371408581377193, 7522.377442290024, 11479420.001450734]","[0.009973489567396986, 7529.376381262633, 11543955.738149742]","[0.00962502237868882, 7544.902417279198, 11753982.195219226]","[0.009587782967322241, 7552.44142813062, 11824392.52286279]","[0.008915614395509357, 7569.964445572932, 12007681.197576875]","[0.01001713541726492, 7525.461213066542, 11568515.71891783]","[0.010312748380686859, 7525.436858651376, 11531748.988636881]",,,
"[0.009952655514697132, 6956.22493670609, 11928403.603575002]","[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.00920136629359983, 7555.116359999376, 11781929.620269207]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]","[0.012757370234823425, 7461.398410813491, 10921396.667740995]","[0.01276720016421907, 7429.396233222966, 10590202.135208081]","[0.009973489567396986, 7529.376381262633, 11543955.738149742]","[0.00962502237868882, 7544.902417279198, 11753982.195219226]","[0.009587782967322241, 7552.44142813062, 11824392.52286279]","[0.008915614395509357, 7569.964445572932, 12007681.197576875]","[0.01001713541726492, 7525.461213066542, 11568515.71891783]","[0.010063806130078979, 6765.97841721583, 11208801.87213051]",,,,
"[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]","[0.012757370234823425, 7461.398410813491, 10921396.667740995]","[0.01276720016421907, 7429.396233222966, 10590202.135208081]","[0.008915614395509357, 7569.964445572932, 12007681.197576875]","[0.010063806130078979, 6765.97841721583, 11208801.87213051]","[0.009116746261140209, 6860.87926727458, 11060966.828183157]","[0.009113857578005778, 7546.05324613451, 11815706.869179908]",,,,,,,,
"[0.010034374511618, 6195.191191090572, 11625809.684642043]","[0.008863858063218794, 6856.621597775763, 12183248.891208028]","[0.012244031294573654, 17775.970175056005, 10435680.963389512]","[0.012555674477957714, 17775.915861313577, 10435596.806780754]","[0.015993342495838208, 17580.395379122012, 10412733.217376633]","[0.016722338840256763, 16925.575990925496, 10371229.642966932]","[0.010281691586076898, 8615.318298913564, 10596435.848810114]","[0.009560130414309339, 8640.921790103801, 10839642.085288808]","[0.014487222686148857, 18916.402359959815, 9786668.754281418]","[0.012956718111507315, 18938.88892155489, 9957346.21533157]","[0.01299514707424658, 18936.884190997054, 9967965.460906537]","[0.012757370234823425, 7461.398410813491, 10921396.667740995]","[0.01276720016421907, 7429.396233222966, 10590202.135208081]","[0.008915614395509357, 7569.964445572932, 12007681.197576875]","[0.010063806130078979, 6765.97841721583, 11208801.87213051]","[0.009116746261140209, 6860.87926727458, 11060966.828183157]","[0.009113857578005778, 7546.05324613451, 11815706.869179908]",,,,,,,,
