Feature index,Feature type,Process type,Feature number
1,1,[1],1
2,1,[1],2
3,1,[1],3
4,1,[1],4
5,1,[1],5
6,1,[1],6
7,2,"[1, 2]",7
8,3,"[1, 2]",8
9,2,"[1, 2]",9
10,2,"[1, 2]",10
11,3,"[1, 2]",11
12,4,[4],12
13,4,[4],13
14,5,[5],14
15,5,[5],15
16,5,[5],16
17,5,[5],17
18,5,[5],18
